"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.000522578844673714 0.000472016493173165 0.000541798944307156 0.000490663214959235 0.00759676908462034 6032 -0.190635699341419 0.848811019050544
"AC" 1.0295426878681e-05 1.01334399113888e-05 2.82119782862262e-05 2.77799842296961e-05 0.000486950147232295 6032 -2.81452970168146 0.00488486633558978
"AD" 1.81941612818866e-05 1.6891060986689e-05 2.33257216466817e-05 2.17200581217208e-05 0.000660446176266091 6032 -0.567871645055183 0.570122126806381
"AE" 1.80198362357283e-06 1.71750881863685e-06 1.03586102231868e-06 9.89436044873749e-07 0.000133390074538358 6032 0.423918082557929 0.671625556164861
"AF" 0 0 5.84405867498986e-07 5.76572786591426e-07 0 6032 -Inf 0
"AH" 3.38331619119796e-06 3.10443214538739e-06 2.24544750694837e-05 2.06719304214323e-05 0.000241102585213802 6032 -5.65898729513966 1.52268825844165e-08
"AI" 0 0 2.46352764742975e-06 2.42338709847183e-06 0 6032 -Inf 0
"AM" 7.5186213259418e-06 7.13652008450526e-06 3.232354135111e-06 3.08060064230364e-06 0.000441838110842561 6032 0.712946290441842 0.475878993157786
"AQ" 0.000160476184632413 0.000142297359577606 0.000298107507279774 0.000263939046199967 0.00308530600197584 6032 -3.06206817411253 0.00219813382835163
"AY" 0.00109999196383302 0.000619995046538312 0.00106012364418576 0.000616243707741894 0.00667643450087468 6032 0.043638756052129 0.965192358247219
"AZ" 3.60396724714566e-06 2.93780221595127e-06 2.74633931872783e-05 2.24911749019958e-05 0.00022816443537108 6032 -6.65586330054514 2.81641934929681e-11
"BA" 0.00983146059946167 0.00631929487758478 0.0114846257403052 0.00746080485233274 0.0286909308568535 6032 -3.09005164779262 0.00200121692569711
"BD" 0 0 2.60053050788412e-06 2.52365750789386e-06 0 6032 -Inf 0
"BF" 0.000189983684042244 0.000170709103572697 0.00015587113756298 0.000140337488715823 0.00512153725258734 6032 0.46057272372258 0.645105184702877
"BI" 3.43745695798169e-05 3.38174485696878e-05 1.01819568256881e-05 1.00245021685342e-05 0.0015368968179963 6032 1.20235906286285 0.229224442662838
