"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0 0 0.000541798944307156 0.000490663214959235 0 211 -Inf 0
"AC" 4.47107216310471e-05 4.38490524746796e-05 2.82119782862262e-05 2.77799842296961e-05 0.00063604062295781 211 0.366983948078219 0.713630991501899
"AD" 0 0 2.33257216466817e-05 2.17200581217208e-05 0 211 -Inf 0
"AE" 0 0 1.03586102231868e-06 9.89436044873749e-07 0 211 -Inf 0
"AF" 0 0 5.84405867498986e-07 5.76572786591426e-07 0 211 -Inf 0
"AH" 0 0 2.24544750694837e-05 2.06719304214323e-05 0 211 -Inf 0
"AI" 0 0 2.46352764742975e-06 2.42338709847183e-06 0 211 -Inf 0
"AM" 0 0 3.232354135111e-06 3.08060064230364e-06 0 211 -Inf 0
"AQ" 0 0 0.000298107507279774 0.000263939046199967 0 211 -Inf 0
"AY" 0.000754994702348097 0.000418339981137891 0.00106012364418576 0.000616243707741894 0.00380518384671511 211 -0.75547405726561 0.449964592575063
"AZ" 0 0 2.74633931872783e-05 2.24911749019958e-05 0 211 -Inf 0
"BA" 0.00427920250117202 0.00269467170376581 0.0114846257403052 0.00746080485233274 0.0187669504713996 211 -3.68904277202566 0.00022509937763309
"BD" 0 0 2.60053050788412e-06 2.52365750789386e-06 0 211 -Inf 0
"BF" 0 0 0.00015587113756298 0.000140337488715823 0 211 -Inf 0
"BI" 0 0 1.01819568256881e-05 1.00245021685342e-05 0 211 -Inf 0
"BK" 0 0 2.1170492168833e-06 2.07177544763316e-06 0 211 -Inf 0
"BM" 0 0 1.43216466835786e-06 1.41165674750424e-06 0 211 -Inf 0
"BP" 0 0 6.1487240726853e-06 5.87334457723669e-06 0 211 -Inf 0
"BQ" 0 0 7.99825995644385e-06 6.91274739917147e-06 0 211 -Inf 0
"BU" 0.000124719381391868 0.00012452890526869 1.14416364684455e-05 1.14293292904767e-05 0.00180860373269947 211 0.908361631221474 0.363687190330525
"BV" 0.000596830512455197 0.000311112870880754 0.0010931546181501 0.000619457075103851 0.00215569671354376 211 -2.07773118234784 0.0377341253313835
"CN" 0.00727803226110224 0.00343082332975697 0.00816902258571579 0.00428097560301688 0.00805307105727954 211 -1.53347399996992 0.125159108042073
"CO" 0.00170883988738306 0.00137107982867394 0.0015711359141938 0.00126247389472691 0.00685014874708162 211 0.230300446638253 0.817858313571175
"CQ" 0.0149667828815759 0.0109438861621783 0.0181105261189343 0.0132723878280715 0.0300431411414626 211 -1.1258290289495 0.260237894339817
"CT" 7.07363655655372e-05 5.00043880957261e-05 9.96568398123166e-05 7.05035081320806e-05 0.000725866102141622 211 -0.410222928665524 0.681642422726168
"CU" 0.0046425851924973 0.00285932751190401 0.00219520276223997 0.00138048280306171 0.0108962468924936 211 1.97145498143626 0.0486718574743788
"DA" 0.00214227583120889 0.00160394390638564 0.00240068518781632 0.00180187787214754 0.00866112928624759 211 -0.331960975692311 0.739918726503497
"DB" 0.000668924558946596 0.000542098079924907 0.00177799009562748 0.00143235830588903 0.00484858492533161 211 -2.66712390333625 0.00765034616091801
"DE" 0 0 0.000121425147059773 0.000109966110605272 0 211 -Inf 0
"DI" 0 0 2.41393190941796e-05 2.3889204992611e-05 0 211 -Inf 0
"DK" 0 0 5.0645101093316e-06 5.04294563629493e-06 0 211 -Inf 0
"DM" 0.0127502877197399 0.00996696443000034 0.0175441965411795 0.0135299708075342 0.0463253978089304 211 -1.11721991842542 0.263900306083604
"DQ" 0.0069298080558708 0.00568984705566999 0.00753295033625412 0.00611749434372815 0.024316241074683 211 -0.255464471496855 0.798364381044456
"DR" 0.00560738706164197 0.00407779606044798 0.00885587091096486 0.00644525197408282 0.0131063266573579 211 -2.62386894892818 0.00869372288974528
"DS" 0.00742743635254005 0.00500986211168624 0.00634352446631275 0.00429779402917863 0.0209512256967688 211 0.493688842182266 0.621525946447921
"DT" 0 0 5.22660052831842e-06 5.19231249349352e-06 0 211 -Inf 0
"DW" 0 0 5.60180369546591e-05 5.15174516081778e-05 0 211 -Inf 0
"DX" 0 0 0.000639053278954281 0.000491457720008116 0 211 -Inf 0
"DY" 0.000392354906378681 0.000369099381846166 0.000354251601454558 0.000332699832672435 0.00311513617326511 211 0.16973061954545 0.865221992532058
"EA" 9.7718278203938e-05 9.16021724819939e-05 0.000303893024080559 0.000284392007796899 0.0013298826118522 211 -2.10577542152628 0.0352238647911745
"EC" 0 0 3.45790461501333e-05 3.36079086745473e-05 0 211 -Inf 0
"EE" 0 0 0.000105946076751678 9.99416980676422e-05 0 211 -Inf 0
"EI" 0 0 5.48543636233514e-05 5.33450265676283e-05 0 211 -Inf 0
"EN" 0 0 0 0 0 211 NA NA
"EO" 0 0 1.21884272346019e-06 1.20962131095275e-06 0 211 -Inf 0
"EP" 0.000981981570294035 0.000917829410252867 0.000404497004897642 0.000381814021031931 0.00684811741052587 211 1.13696550503264 0.255552706254935
"EQ" 0.00175149902254626 0.00120491301566352 0.0101899752900275 0.00699364871759588 0.00694103968658099 211 -12.1143584945349 8.8655053172641e-34
"ER" 0.000326399226416848 0.000285717209198993 5.49198585833289e-05 4.89292780189196e-05 0.00306311368770268 211 1.12289119083131 0.261483709285869
"ES" 0.000134132164893141 0.000130820565086289 1.4453384000232e-05 1.41698850140466e-05 0.00189708499908042 211 0.893185600116044 0.371757788210864
"ET" 8.94214432620942e-05 8.55382384359653e-05 8.96090793027364e-05 8.60419190759744e-05 0.00124059412467137 211 -0.00589748392486065 0.995294515905157
"EU" 0 0 0.000164665877880281 0.000155846035593657 0 211 -Inf 0
"EV" 0.000850749244343123 0.000749564626486837 0.000621928444638436 0.000551540079231641 0.00495131489506155 211 0.580951274886825 0.561273293206371
"EW" 6.58241179568194e-05 6.4067297426947e-05 4.22311973084473e-05 4.12803297892209e-05 0.000930276978840649 211 0.355807820453792 0.721984491992968
"EX" 0.000342268282830775 0.000328642717640918 9.49029066997441e-05 9.16638473453532e-05 0.00336468413201351 211 1.02307283306129 0.306273410698371
"FA" 0 0 9.16242394267159e-06 9.08129057149313e-06 0 211 -Inf 0
"FE" 0 0 8.59643068653925e-05 7.70113567261021e-05 0 211 -Inf 0
