"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0 0 0.000541798944307156 0.000490663214959235 0 111 -Inf 0
"AC" 0 0 2.82119782862262e-05 2.77799842296961e-05 0 111 -Inf 0
"AD" 0 0 2.33257216466817e-05 2.17200581217208e-05 0 111 -Inf 0
"AE" 0 0 1.03586102231868e-06 9.89436044873749e-07 0 111 -Inf 0
"AF" 0 0 5.84405867498986e-07 5.76572786591426e-07 0 111 -Inf 0
"AH" 0 0 2.24544750694837e-05 2.06719304214323e-05 0 111 -Inf 0
"AI" 0 0 2.46352764742975e-06 2.42338709847183e-06 0 111 -Inf 0
"AM" 0 0 3.232354135111e-06 3.08060064230364e-06 0 111 -Inf 0
"AQ" 0.000147688672278836 0.000129865475090869 0.000298107507279774 0.000263939046199967 0.00136371231632282 111 -1.03581430313896 0.300288783451947
"AY" 0.00257073982564179 0.00143996467496827 0.00106012364418576 0.000616243707741894 0.00683816141248589 111 1.26911875519872 0.204398711997956
"AZ" 0 0 2.74633931872783e-05 2.24911749019958e-05 0 111 -Inf 0
"BA" 0.0100742860093459 0.00648537461347821 0.0114846257403052 0.00746080485233274 0.0239310309376694 111 -0.429433871169221 0.667607508809097
"BD" 0 0 2.60053050788412e-06 2.52365750789386e-06 0 111 -Inf 0
"BF" 0.000819000819000819 0.000736098605339856 0.00015587113756298 0.000140337488715823 0.00774580723933793 111 0.810339406884108 0.41774513259493
"BI" 0 0 1.01819568256881e-05 1.00245021685342e-05 0 111 -Inf 0
"BK" 0 0 2.1170492168833e-06 2.07177544763316e-06 0 111 -Inf 0
"BM" 0 0 1.43216466835786e-06 1.41165674750424e-06 0 111 -Inf 0
"BP" 0 0 6.1487240726853e-06 5.87334457723669e-06 0 111 -Inf 0
"BQ" 0 0 7.99825995644385e-06 6.91274739917147e-06 0 111 -Inf 0
"BU" 0 0 1.14416364684455e-05 1.14293292904767e-05 0 111 -Inf 0
"BV" 0.000356232063549137 0.000201234694020759 0.0010931546181501 0.000619457075103851 0.00152277113696548 111 -2.893570866838 0.00380888328582598
"CN" 0.0040209036815075 0.00207688149836127 0.00816902258571579 0.00428097560301688 0.0105590818817882 111 -2.19920373620806 0.0278634388003346
"CO" 0.00343724521772099 0.00270891632120003 0.0015711359141938 0.00126247389472691 0.0126907494259783 111 1.20081297543878 0.229823757453441
"CQ" 0.017162087187297 0.012227476889105 0.0181105261189343 0.0132723878280715 0.0334327069692497 111 -0.329282934392513 0.741941841925937
"CT" 0 0 9.96568398123166e-05 7.05035081320806e-05 0 111 -Inf 0
"CU" 0.00479949582978738 0.00291196186368304 0.00219520276223997 0.00138048280306171 0.0131563762011466 111 1.22641165513679 0.220043802215292
"DA" 0.00187288979858639 0.00137005610161019 0.00240068518781632 0.00180187787214754 0.0068610066750696 111 -0.663098707345187 0.507267338497381
"DB" 0.00225759107767954 0.00178330125551358 0.00177799009562748 0.00143235830588903 0.00813285294173481 111 0.454626861045941 0.649377706881397
"DE" 0 0 0.000121425147059773 0.000109966110605272 0 111 -Inf 0
"DI" 0 0 2.41393190941796e-05 2.3889204992611e-05 0 111 -Inf 0
"DK" 0 0 5.0645101093316e-06 5.04294563629493e-06 0 111 -Inf 0
"DM" 0.0104617116516678 0.00801960756143257 0.0175441965411795 0.0135299708075342 0.0394731138554986 111 -1.47075499100219 0.141357388593835
"DQ" 0.0035076776818734 0.00288148193030903 0.00753295033625412 0.00611749434372815 0.0134222317061244 111 -2.54007731904679 0.0110827964873845
"DR" 0.0120866066368491 0.00855146314984901 0.00885587091096486 0.00644525197408282 0.0311335360642633 111 0.712746269246705 0.476002779505077
"DS" 0.0104726469320088 0.00705731399503197 0.00634352446631275 0.00429779402917863 0.0358461637310418 111 0.811058809596913 0.417331898842198
"DT" 0 0 5.22660052831842e-06 5.19231249349352e-06 0 111 -Inf 0
"DW" 0 0 5.60180369546591e-05 5.15174516081778e-05 0 111 -Inf 0
"DX" 0 0 0.000639053278954281 0.000491457720008116 0 111 -Inf 0
"DY" 0.00040950040950041 0.000382507228206156 0.000354251601454558 0.000332699832672435 0.00401817473145677 111 0.13059498621764 0.896095709176869
"EA" 0.000962000962000962 0.000894584982743357 0.000303893024080559 0.000284392007796899 0.00809881132749577 111 0.79379326749261 0.427315792695016
"EC" 0 0 3.45790461501333e-05 3.36079086745473e-05 0 111 -Inf 0
"EE" 0 0 0.000105946076751678 9.99416980676422e-05 0 111 -Inf 0
"EI" 0.00040950040950041 0.000396412621561204 5.48543636233514e-05 5.33450265676283e-05 0.00416332430100129 111 0.868162346566886 0.38530546398473
"EN" 0 0 0 0 0 111 NA NA
"EO" 0 0 1.21884272346019e-06 1.20962131095275e-06 0 111 -Inf 0
"EP" 0 0 0.000404497004897642 0.000381814021031931 0 111 -Inf 0
"EQ" 0.000785232492549566 0.00055986079379922 0.0101899752900275 0.00699364871759588 0.00371332669926617 111 -18.25429523823 1.91262943173381e-74
"ER" 0 0 5.49198585833289e-05 4.89292780189196e-05 0 111 -Inf 0
"ES" 0 0 1.4453384000232e-05 1.41698850140466e-05 0 111 -Inf 0
"ET" 0 0 8.96090793027364e-05 8.60419190759744e-05 0 111 -Inf 0
"EU" 0 0 0.000164665877880281 0.000155846035593657 0 111 -Inf 0
"EV" 0.000990912124379596 0.000875094970553134 0.000621928444638436 0.000551540079231641 0.00487055157444604 111 0.699892456306216 0.483994468856858
"EW" 0 0 4.22311973084473e-05 4.12803297892209e-05 0 111 -Inf 0
"EX" 0 0 9.49029066997441e-05 9.16638473453532e-05 0 111 -Inf 0
"FA" 0 0 9.16242394267159e-06 9.08129057149313e-06 0 111 -Inf 0
"FE" 0 0 8.59643068653925e-05 7.70113567261021e-05 0 111 -Inf 0
"FF" 0.00104866771533438 0.000792007021809273 0.00156155380010257 0.00117152037353073 0.00504787502146941 111 -0.792099893780249 0.428302432033349
"FI" 0 0 1.33337429094489e-05 1.27592054026426e-05 0 111 -Inf 0
"FS" 0 0 1.80665339860411e-07 1.17100529271285e-07 0 111 -Inf 0
"FU" 0 0 2.93970779881083e-05 2.75104088266098e-05 0 111 -Inf 0
"FY" 0 0 0.00118639590812955 0.00108447964343842 0 111 -Inf 0
"GA" 0.000693000693000693 0.000583754280498529 0.00112976401024442 0.000956024208828193 0.0043242410685407 111 -0.907004721826076 0.364404300260834
