"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.000329970269220918 0.000299274584916716 0.000541798944307156 0.000490663214959235 0.00496343070709329 1256 -1.36656089912404 0.171762980178732
"AC" 0 0 2.82119782862262e-05 2.77799842296961e-05 0 1256 -Inf 0
"AD" 2.21160651096957e-05 2.02925331236296e-05 2.33257216466817e-05 2.17200581217208e-05 0.000719110484239092 1256 -0.0703530485748411 0.943912660410633
"AE" 0 0 1.03586102231868e-06 9.89436044873749e-07 0 1256 -Inf 0
"AF" 0 0 5.84405867498986e-07 5.76572786591426e-07 0 1256 -Inf 0
"AH" 0 0 2.24544750694837e-05 2.06719304214323e-05 0 1256 -Inf 0
"AI" 0 0 2.46352764742975e-06 2.42338709847183e-06 0 1256 -Inf 0
"AM" 0 0 3.232354135111e-06 3.08060064230364e-06 0 1256 -Inf 0
"AQ" 0.000144697599514734 0.000128007485865097 0.000298107507279774 0.000263939046199967 0.00174670891288605 1256 -2.75800205543262 0.00581558322346128
"AY" 0.000933233731113795 0.00049930632159915 0.00106012364418576 0.000616243707741894 0.00366574314987172 1256 -1.13054061731272 0.258248493544732
"AZ" 0 0 2.74633931872783e-05 2.24911749019958e-05 0 1256 -Inf 0
"BA" 0.00703943258432243 0.0045806521365495 0.0114846257403052 0.00746080485233274 0.0294375629978806 1256 -3.46743622470758 0.000525448411073553
"BD" 0 0 2.60053050788412e-06 2.52365750789386e-06 0 1256 -Inf 0
"BF" 7.0994882430979e-05 6.33587493953701e-05 0.00015587113756298 0.000140337488715823 0.0012487447964825 1256 -2.18470057282234 0.0289108081696705
"BI" 1.8956627236882e-05 1.86084847249323e-05 1.01819568256881e-05 1.00245021685342e-05 0.000659469605875513 1256 0.461305743532054 0.644579264830158
"BK" 0 0 2.1170492168833e-06 2.07177544763316e-06 0 1256 -Inf 0
"BM" 0 0 1.43216466835786e-06 1.41165674750424e-06 0 1256 -Inf 0
"BP" 0 0 6.1487240726853e-06 5.87334457723669e-06 0 1256 -Inf 0
"BQ" 0 0 7.99825995644385e-06 6.91274739917147e-06 0 1256 -Inf 0
"BU" 0 0 1.14416364684455e-05 1.14293292904767e-05 0 1256 -Inf 0
"BV" 0.00066103731674378 0.000359228510885009 0.0010931546181501 0.000619457075103851 0.00333733380241279 1256 -2.76344062621307 0.00571954971008615
