"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.000157730288148941 0.000142561515684299 0.000541798944307156 0.000490663214959235 0.00227709115245482 523 -3.4960414401972 0.000472215357806424
"AC" 0 0 2.82119782862262e-05 2.77799842296961e-05 0 523 -Inf 0
"AD" 0 0 2.33257216466817e-05 2.17200581217208e-05 0 523 -Inf 0
"AE" 0 0 1.03586102231868e-06 9.89436044873749e-07 0 523 -Inf 0
"AF" 0 0 5.84405867498986e-07 5.76572786591426e-07 0 523 -Inf 0
"AH" 0 0 2.24544750694837e-05 2.06719304214323e-05 0 523 -Inf 0
"AI" 0 0 2.46352764742975e-06 2.42338709847183e-06 0 523 -Inf 0
"AM" 0 0 3.232354135111e-06 3.08060064230364e-06 0 523 -Inf 0
"AQ" 0.000109349029605469 9.77848389627853e-05 0.000298107507279774 0.000263939046199967 0.00157910363256339 523 -2.40630988149992 0.0161145891877441
"AY" 0.00134731317866611 0.000736296187732105 0.00106012364418576 0.000616243707741894 0.00704129922301369 523 0.389914315288811 0.696599908006285
"AZ" 0 0 2.74633931872783e-05 2.24911749019958e-05 0 523 -Inf 0
"BA" 0.00571615783897247 0.00370759046628256 0.0114846257403052 0.00746080485233274 0.023405394677172 523 -3.66723083694476 0.000245191431221475
"BD" 0 0 2.60053050788412e-06 2.52365750789386e-06 0 523 -Inf 0
"BF" 0.000212449543233482 0.000190607522502624 0.00015587113756298 0.000140337488715823 0.0043572445461412 523 0.263844524970717 0.791899723856652
"BI" 0.000212449543233482 0.000208802824005663 1.01819568256881e-05 1.00245021685342e-05 0.00477324232015132 523 0.952371480748345 0.340908617770679
"BK" 0 0 2.1170492168833e-06 2.07177544763316e-06 0 523 -Inf 0
"BM" 0 0 1.43216466835786e-06 1.41165674750424e-06 0 523 -Inf 0
"BP" 0 0 6.1487240726853e-06 5.87334457723669e-06 0 523 -Inf 0
"BQ" 6.41626137282328e-06 5.50287917677202e-06 7.99825995644385e-06 6.91274739917147e-06 0.000125851593874516 523 -0.256194997976249 0.797800270812667
