"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.00103672037987483 0.000945026367687535 0.00138998831315863 0.00126223401351721 0.0110488142147787 158 -0.360874769330092 0.718193065581844
"AC" 0.000582734030310492 0.000567419219793378 0.000296913510688844 0.000289428402764521 0.00409904949404972 158 0.852463575257743 0.393956847327915
"AD" 0.000186962326463827 0.00016794317566249 0.000184348350602918 0.000166868220155874 0.00155403182445272 158 0.00869479053514357 0.993062648282622
"AE" 0 0 5.7752946626096e-06 5.3819933443675e-06 0 158 -Inf 0
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 158 -Inf 0
"AH" 0.00171767750592123 0.00149323511495468 0.0001253150568421 0.000111061371754029 0.00900527406995615 158 1.92927549095682 0.0536966707222257
"AI" 0.000429634660568665 0.000419441762959649 3.69893901003534e-05 3.61296993502895e-05 0.00316185910150897 158 1.52383701282164 0.127549431069866
"AM" 0.00016655562958028 0.000154348199408778 2.02320901099452e-05 1.87760584863334e-05 0.00193808517326278 158 0.879277861744883 0.379250636318678
"AQ" 0 0 0.00019772695705432 0.000175899183090338 0 158 -Inf 0
"AY" 0.00123928332845849 0.000640390855209695 0.00190577135691489 0.000950061926422228 0.00265090687541788 158 -1.46836731355649 0.142004475317423
"AZ" 0 0 4.67976946305248e-05 3.6858876988748e-05 0 158 -Inf 0
"BA" 0.000243427458617332 0.000168963017083835 0.00637432261937953 0.00436478266691346 0.00212276425987569 158 -24.8452624664693 2.90945916161106e-136
"BD" 0 0 3.02898004767252e-05 2.87148811198094e-05 0 158 -Inf 0
"BF" 0 0 0.000152119477694626 0.00013569402239733 0 158 -Inf 0
"BI" 0 0 8.26552537215794e-06 8.09482263502068e-06 0 158 -Inf 0
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 158 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 158 -Inf 0
"BP" 0 0 6.69960972802511e-06 6.3073352577832e-06 0 158 -Inf 0
"BQ" 0 0 1.66355096632502e-05 1.39411455228384e-05 0 158 -Inf 0
"BU" 0 0 2.9694526350828e-05 2.96336978197e-05 0 158 -Inf 0
"BV" 0.00983099523674927 0.00442687765341433 0.00511817102943807 0.00243630438080381 0.00997827652961185 158 2.50755909397555 0.0121568252132405
"CN" 0.0523937683992368 0.0216900466325225 0.023298531841204 0.0100200442122319 0.026932657207941 158 5.44653484021458 5.13605467353745e-08
"CO" 0.00604501953094347 0.00451226636010184 0.00552542569458063 0.00401883198433284 0.0169283041141303 158 0.366390743354701 0.714073525991016
"CQ" 0.0402742857644481 0.0265258790173557 0.0556218672644912 0.0348999106943605 0.0414967074278134 158 -2.53658549127895 0.0111939407305022
"CT" 0 0 0.00021759138969873 0.000142117998803227 0 158 -Inf 0
"CU" 0.0103736735309191 0.00567825361547297 0.00811301984354872 0.00424613951223092 0.0127292752029193 158 1.41417283053405 0.157311163220987
"DA" 0.00579759755215529 0.0039471267734076 0.00641944644008942 0.00418369482263549 0.00973482092993449 158 -0.305461630030272 0.760014589123841
"DB" 0.000723184837082396 0.000547810993150711 0.00341903438651951 0.00252324436717022 0.0029520953249899 158 -8.41125022944335 4.05663250993618e-17
"DE" 0 0 0.000366226825083344 0.000312854985538813 0 158 -Inf 0
"DI" 0 0 4.36974994387372e-05 4.31623294536107e-05 0 158 -Inf 0
"DK" 0 0 1.21072495997553e-05 1.20528501243557e-05 0 158 -Inf 0
"DM" 0.00112852286618238 0.000910750909243713 0.00637818119721692 0.00494350069236105 0.00587471043295989 158 -8.62865997037579 6.20749341158218e-18
