"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.00155278676179518 0.00140845697661278 0.00138998831315863 0.00126223401351721 0.0211052351399416 8446 0.636723565605847 0.524304920807478
"AC" 0.000256405685801842 0.000249475776226647 0.000296913510688844 0.000289428402764521 0.00552266960909051 8446 -0.664847150398371 0.506148261474292
"AD" 0.000315209695035409 0.00028589016915465 0.000184348350602918 0.000166868220155874 0.00481998801058176 8446 2.26937694354247 0.0232454130639758
"AE" 8.16745660905021e-06 7.63270109091679e-06 5.7752946626096e-06 5.3819933443675e-06 0.000492334814982915 8446 0.420130389464277 0.674390203496506
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 8446 -Inf 0
"AH" 0.000102833910919284 9.14787350895146e-05 0.0001253150568421 0.000111061371754029 0.00253187902308817 8446 -0.710810368275286 0.477201754737779
"AI" 9.74306532714443e-05 9.50642421794487e-05 3.69893901003534e-05 3.61296993502895e-05 0.00241023187551845 8446 2.24717363964151 0.0246289321478735
"AM" 4.63869072021563e-05 4.3146847047574e-05 2.02320901099452e-05 1.87760584863334e-05 0.00173885567257424 8446 1.28804662468013 0.197729733583765
"AQ" 8.80497030857474e-05 7.89491853098598e-05 0.00019772695705432 0.000175899183090338 0.00160232114031175 8446 -5.56062719572212 2.68806855793521e-08
"AY" 0.00188754073147827 0.000940164647303861 0.00190577135691489 0.000950061926422228 0.00466173987068321 8446 -0.195116196253503 0.845301983476291
"AZ" 2.05335590561449e-05 1.63046915473912e-05 4.67976946305248e-05 3.6858876988748e-05 0.000684079500989057 8446 -2.7613358566781 0.00575654448664571
"BA" 0.00508355867430401 0.0034769664939732 0.00637432261937953 0.00436478266691346 0.0206918296108261 8446 -3.94320809894432 8.03988338347116e-05
"BD" 1.76068809676882e-05 1.67048208111016e-05 3.02898004767252e-05 2.87148811198094e-05 0.000738922679848007 8446 -1.49372871612084 0.135246539745197
"BF" 0.000133407870893186 0.000118936828218716 0.000152119477694626 0.00013569402239733 0.00264262251928406 8446 -0.582762649595449 0.560053091889209
"BI" 1.08327333943774e-05 1.06092915249403e-05 8.26552537215794e-06 8.09482263502068e-06 0.000583518369510135 8446 0.396020139856335 0.692090170831933
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 8446 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 8446 -Inf 0
"BP" 1.14790531455808e-05 1.07886645802722e-05 6.69960972802511e-06 6.3073352577832e-06 0.000553883949833706 8446 0.743555890283573 0.457145197126702
"BQ" 5.98816950228514e-06 4.98573978067719e-06 1.66355096632502e-05 1.39411455228384e-05 0.00026801911418328 8446 -3.07075408488795 0.00213518928999145
"BU" 8.9578374066827e-06 8.93810284120211e-06 2.9694526350828e-05 2.96336978197e-05 0.000693422205209919 8446 -2.74287306798381 0.00609042229873147
"BV" 0.00449593808678255 0.00205719656834025 0.00511817102943807 0.00243630438080381 0.00699213963397158 8446 -4.98285420458989 6.2653158333736e-07
"CN" 0.024854510829139 0.0102573661417627 0.023298531841204 0.0100200442122319 0.0169603467768966 8446 1.28596361687855 0.198455759609412
"CO" 0.00545254659121585 0.00400042427150043 0.00552542569458063 0.00401883198433284 0.0125907409212934 8446 -0.134361264219923 0.893116910512862
"CQ" 0.0498408830456407 0.0317152094487954 0.0556218672644912 0.0348999106943605 0.0457086885981955 8446 -6.40317652710122 1.52177070579727e-10
"CT" 0.000159331292964177 0.000105418247690544 0.00021759138969873 0.000142117998803227 0.00177751297163254 8446 -1.89747419700599 0.0577653811500623
"CU" 0.00907727403020922 0.00479234601924538 0.00811301984354872 0.00424613951223092 0.0116791737256429 8446 4.29803838358103 1.72316327988735e-05
