"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.0034964095174511 0.00311726628474436 0.00138998831315863 0.00126223401351721 0.023405860033576 280 1.32619040448851 0.184776636848458
"AC" 0.000199805679182599 0.000192755797833644 0.000296913510688844 0.000289428402764521 0.00273169515151584 280 -0.592175185885609 0.553733283978247
"AD" 0 0 0.000184348350602918 0.000166868220155874 0 280 -Inf 0
"AE" 0 0 5.7752946626096e-06 5.3819933443675e-06 0 280 -Inf 0
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 280 -Inf 0
"AH" 0 0 0.0001253150568421 0.000111061371754029 0 280 -Inf 0
"AI" 0 0 3.69893901003534e-05 3.61296993502895e-05 0 280 -Inf 0
"AM" 0 0 2.02320901099452e-05 1.87760584863334e-05 0 280 -Inf 0
"AQ" 0 0 0.00019772695705432 0.000175899183090338 0 280 -Inf 0
"AY" 0.0011734771484634 0.000605024999794609 0.00190577135691489 0.000950061926422228 0.00319085252894603 280 -1.80941363832225 0.0703867659297446
"AZ" 0 0 4.67976946305248e-05 3.6858876988748e-05 0 280 -Inf 0
"BA" 0.002095969637528 0.00143048979022574 0.00637432261937953 0.00436478266691346 0.0102323085888584 280 -4.79853697677073 1.59828803918053e-06
"BD" 0 0 3.02898004767252e-05 2.87148811198094e-05 0 280 -Inf 0
"BF" 0.000446428571428571 0.000401105378453821 0.000152119477694626 0.00013569402239733 0.00670769116114756 280 0.662102851386135 0.507905308558098
"BI" 0 0 8.26552537215794e-06 8.09482263502068e-06 0 280 -Inf 0
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 280 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 280 -Inf 0
"BP" 0 0 6.69960972802511e-06 6.3073352577832e-06 0 280 -Inf 0
"BQ" 0 0 1.66355096632502e-05 1.39411455228384e-05 0 280 -Inf 0
"BU" 0 0 2.9694526350828e-05 2.96336978197e-05 0 280 -Inf 0
"BV" 0.00239446438951896 0.00109188805458604 0.00511817102943807 0.00243630438080381 0.00345942877249854 280 -6.50291983525251 7.87757810534423e-11
"CN" 0.0192100130644621 0.00799051767761436 0.023298531841204 0.0100200442122319 0.0127024403109843 280 -2.67353938728822 0.00750554618293237
"CO" 0.00713837056736184 0.00540333409621115 0.00552542569458063 0.00401883198433284 0.0145488126721068 280 1.59237403046836 0.111300687803096
"CQ" 0.0379697766855299 0.0256171207345538 0.0556218672644912 0.0348999106943605 0.0468011727646213 280 -3.31895071653126 0.000903563747864161
"CT" 5.33049040511727e-05 3.64564736548487e-05 0.00021759138969873 0.000142117998803227 0.000609799021927649 280 -2.89940689490846 0.00373869363084579
"CU" 0.00973873807018185 0.00546981854654665 0.00811301984354872 0.00424613951223092 0.0118994312139101 280 1.7207601185559 0.0852943621199629
"DA" 0.00696980995259926 0.00482396697098815 0.00641944644008942 0.00418369482263549 0.0159453292630021 280 0.671908499089729 0.501641949361748
"DB" 0.0017958519840685 0.00139327718166147 0.00341903438651951 0.00252324436717022 0.00555222402586157 280 -3.4054763316712 0.000660487385291595
"DE" 6.37755102040816e-05 5.60897255615844e-05 0.000366226825083344 0.000312854985538813 0.000938212406494012 280 -4.57945829193099 4.66181734259701e-06
"DI" 0 0 4.36974994387372e-05 4.31623294536107e-05 0 280 -Inf 0
