"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.00111523131760545 0.00101160311719462 0.00138998831315863 0.00126223401351721 0.017307371084182 1391 -0.540091157355934 0.589134168584152
"AC" 9.38294748942462e-05 9.1499275617264e-05 0.000296913510688844 0.000289428402764521 0.00157153519457314 1391 -4.69730935610128 2.63611038448987e-06
"AD" 2.26927797021255e-05 2.04842866853775e-05 0.000184348350602918 0.000166868220155874 0.000678411146190047 1391 -8.04755592037286 8.44637816588361e-16
"AE" 0 0 5.7752946626096e-06 5.3819933443675e-06 0 1391 -Inf 0
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 1391 -Inf 0
"AH" 2.4248856024557e-05 2.14600209846115e-05 0.0001253150568421 0.000111061371754029 0.000566607065598588 1391 -5.89788276955797 3.68195406996411e-09
"AI" 1.99696461378704e-05 1.95110998301807e-05 3.69893901003534e-05 3.61296993502895e-05 0.000727677719658514 1391 -0.851763272193144 0.394345494993461
"AM" 4.49317038102085e-06 4.14298174662362e-06 2.02320901099452e-05 1.87760584863334e-05 0.000154515752743882 1391 -3.53204683095685 0.000412356322301049
"AQ" 9.82971286755067e-05 8.78240888419578e-05 0.00019772695705432 0.000175899183090338 0.00133111613050357 1391 -2.46774758360439 0.0135966158981414
"AY" 0.00288382754468295 0.00136984330546473 0.00190577135691489 0.000950061926422228 0.00689952467236047 1391 2.26917276751711 0.0232578216289857
"AZ" 0 0 4.67976946305248e-05 3.6858876988748e-05 0 1391 -Inf 0
"BA" 0.00482547003749141 0.00327042545835286 0.00637432261937953 0.00436478266691346 0.0270357974439133 1391 -1.50967507204654 0.131126355053416
"BD" 3.47417294628961e-05 3.27920522806085e-05 3.02898004767252e-05 2.87148811198094e-05 0.000659824193231952 1391 0.230459318464789 0.817734871874126
"BF" 9.76118257392097e-05 8.67850647637938e-05 0.000152119477694626 0.00013569402239733 0.00200782051632651 1391 -0.908504503432399 0.363611735520893
"BI" 1.77995624916305e-05 1.74148846016439e-05 8.26552537215794e-06 8.09482263502068e-06 0.000625060215242366 1391 0.556109747807566 0.578135831736595
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 1391 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 1391 -Inf 0
"BP" 0 0 6.69960972802511e-06 6.3073352577832e-06 0 1391 -Inf 0
"BQ" 0 0 1.66355096632502e-05 1.39411455228384e-05 0 1391 -Inf 0
"BU" 0 0 2.9694526350828e-05 2.96336978197e-05 0 1391 -Inf 0
"BV" 0.00288832369793144 0.00133918387182942 0.00511817102943807 0.00243630438080381 0.00565101535701049 1391 -7.24088101548607 4.45779367863605e-13
"CN" 0.0190406984568299 0.00783629125683705 0.023298531841204 0.0100200442122319 0.0144220326001434 1391 -5.64729660040684 1.62990495011569e-08
"CO" 0.00476386087976222 0.00341812849731045 0.00552542569458063 0.00401883198433284 0.0101101964355351 1391 -2.21597126353336 0.026693470264685
"CQ" 0.0589986592111456 0.0360115888268326 0.0556218672644912 0.0348999106943605 0.0424234020808879 1391 0.97732078393813 0.328410366707923
"CT" 0.000153316457349034 9.81592517113657e-05 0.00021759138969873 0.000142117998803227 0.0015511194166656 1391 -1.05697237414201 0.290524195677842
"CU" 0.00900697831694999 0.00453322201775538 0.00811301984354872 0.00424613951223092 0.00984225692767922 1391 1.08786647942627 0.276654056073857
"DA" 0.00671453161012911 0.00427686751727876 0.00641944644008942 0.00418369482263549 0.0116821073488302 1391 0.29746168119083 0.766114058651715
"DB" 0.00375700584554065 0.00272964848405445 0.00341903438651951 0.00252324436717022 0.00975204193621453 1391 0.789380438790494 0.429889685297286
"DE" 9.35231098406328e-05 7.9040320939554e-05 0.000366226825083344 0.000312854985538813 0.00148087187866638 1391 -5.88867824206006 3.89296532584563e-09
"DI" 3.47858352079033e-05 3.44064992569136e-05 4.36974994387372e-05 4.31623294536107e-05 0.000956143687356403 1391 -0.341536979715053 0.732699370800123
"DK" 0 0 1.21072495997553e-05 1.20528501243557e-05 0 1391 -Inf 0
"DM" 0.00728935445051574 0.00560386930107729 0.00637818119721692 0.00494350069236105 0.0291605846697227 1391 0.844605213980036 0.398331296959304
"DQ" 0.00332776543911974 0.0028538715268302 0.00420894568214781 0.00357736033760887 0.0221045756120505 1391 -1.22071196837389 0.22219509463309
"DR" 0.0307272632980374 0.0189093765422376 0.0269475247730445 0.017051078177572 0.0327162329471291 1391 2.11843780393316 0.0341380070931313
