"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.000319808073098528 0.000292868247470658 0.00138998831315863 0.00126223401351721 0.00299954461514017 416 -6.59142048687176 4.35638120514177e-11
"AC" 0 0 0.000296913510688844 0.000289428402764521 0 416 -Inf 0
"AD" 7.88146279949559e-05 7.01213517335456e-05 0.000184348350602918 0.000166868220155874 0.00142985975514289 416 -1.38003512075951 0.167575831530562
"AE" 0 0 5.7752946626096e-06 5.3819933443675e-06 0 416 -Inf 0
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 416 -Inf 0
"AH" 3.81562881562882e-05 3.30003533859715e-05 0.0001253150568421 0.000111061371754029 0.000673056445066641 416 -2.36553506813378 0.018004038124225
"AI" 0 0 3.69893901003534e-05 3.61296993502895e-05 0 416 -Inf 0
"AM" 0 0 2.02320901099452e-05 1.87760584863334e-05 0 416 -Inf 0
"AQ" 0.000267701048951049 0.000236656637766089 0.00019772695705432 0.000175899183090338 0.00435838022538512 416 0.284328976332494 0.776158282182656
"AY" 0.00302945227710624 0.00138890143928596 0.00190577135691489 0.000950061926422228 0.00508160092495585 416 1.76137502529062 0.0781749492428964
"AZ" 0 0 4.67976946305248e-05 3.6858876988748e-05 0 416 -Inf 0
"BA" 0.00831498607823205 0.0057325600369084 0.00637432261937953 0.00436478266691346 0.0192413401474151 416 1.44986231653761 0.147096917618299
"BD" 0 0 3.02898004767252e-05 2.87148811198094e-05 0 416 -Inf 0
"BF" 0 0 0.000152119477694626 0.00013569402239733 0 416 -Inf 0
"BI" 0 0 8.26552537215794e-06 8.09482263502068e-06 0 416 -Inf 0
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 416 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 416 -Inf 0
"BP" 0 0 6.69960972802511e-06 6.3073352577832e-06 0 416 -Inf 0
"BQ" 0 0 1.66355096632502e-05 1.39411455228384e-05 0 416 -Inf 0
"BU" 0 0 2.9694526350828e-05 2.96336978197e-05 0 416 -Inf 0
"BV" 0.00390795512420299 0.00184952326609134 0.00511817102943807 0.00243630438080381 0.00572515412752782 416 -2.09042990807206 0.0365791986024411
"CN" 0.0267835871492632 0.011253445879022 0.023298531841204 0.0100200442122319 0.0160552805499772 416 1.56687119791739 0.117144801154141
"CO" 0.00581364764283839 0.00396170870202909 0.00552542569458063 0.00401883198433284 0.0142070423475015 416 -0.0820079856236999 0.934640363238768
"CQ" 0.0811371795858696 0.0455174956802197 0.0556218672644912 0.0348999106943605 0.0427414761268999 416 5.0666732116959 4.04828382497616e-07
"CT" 0.000562758282147682 0.000344458483384106 0.00021759138969873 0.000142117998803227 0.00474922882512366 416 0.868973146806298 0.384861818677674
"CU" 0.0129300159912783 0.00602326413952513 0.00811301984354872 0.00424613951223092 0.0133965357776225 416 2.70565265620263 0.00681703077927923
"DA" 0.00761578341513092 0.0044963100284086 0.00641944644008942 0.00418369482263549 0.0102844204932834 416 0.619978942138333 0.535271650849086
"DB" 0.00422383731710703 0.00290962580112876 0.00341903438651951 0.00252324436717022 0.0090184215845885 416 0.873840927911975 0.382204888187202
"DE" 0.000217652318945422 0.000178231181130809 0.000366226825083344 0.000312854985538813 0.00212343010020506 416 -1.2930953660386 0.19597807765859
"DI" 8.01282051282051e-05 7.925646441811e-05 4.36974994387372e-05 4.31623294536107e-05 0.00161621032144723 416 0.455496901778058 0.64875179600345
"DK" 0 0 1.21072495997553e-05 1.20528501243557e-05 0 416 -Inf 0
"DM" 0.00460627045916716 0.00346812355695261 0.00637818119721692 0.00494350069236105 0.0153492669821577 416 -1.96047845466526 0.0499398938268017
"DQ" 0.00192634538944009 0.00164220575852824 0.00420894568214781 0.00357736033760887 0.0105860885507413 416 -3.72843696262471 0.000192671089378859
"DR" 0.0395680453370918 0.0225812024392974 0.0269475247730445 0.017051078177572 0.0318298104309496 416 3.54362292974414 0.000394669268824223
"DS" 0.000774475900199891 0.000580952588768681 0.00284008926512511 0.00210912901256842 0.00426339418000116 416 -7.31079611800304 2.65564219427399e-13
"DT" 0 0 8.34740427403974e-06 8.25515320693771e-06 0 416 -Inf 0
"DW" 6.78334011667345e-05 5.84461473610171e-05 0.000253844155734038 0.000224231125239389 0.000848460049378618 416 -3.98529471308149 6.73964233581184e-05
"DX" 0.00224107631980647 0.00145562929753596 0.00176939566978014 0.00123556586422601 0.00580809057955887 416 0.772789422138037 0.439647014585429
"DY" 0.00170127522480252 0.00151789465473508 0.000931643288636804 0.000847219815848979 0.0114575060684042 416 1.19390173405588 0.232516409139033
"EA" 0.000741392680501261 0.000659766637187144 0.000823993316696495 0.000746679609273743 0.00429986553006257 416 -0.412264930198844 0.680145250436334
"EC" 8.37577057089252e-06 7.92892612091534e-06 8.54435351291298e-05 8.16706497648755e-05 0.000161720390555823 416 -9.30026168089739 1.40100446597639e-20
"EE" 0.000572865165977695 0.000514371160531239 0.000392428128242701 0.000359364382564211 0.00367289007472134 416 0.860774561191283 0.389362218324997
"EI" 9.41214883522576e-05 8.91603786591223e-05 0.000181205599896664 0.000173067881164852 0.00134346515987362 416 -1.27385809589227 0.202713711518756
"EN" 0 0 0 0 0 416 NA NA
"EO" 0 0 3.12103530983298e-07 3.09255386389034e-07 0 416 -Inf 0
"EP" 0.00138230433497379 0.00128369403882341 0.00449297289959411 0.00414836923427894 0.00746799183523968 416 -7.82380861896814 5.12487005840512e-15
"EQ" 0.00380570085557449 0.00270177363717684 0.00566341788443326 0.00399035866503666 0.0104777187419757 416 -2.5083781551257 0.0121286789604532
"ER" 9.86944965603502e-05 8.53006154176567e-05 0.000715079042883843 0.000613694403993241 0.00124998783873401 416 -8.62181264591155 6.59024684319116e-18
"ES" 0 0 0.000257543714000854 0.000249567590000123 0 416 -Inf 0
"ET" 7.12602614776528e-05 6.74414526926823e-05 0.000320051724675177 0.000302355305728194 0.000971167519703387 416 -4.93356829317019 8.07407929435637e-07
"EU" 0 0 0.00011173494646195 0.000105982209990631 0 416 -Inf 0
"EV" 0.0015522141775837 0.00131003862810834 0.00128626063539365 0.00109800742718421 0.00861149056766348 416 0.502190055255907 0.615533837649847
"EW" 0.000120084141963963 0.000116673833996743 0.000234802484814294 0.000227005100620574 0.00119776605927377 416 -1.87876848611131 0.0602761118209611
"EX" 0.000272984711621174 0.000261301125587057 0.000698905166338072 0.000665584684430595 0.00289321653179928 416 -2.85004559169435 0.00437129626838271
"FA" 0 0 1.2139560005276e-05 1.20025626110732e-05 0 416 -Inf 0
"FE" 0 0 4.06729850151076e-05 3.6800840476819e-05 0 416 -Inf 0
"FF" 0.000110870639953455 9.50054820526255e-05 0.000421748038082666 0.000354474357551534 0.00103570601076737 416 -5.1097004191707 3.22670041933542e-07
"FI" 7.75434243176179e-05 7.09947486180164e-05 3.31158487203077e-05 3.08104086637523e-05 0.001447449326377 416 0.566239466442697 0.571231004331309
"FS" 0 0 2.19261629225899e-07 1.27777499503038e-07 0 416 -Inf 0
"FU" 0 0 3.64473945501827e-05 3.45795227841694e-05 0 416 -Inf 0
"FY" 0.000111196625619703 0.000103001982139106 0.000639454872001921 0.000592668257982201 0.00150452602385028 416 -6.63815143398465 3.17641444986724e-11
"GA" 0.000303555720894264 0.000257199113985659 0.000506391018257423 0.000434335670628217 0.00275916322860589 416 -1.3094154771661 0.190393651593924
"GC" 0 0 4.34924122930596e-05 4.32217858428991e-05 0 416 -Inf 0
"GM" 0.00281839189318621 0.00194686710799834 0.00255393138138757 0.00177474255732096 0.00857777453383264 416 0.409274661725192 0.682338108179869
"GU" 9.61538461538462e-05 8.74529044513721e-05 0.000449421874480158 0.000415913999307581 0.00178236230077064 416 -3.75867360166609 0.000170816499927686
"GY" 0 0 0.000176815025293825 0.000174408143629654 0 416 -Inf 0
"HA" 0.000102426539304389 9.74395723143637e-05 0.000127656988115381 0.000120895826489762 0.00122922590776797 416 -0.389200705908729 0.69712768130248
"HB" 0 0 6.33314583073762e-05 5.86255001288571e-05 0 416 -Inf 0
"HE" 0.000248296789849457 0.000198687227428611 0.000239685659582766 0.000190037998241541 0.00254475343432991 416 0.0693231616194221 0.944732389778088
"HF" 0 0 6.3762427225686e-05 5.70355659190616e-05 0 416 -Inf 0
"HI" 0.000225498448537664 0.000198962916084174 0.000352808166372278 0.000308832483337087 0.00192435510936176 416 -1.16449830833647 0.244222128506066
"HL" 0.00035398764459712 0.00030013105990622 0.000808919508253048 0.00067811578235564 0.00273392980937353 416 -2.81989898789859 0.00480387688506328
"HQ" 0 0 7.68568944026235e-05 7.4047426325183e-05 0 416 -Inf 0
"HT" 5.05881718109216e-05 4.0148845971177e-05 0.000441736429184305 0.000367521715165227 0.000585063871256597 416 -11.4126387237417 3.61590852493498e-30
"HY" 0.0117001215343304 0.00693182293632453 0.00669965742043091 0.00433489143061132 0.0236708916527315 416 2.2376519849547 0.0252437586876216
