"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"AA" 0.00292962609965531 0.0026490762410394 0.00138998831315863 0.00126223401351721 0.0273423863917586 993 1.59832563437146 0.109970525282509
"AC" 0.000187095563950818 0.000181756794206745 0.000296913510688844 0.000289428402764521 0.00296504552459774 993 -1.14431201954983 0.252494260337765
"AD" 4.20518063627674e-05 3.83907008339743e-05 0.000184348350602918 0.000166868220155874 0.000923739499047094 993 -4.38280604887307 1.17160409264536e-05
"AE" 0 0 5.7752946626096e-06 5.3819933443675e-06 0 993 -Inf 0
"AF" 0 0 1.99178401148043e-06 1.96032593430566e-06 0 993 -Inf 0
"AH" 2.21329526465478e-05 1.99286987875325e-05 0.0001253150568421 0.000111061371754029 0.000627804600281901 993 -4.57429573627849 4.77824516076775e-06
"AI" 0.000349170383158299 0.00034034163660882 3.69893901003534e-05 3.61296993502895e-05 0.00545373022674888 993 1.75775047750214 0.0787899749506562
"AM" 0 0 2.02320901099452e-05 1.87760584863334e-05 0 993 -Inf 0
"AQ" 9.89064827430254e-05 8.9832186085014e-05 0.00019772695705432 0.000175899183090338 0.00142890377137972 993 -1.89805281052266 0.0576891255940326
"AY" 0.00152923255094276 0.000748978713709617 0.00190577135691489 0.000950061926422228 0.00338290140995506 993 -1.87310058087696 0.0610544971737343
"AZ" 0 0 4.67976946305248e-05 3.6858876988748e-05 0 993 -Inf 0
"BA" 0.00216619777291705 0.00146523729078709 0.00637432261937953 0.00436478266691346 0.0129179680446947 993 -7.07310862737065 1.51500797035069e-12
"BD" 0 0 3.02898004767252e-05 2.87148811198094e-05 0 993 -Inf 0
"BF" 0.000340473612672483 0.000303821003420371 0.000152119477694626 0.00013569402239733 0.00349511865828572 993 1.51582866100215 0.129562682810237
"BI" 4.37847541486055e-05 4.2898737021793e-05 8.26552537215794e-06 8.09482263502068e-06 0.00135166546716107 993 0.811397186566027 0.417137614303171
"BK" 0 0 8.47353196500084e-07 8.25661290076059e-07 0 993 -Inf 0
"BM" 0 0 1.39603956647355e-06 1.37756529931772e-06 0 993 -Inf 0
"BP" 0 0 6.69960972802511e-06 6.3073352577832e-06 0 993 -Inf 0
"BQ" 2.07639040292356e-05 1.70193088509443e-05 1.66355096632502e-05 1.39411455228384e-05 0.000536270204652389 993 0.180876695877192 0.856464361123297
"BU" 0 0 2.9694526350828e-05 2.96336978197e-05 0 993 -Inf 0
"BV" 0.00707757104741662 0.00288380718795625 0.00511817102943807 0.00243630438080381 0.00820875941320907 993 1.71788014771993 0.0858184785791196
"CN" 0.0238668671837629 0.00873459868110379 0.023298531841204 0.0100200442122319 0.0138067287442717 993 -2.93384733003569 0.00334788838858442
"CO" 0.00623726656981015 0.00466981942349743 0.00552542569458063 0.00401883198433284 0.0128464832308935 993 1.59684579441363 0.110300085125783
"CQ" 0.0373819990448351 0.0245012524043891 0.0556218672644912 0.0348999106943605 0.0376985232308417 993 -8.69215762895831 3.55620207412165e-18
"CT" 8.87237404168112e-05 5.9937423318166e-05 0.00021759138969873 0.000142117998803227 0.000828811759816281 993 -3.12455301519383 0.00178075429282892
"CU" 0.00872515737469378 0.00466935230748291 0.00811301984354872 0.00424613951223092 0.0113324297291838 993 1.17682091705063 0.239266992039111
"DA" 0.00418735175319825 0.00284331283454105 0.00641944644008942 0.00418369482263549 0.0101988244689722 993 -4.14145636761878 3.45107529014319e-05
"DB" 0.00165838198596128 0.00127282969086945 0.00341903438651951 0.00252324436717022 0.00639380406980997 993 -6.16267638958279 7.15255857204709e-10
"DE" 7.1987547917578e-05 6.27404655263092e-05 0.000366226825083344 0.000312854985538813 0.00121602283211967 993 -6.48144439691619 9.08486491873762e-11
"DI" 6.71366230278617e-05 6.61170080473463e-05 4.36974994387372e-05 4.31623294536107e-05 0.00208273541323271 993 0.347305562421095 0.72836177236869
"DK" 0 0 1.21072495997553e-05 1.20528501243557e-05 0 993 -Inf 0
"DM" 0.0044883366255073 0.00361532085728679 0.00637818119721692 0.00494350069236105 0.022703916009412 993 -1.84344733593436 0.0652637242131636
"DQ" 0.000880121415125545 0.000768168703328735 0.00420894568214781 0.00357736033760887 0.00521950660722679 993 -16.9600269875514 1.62269904598622e-64
"DR" 0.0209084220186512 0.0138103318719052 0.0269475247730445 0.017051078177572 0.0278318434434473 993 -3.66925323727183 0.000243260019274107
