"Q" "C"
"AA" 0.248429795877388 0.143203907691461
"AC" 0.00620086243996384 0.00460108028031767
"AD" 7.22427948974983e-05 6.97063278734214e-05
"AE" 0.000189824802401026 0.000175185104065018
"AF" 0 0
"AH" 0.000191410038663877 0.000180074984527844
"AI" 0.00592068472941787 0.00445511595811674
"AM" 4.48521709382457e-05 4.33122297197254e-05
"AQ" 4.07782576656261e-05 3.9251597280314e-05
"AY" 0.000401376561270914 0.000345594377474403
"AZ" 9.86540256917877e-05 8.84986850591136e-05
"BA" 0.0010953618848424 0.00100789145307345
"BD" 0.000117770977324107 0.000113872765514814
"BF" 4.94651745627265e-05 4.72988396064508e-05
"BI" 1.47288153328631e-05 1.43512866182164e-05
"BK" 3.57748474202758e-06 3.23522354627731e-06
"BM" 0 0
"BP" 3.06179582799541e-05 2.80588137010095e-05
"BQ" 2.03254338865586e-05 1.91433826733731e-05
"BU" 0.000756507160138931 0.000740457692488639
"BV" 0.00026989411678088 0.000242881771208782
"CN" 0.0019544593607759 0.00174997431664603
"CO" 0.00126400938683786 0.00111125164780218
"CQ" 0.00269224911404994 0.00240872737456626
"CT" 5.34614111194712e-06 4.72112660709402e-06
"CU" 0.00205708026202402 0.0017641946312345
"DA" 0.00255587844419274 0.00223307462920466
"DB" 0.00178562519428856 0.00159341543646609
"DE" 0.000129131942180968 0.000123352288168435
"DI" 5.65232706725988e-05 5.54632425345251e-05
"DK" 2.66680845048096e-05 2.64435595291821e-05
"DM" 0.00559692756131297 0.0049779490758324
"DQ" 0.00899494349222527 0.00821613466719915
"DR" 0.0011162724392193 0.00100420902851858
"DS" 0.000828926427273152 0.00075379149096173
"DT" 0.00112375280430085 0.000906290483526421
"DW" 0.000971519300521429 0.000862905339701685
"DX" 0.000675108376977864 0.000605354073766154
"DY" 0.00904457397978675 0.0076672968039006
"EA" 0.0014642085688972 0.00132613946931671
"EC" 0.000557158386260283 0.000510070655476465
"EE" 0.00292789527670634 0.00272087619676748
"EI" 0.00490721563989365 0.00412847949568894
"EN" 0 0
"EO" 0 0
"EP" 0.0204604438927692 0.0153765776174658
"EQ" 9.59808860484223e-05 9.0937241479599e-05
"ER" 0.00146050457085965 0.00108346341615465
"ES" 0.00241282575344451 0.0017682464267897
"ET" 0.0099988485852919 0.0075946749844354
"EU" 7.26259243289107e-05 7.04233477688818e-05
"EV" 0.0146695135730209 0.010188489757088
"EW" 0.00560209906054271 0.00447088978286812
"EX" 0.00573681545414216 0.00447797319985922
"FA" 0.00134057098297065 0.00117960040055738
"FE" 3.41992708580901e-05 3.34961018740377e-05
"FF" 0.00113908011598146 0.00104976185246073
"FI" 0.000667679843217357 0.000579891562828634
"FS" 0 0
"FU" 6.22865647049444e-06 6.05988948449174e-06
"FY" 0.000748258093579149 0.000718433869824247
"GA" 0.000739464356727344 0.000697402903878541
"GC" 0.00325392838717345 0.00309821378697749
"GM" 1.9764187819682e-05 1.8652640211692e-05
"GU" 0.00108502742958412 0.00104105017084409
"GY" 0.000177188850642584 0.000174265557467446
"HA" 0.000213697147620157 0.000207227278407997
"HB" 0.000418392458508285 0.000390564323682954
"HE" 6.77016342085392e-05 6.4568539500952e-05
"HF" 0 0
"HI" 6.36359533440052e-05 6.15703477925122e-05
"HL" 0.00028852951769299 0.000266736526378177
"HQ" 0.000791064882340018 0.00067855828683906
"HT" 0.000256720583743204 0.000242466718129498
"HY" 0.000569048497980093 0.000517501294141937
"IA" 0.00392120604186138 0.00350463518401217
"ID" 0.00113615585603305 0.000974765174245268
"IF" 0.0105520568932661 0.00697114140340364
"IG" 0.010233627072102 0.00794375832400577
"IH" 0.00161052970682033 0.00146754134032645
"II" 0.0032133902214643 0.00278041346084581
"IJ" 0.000710966613878389 0.000615658940408367
"IK" 0.00151453581755132 0.00120355835156154
"IL" 6.56220826959698e-05 5.06229163393932e-05
"IM" 0.00856048001034858 0.00732655703854311
"IO" 0.00324652527476635 0.00278753026533432
"IP" 8.17881380488338e-05 7.45378267675361e-05
"IQ" 0.10934582309082 0.0734793542559495
"IU" 0.0476131008736563 0.0337076311334541
"IX" 0.00127388561777206 0.00118425532339966
"IY" 3.7305874282571e-05 3.57152689880866e-05
"JA" 0.00255745082362664 0.00234739073334425
