"Q" "C"
"AA" 0.0125107678134371 0.00942475419518498
"AC" 0.0245828521761674 0.0167002837400714
"AD" 5.75401545320016e-05 5.65588650721809e-05
"AE" 0.000262136966080856 0.000235401129308531
"AF" 0 0
"AH" 4.33294710803296e-05 4.10219330628097e-05
"AI" 0.230905666185564 0.123442142363316
"AM" 5.42798635148663e-05 5.24774695019136e-05
"AQ" 1.91248835772712e-06 1.88932190358084e-06
"AY" 0.000100670161835692 9.55066099526626e-05
"AZ" 3.38404189964494e-05 3.29437822270561e-05
"BA" 1.19799174420523e-05 1.17726992314452e-05
"BD" 3.28602912696155e-05 3.18153238923574e-05
"BF" 4.15567782731123e-05 4.02671913160695e-05
"BI" 4.46247283469662e-06 4.27931279641888e-06
"BK" 1.33874185040899e-05 1.16595782519766e-05
"BM" 0 0
"BP" 5.85699559553931e-05 5.21429478972891e-05
"BQ" 1.09533424124372e-05 1.05035471864596e-05
"BU" 0.0435916407794326 0.0384104733341342
"BV" 6.29017488267828e-05 6.11748486279893e-05
"CN" 0.000348991419716844 0.000338480677995842
"CO" 0.000484897987135508 0.000436453484691037
"CQ" 0.0015060240323168 0.00142087342067461
"CT" 9.07715754644716e-06 8.62904895555753e-06
"CU" 0.00467428137638997 0.00433913101978455
"DA" 0.00104950895708296 0.000961045454622728
"DB" 0.000838212218031259 0.000771875188905027
"DE" 0.00101209100190658 0.000980383573360168
"DI" 0.000268406753913401 0.000261859492567071
"DK" 1.25463010914974e-05 1.24053934147261e-05
"DM" 0.000337826196959316 0.000328572029677566
"DQ" 0.000394187083313755 0.000387504577145913
"DR" 0.00115301100678516 0.00110163956898232
"DS" 9.85917948173777e-05 9.65376086355236e-05
"DT" 0.0168516406224502 0.0118636583957982
"DW" 0.000699909645336605 0.000610115486703747
"DX" 5.37591084298332e-05 5.05873967240578e-05
"DY" 0.00179735399012018 0.00147016245845786
"EA" 0.00140352609003367 0.0012336919850772
"EC" 0.000133336533609521 0.000120779956067487
"EE" 0.000103701605558581 9.72942089173118e-05
"EI" 0.00612225100095633 0.0047862968929536
"EN" 0 0
"EO" 0 0
"EP" 0.0118430447867906 0.00878239391883332
