"Q" "C"
"AA" 0.00117669129224315 0.0010776707786609
"AC" 4.48474008875034e-05 4.38513745554707e-05
"AD" 0.00292806444956631 0.00250976364773391
"AE" 4.28851088890552e-05 3.83046483668134e-05
"AF" 0 0
"AH" 0.000225005975986808 0.000188891975235521
"AI" 3.4554433845331e-05 3.3638570932862e-05
"AM" 0.000155461946504345 0.000136240930916074
"AQ" 0.000269491231128917 0.000232150384135967
"AY" 0.0820129023928248 0.0396076083294056
"AZ" 0.00105597097767549 0.000736514894913048
"BA" 0.00316135043773344 0.00254708668125673
"BD" 0.00180841323691932 0.00158727206723648
"BF" 0.00943702397308413 0.00817407591033874
"BI" 0.000793587159873512 0.000758664315222483
"BK" 2.00048091561211e-07 1.93722115239458e-07
"BM" 2.26387756950104e-05 2.22935833260864e-05
"BP" 2.59439765236989e-05 2.46602652097006e-05
"BQ" 5.20373731724888e-05 4.64235220727007e-05
"BU" 0.000239403005091631 0.000238383436411508
"BV" 0.000459335977615325 0.000344117476136774
"CN" 0.00439820747808063 0.00310036944083145
"CO" 0.00482734543749794 0.00319167561165721
"CQ" 0.0595254220069177 0.0310293875093594
"CT" 0.000458678971402406 0.000252199975974134
"CU" 0.0202019063969195 0.00942817958587017
"DA" 0.00919063890716828 0.00504090631137308
"DB" 0.00776180907396371 0.00489808125929196
"DE" 0.0016257922581785 0.0012576104453105
"DI" 4.68711712112017e-06 4.65654865810584e-06
"DK" 0 0
"DM" 0.0219447368475628 0.0148471715908634
"DQ" 0.0109557133228986 0.00896213413726707
"DR" 0.0699094459750426 0.0354969938682524
"DS" 0.00158590387630846 0.00120822347519635
"DT" 1.91042830721273e-05 1.87640652449441e-05
"DW" 0.000435434028063506 0.000369511635130555
"DX" 0.00128392715076319 0.000861628862050289
"DY" 0.00181161067623977 0.00159465243129031
"EA" 0.00108542619770527 0.000958272673354703
"EC" 0.000106639609969944 0.00010028436984713
"EE" 0.000353308672440517 0.000317067855882639
"EI" 0.00181272068614601 0.00168605790058411
"EN" 0 0
"EO" 5.06208649080978e-06 5.03441362029861e-06
"EP" 0.000772388552166711 0.000733597947939095
"EQ" 0.000189189815785906 0.000167226486151862
"ER" 9.24641171770669e-05 8.54889135283385e-05
"ES" 1.20711892742813e-05 1.17830094509799e-05
"ET" 0.00020210633292849 0.000191569430947399
"EU" 4.4660295276444e-06 4.33318214893336e-06
"EV" 0.00126795655116891 0.0010656692431241
"EW" 0.000189129298047531 0.000184339855339011
"EX" 0.00028461769759068 0.000274217212782629
"FA" 2.96316001808695e-05 2.91021051442403e-05
"FE" 3.41226098550702e-06 3.28972710409693e-06
"FF" 0.000760833167065213 0.000637139776498907
"FI" 0.000128180181859037 0.00011545003431563
"FS" 0 0
"FU" 9.02542552625e-07 8.62205069349759e-07
"FY" 0.0238887452963831 0.020985945176488
"GA" 0.00300965654499155 0.0024149117455601
"GC" 0.000154711473018973 0.000152085751051684
"GM" 0.000281444757272611 0.00024008919504099
"GU" 0.00699362635824722 0.00592673377620313
"GY" 2.45978134077139e-05 2.43016787665724e-05
"HA" 0.000202660157712826 0.000197019752879299
"HB" 0.00170656697803179 0.00158402806923148
"HE" 8.2538136813411e-06 7.44502771007267e-06
"HF" 0.000141327923716751 0.000130842804180543
"HI" 6.80052830879577e-05 6.4688767012745e-05
"HL" 0.00149797149278146 0.00129784488625287
"HQ" 0.00014771159013622 0.000139543650986052
"HT" 0.0198394232171939 0.0142213655529876
"HY" 0.0674646634541142 0.0362378887652089
"IA" 0.0187615068641116 0.0117352732370205
"ID" 3.91487233970978e-05 3.7455094420791e-05
"IF" 0.000239454250360627 0.00022747929062634
"IG" 0.00911303252434022 0.00658060100456475
"IH" 0.000102646759730945 9.67833102654875e-05
"II" 0.000303684731488674 0.000287051971439488
"IJ" 4.98539925201976e-05 4.86654610925913e-05
"IK" 3.90239217595035e-05 3.80652019059968e-05
"IL" 0 0
"IM" 6.99185636558615e-05 6.72158639968611e-05
"IO" 3.90554943752715e-05 3.83053709134295e-05
"IP" 0 0
"IQ" 0.00117442319334343 0.00113936694252455
"IU" 0.000413535267574529 0.000403342886908835
"IX" 4.42851667020204e-05 4.3676475408163e-05
"IY" 0.00493600313937588 0.00392395822958774
"JA" 0.00200151841276828 0.00182053673839176
"JB" 6.40968568481872e-06 6.1537671740001e-06
"JI" 6.04312686696218e-05 5.62779402420197e-05
"JM" 0 0
"JO" 1.34622503728446e-05 1.28434182834138e-05
"JS" 1.05843626626023e-05 1.03376728845327e-05
"JU" 0.00362303975695592 0.00316425598820028
"JW" 0 0
"JY" 0.00130315817902685 0.00111739728594651
"KA" 7.60301744109242e-05 6.93642732235516e-05
"KI" 0.00758704853127424 0.00606606002974675
"KM" 0.0288286051197835 0.0160654426907202
"KU" 5.33300818824464e-06 5.18760450545207e-06
"KV" 0.000351439859492149 0.000331188690435063
"KY" 0.000265534746751626 0.000259697361230429
"LE" 0.00143721436727892 0.00138606469289688
"LI" 0.00145024571308391 0.000950204732080578
"LJ" 0.000240771932586466 0.000205173680036556
"LQ" 9.17311430758864e-06 8.22699553226649e-06
"MA" 0.00943382899100024 0.00646133455717739
"MC" 0.000593646373165065 0.000359041548645544
"ML" 2.56616792717786e-05 2.16462821408044e-05
"MM" 6.68332451467255e-05 6.6098880645411e-05
"MQ" 0.000268795795626223 0.000233154268947279
"MR" 0 0
"MU" 5.70103282741487e-05 4.88471196509961e-05
"MW" 0 0
"MY" 0.000156808340410203 0.000139025977648998
"NE" 0.00198521914021446 0.00167366166402057
"NI" 0.0076513353571835 0.00560324712207207
"NM" 0 0
"NN" 0.000842295685521534 0.00070440591213025
"NQ" 4.00608780215539e-05 3.86202937172298e-05
"NS" 0.000731249259929557 0.00068076520509473
"NU" 0.000133497032202959 0.000130250443862493
"OA" 0.000737591400827755 0.00068810600987635
"OE" 5.29218133130114e-06 5.22692043954733e-06
"OI" 0.000582006326636568 0.000409063315204949
"OM" 4.32655376227949e-05 4.22756888414056e-05
"OO" 0.000144808118533563 0.00012294012642947
"OP" 0.00254840629694296 0.00195531586758773
"OR" 0 0
"OT" 0.000140728983378953 0.000128157043940494
"OU" 0.000252535331812528 0.00023450091978105
"OX" 0 0
"OY" 4.657119571545e-05 4.53165747558969e-05
"OZ" 0 0
"PA" 0 0
"PC" 0 0
"PD" 0 0
"PE" 1.35514544909711e-05 1.33358623003523e-05
"PF" 1.94046648814375e-05 1.93687716911991e-05
"PG" 0 0
"PH" 0 0
"PI" 0.00787175236136628 0.00682258878182169
"PJ" 1.69790817712578e-05 1.55591748081711e-05
"PK" 8.41320389486484e-05 8.13835921664093e-05
"PM" 0.00277056296885159 0.00262863057438166
"PN" 0.000107550154791666 0.00010566452333161
"PO" 0.000202758977326955 0.000191438516515384
"PQ" 3.15304829556418e-05 3.13925290203625e-05
"PS" 8.95599917604808e-06 8.76556693680542e-06
"PT" 0.000514523821961959 0.000427849418860628
"PU" 0.000336345698332582 0.000327991392463914
"PW" 0.00318499372662819 0.00188878463221925
"PY" 0.00915004269454273 0.00643096267436335
"PZ" 0.000408121778714593 0.000397697367187023
"QA" 0.0105311435023674 0.00525066576058862
"QC" 3.63837466526953e-06 3.59098831642872e-06
"QD" 0 0
"QE" 0.00313696165047758 0.00245579578806165
"QF" 0.000125255549561779 0.000120730111757268
"QG" 0.000178660412153604 0.000172642271867086
"QH" 4.43970296952192e-05 4.32140310444094e-05
"QJ" 1.93335855228974e-05 1.78145492119372e-05
"QK" 5.30394173425958e-05 5.22381648552036e-05
"QQ" 9.67239650605891e-05 9.45628438973774e-05
"QU" 0.0021909340218691 0.00166547825115555
"RA" 0.00850806963277997 0.00515438162705752
"RB" 6.33429745497799e-05 6.00743884420816e-05
"RE" 8.39558958666326e-05 8.22591240806036e-05
"RO" 0.00211942050760316 0.000990045859487601
"RP" 4.43519265709637e-05 3.98842687838891e-05
"RQ" 9.98095546369559e-05 7.2567614233276e-05
"RT" 0.0214189225834173 0.0152306984836057
"RU" 0.0673052866240894 0.0443204268964568
"RX" 0.00408613148734337 0.00303352059062491
"RY" 0.000236827004699595 0.000222010041728826
"RZ" 9.12740261721158e-05 7.97938985655353e-05
"SA" 0.00203031491039024 0.0015053080660951
"SD" 0.00533345783527381 0.0043444153034797
"SI" 0.000832763524307752 0.000780427430156281
"SR" 3.86152831140606e-05 3.75385195634089e-05
"SU" 0.00432781316684405 0.00374205599866779
"SY" 0.00150958022179298 0.00144725441285299
"TA" 0.000307755992335963 0.000270109797381232
"TC" 0.0202400508855404 0.0169401710905778
"TD" 0.00795767348382928 0.00641160144616541
"TE" 0.00484879151844582 0.00462625931155092
"TI" 0.00208526422473331 0.00153383726553414
"TM" 0.0233670562454905 0.013362871193233
"TQ" 0.00559441663554567 0.00424965642807026
"TU" 0.00831267166060215 0.00496151993277459
"UA" 2.94930897534867e-05 2.8084084566749e-05
"UB" 0.00186013629195781 0.00177679979583266
"UE" 0.000299106456012264 0.000277982912685151
"UF" 0.000178530359046465 0.000172089653475683
"UH" 0.000264452351648294 0.000249212539353219
"UI" 0.000520989152223642 0.000502811770372176
"UK" 0.000828548246367681 0.000796315580549028
"UM" 0.0164857438944179 0.00903661659090873
"UN" 2.77427458088589e-05 2.74558627050411e-05
"UP" 7.68763649488506e-05 7.64917198983625e-05
"UQ" 0 0
"UR" 0.000200839233722188 0.00019367861642722
"UT" 5.06208649080978e-06 5.0589130530941e-06
"UU" 0 0
"UY" 0.000554051446181361 0.000516531482371169
"VE" 0.00300344491305951 0.00238365060018062
"VI" 0.000582747353615941 0.000451244158715512
"VJ" 0.000309018733817378 0.000256706704113278
"VM" 0 0
"VP" 4.23851893995316e-06 3.9326296008231e-06
