"Q" "C"
"AA" 0.000843160145225484 0.000774723078972615
"AC" 2.16478767412957e-05 2.1389109641629e-05
"AD" 1.14367222919955e-05 1.07676760409096e-05
"AE" 4.34793103701604e-06 4.18607831970499e-06
"AF" 0 0
"AH" 1.36789158979314e-05 1.27477732298451e-05
"AI" 1.61979115347038e-05 1.59779244410764e-05
"AM" 8.78802517193315e-06 8.48243298408938e-06
"AQ" 0.00147621411428701 0.00125280829350424
"AY" 0.000837037721808415 0.000561302295091705
"AZ" 4.40791815657297e-05 3.63231526514202e-05
"BA" 0.366621843987632 0.158110967740126
"BD" 1.74546571643513e-06 1.70911944085512e-06
"BF" 8.30712422476741e-05 7.623063123326e-05
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 3.65197034388315e-06 3.30005226683853e-06
"BU" 6.56430241334826e-06 6.55868324742746e-06
"BV" 0.000572070518926955 0.000406380522244679
"CN" 0.00193188078468005 0.00131446389904256
"CO" 0.000972248715552394 0.000817074052060176
"CQ" 0.0087796086895975 0.00688146940094552
"CT" 7.17030091058448e-06 5.26983110934858e-06
"CU" 0.00134146642257903 0.000941026908260468
"DA" 0.00136536811312016 0.0010882115897835
"DB" 0.000770769369659525 0.00064315962659138
"DE" 7.43027278773848e-05 6.8848963322394e-05
"DI" 6.958810715337e-05 6.89799946638286e-05
"DK" 9.13408661181883e-06 9.09733855225586e-06
"DM" 0.00433252156801183 0.00345666697669441
"DQ" 0.0393673957305292 0.0274330809052864
"DR" 0.00446110391561274 0.00344812799670509
"DS" 0.054460877054572 0.0297281080473231
"DT" 7.72991960135558e-06 7.68486152479961e-06
"DW" 5.81242228857104e-05 5.40283955304813e-05
"DX" 0.000904680209017881 0.0007217758490919
"DY" 0.000629878746071112 0.000596799412941897
"EA" 0.000517397291821621 0.000488814309215683
"EC" 3.75759478646025e-06 3.66974687145465e-06
"EE" 0.000126788756237765 0.000120574075940601
"EI" 0.000108570154512044 0.000106043049819513
"EN" 0 0
"EO" 0 0
"EP" 0.000160540565373447 0.000154112996196926
"EQ" 0.00273406879148533 0.00220794360438108
"ER" 4.35843369891403e-05 4.02505017896201e-05
"ES" 1.13844186733869e-05 1.12170581364405e-05
"ET" 0.000322638437164185 0.000311622735179574
"EU" 4.50215812592354e-05 4.30249648609021e-05
"EV" 0.000671796081241978 0.000609130068856961
"EW" 1.75043789179041e-05 1.72050147075663e-05
"EX" 0.000135162945941787 0.00013167730420405
"FA" 1.91179597414364e-06 1.89534129095201e-06
"FE" 1.09056573389774e-05 1.02096599906782e-05
"FF" 0.0119664287263519 0.00759835849857238
"FI" 1.04724901506583e-05 1.00978848259261e-05
"FS" 0 0
"FU" 1.94926285852362e-05 1.82051299320256e-05
"FY" 0.0024039564270477 0.00219394828593949
"GA" 0.00162968066866393 0.00136795840517394
"GC" 2.45626020749279e-05 2.44840018994143e-05
"GM" 0.000791597908754487 0.000631130621442112
"GU" 8.32277874842972e-05 8.05185946618781e-05
"GY" 9.52915271066203e-05 9.39142389476045e-05
"HA" 0.000174662723017926 0.000167185031183515
"HB" 0.00157870653925347 0.00140448780622567
"HE" 5.42005687216396e-05 4.63305585227546e-05
"HF" 0.000238131933681145 0.000212334122724973
"HI" 7.79122894255609e-05 7.23411017316832e-05
"HL" 0.00793745627432562 0.00594215401623294
"HQ" 3.04275390108603e-05 2.98350861946938e-05
"HT" 6.97808519453178e-05 6.42363019895199e-05
"HY" 0.000317936179250552 0.000254516633998357
"IA" 0.00491113336885455 0.00358041890782561
"ID" 2.37110066618218e-05 2.34120752985075e-05
"IF" 3.85630942362167e-05 3.77012912237331e-05
"IG" 0.00247122103408928 0.00189567356476082
"IH" 9.18185541196029e-05 8.98742684767903e-05
"II" 2.15426797674945e-05 2.11156544761103e-05
"IJ" 0.000177478147428353 0.000173217384438218
"IK" 3.04193119446765e-05 3.00743322984146e-05
"IL" 1.27371822550672e-06 1.26209837656887e-06
"IM" 5.33048744557298e-06 5.25518728394338e-06
"IO" 0 0
"IP" 6.17146806882421e-06 6.13377736127995e-06
"IQ" 0.000165104935573021 0.000162530362339204
"IU" 2.2372328990828e-05 2.21368611403881e-05
"IX" 0 0
"IY" 1.88587789227041e-05 1.75492832945212e-05
"JA" 0.000344648616383413 0.000331684038119904
"JB" 0 0
"JI" 0.000334061527906176 0.000298580277145296
"JM" 1.22128206434513e-06 1.11545104430315e-06
"JO" 7.40084320318153e-05 6.75134211375145e-05
"JS" 2.43954502485287e-06 2.36190001820424e-06
"JU" 9.51153220345925e-06 9.13612758501602e-06
"JW" 0 0
"JY" 0.000127670460308138 0.0001181307792499
"KA" 7.16800518864707e-06 7.04953550020347e-06
"KI" 0.00590430931491974 0.00476042338336427
"KM" 0.00240772358767327 0.00195512929912276
"KU" 0 0
"KV" 1.04979692849055e-05 1.04032922720392e-05
"KY" 7.98772446504212e-07 7.96504083167572e-07
"LE" 2.78213077463517e-05 2.76519294880132e-05
"LI" 0.00165106757071375 0.00103279764876293
"LJ" 0.000942319543117948 0.000725523820594989
"LQ" 0.00148828227670552 0.00118255070487975
"MA" 0.0155562578165693 0.0111972048547235
"MC" 0.0002989297930555 0.000240432385823938
"ML" 3.90102486086458e-05 2.67624660372819e-05
"MM" 1.77663474708576e-05 1.76030587636994e-05
"MQ" 6.53165951299153e-05 5.75337985231814e-05
"MR" 7.48056735615056e-07 7.30602254961282e-07
"MU" 4.02080495393093e-06 3.85352757435767e-06
"MW" 1.09599010101741e-06 1.04097477891965e-06
"MY" 0.000809746583192622 0.000676568896948807
"NE" 0.0066281611025329 0.00516718218511566
"NI" 0.00554035099601532 0.00441767108234727
"NM" 9.44309224544543e-06 9.20802293987718e-06
"NN" 0.00300832082627003 0.00250379456205123
"NQ" 0.00043044834751491 0.000406471798476015
"NS" 4.6772237620669e-05 4.55269718995116e-05
"NU" 0.000278843570151731 0.000270079139615948
"OA" 6.67547216031868e-05 6.47859753609579e-05
"OE" 4.26392339300582e-06 4.22380533493468e-06
"OI" 0.00066541685848658 0.000473063548425606
"OM" 7.99147516817888e-05 7.71681676177171e-05
"OO" 0.000291569562865755 0.000228035351379026
"OP" 0.00043635869528227 0.000349027165516046
"OR" 5.89094679296857e-06 5.79751529239444e-06
"OT" 3.32395417783948e-05 2.94370651515908e-05
"OU" 0 0
"OX" 1.02451248573366e-06 9.87081113088644e-07
"OY" 2.25165077420132e-05 2.17957960959697e-05
"OZ" 1.07108123508519e-06 9.60156420047324e-07
"PA" 3.20543825495941e-06 3.13519522264545e-06
"PC" 0.000207156560840661 0.000205181811535673
"PD" 0 0
"PE" 0.000151798589417461 0.000149957054374192
"PF" 2.04902497146733e-06 2.04676517554486e-06
"PG" 0 0
"PH" 1.8125990132211e-06 1.80359473424264e-06
"PI" 9.12151373858421e-05 8.79451907763895e-05
"PJ" 5.73989687520014e-06 5.57081630829627e-06
"PK" 4.05942893982154e-06 4.02628017665917e-06
"PM" 5.39249996184938e-05 5.30600390960186e-05
"PN" 7.19613069640602e-05 7.126713668342e-05
"PO" 0.000203596283291269 0.000197665069562786
"PQ" 3.07272894911449e-06 3.06567847433898e-06
"PS" 7.96875811688893e-05 7.7871056261852e-05
"PT" 0.00222735532019759 0.00173497733568425
"PU" 2.26758739799295e-05 2.24519764579538e-05
"PW" 0.00109806879887966 0.000713583743097635
"PY" 0.0495840793788461 0.0273574809721295
"PZ" 1.76382493865921e-05 1.75477915462757e-05
"QA" 0.00628421269013586 0.00401684741729574
"QC" 8.78730382690881e-06 8.6733431532308e-06
"QD" 0 0
"QE" 8.22060946900559e-05 7.19398285522443e-05
"QF" 0 0
"QG" 0 0
"QH" 8.12544385237044e-07 8.06727861355361e-07
"QJ" 0 0
"QK" 0 0
"QQ" 2.92744420174611e-05 2.90825695153115e-05
"QU" 0.00153282245449597 0.00133400784001507
"RA" 2.71226086109044e-05 2.21099979661478e-05
"RB" 1.14433334254217e-05 1.09080341733972e-05
"RE" 0 0
"RO" 0.000141916777917887 9.89400521497021e-05
"RP" 7.76973132617542e-06 6.76475271461916e-06
"RQ" 2.78128691533104e-05 2.44228353065774e-05
"RT" 0.0615762612263856 0.0346288359817743
"RU" 0.0624303290354281 0.0386780788909887
"RX" 0.00180747792197658 0.0011928792149298
"RY" 1.77054207569086e-05 1.71067554900589e-05
"RZ" 0.00217128430501627 0.00165697243927728
"SA" 0.00163444135697117 0.00128347251836523
"SD" 0.0124039922183696 0.010228053008728
"SI" 1.53894010814695e-05 1.52285160218594e-05
"SR" 4.97457729184012e-06 4.93863400396298e-06
"SU" 0.00184687083775761 0.00162943421783387
"SY" 0.000152917720323863 0.000149985112604811
"TA" 0 0
"TC" 0.00955631915168239 0.00736344052736098
"TD" 0.00320076159396857 0.00246553865159431
"TE" 3.36625531026775e-06 3.34384041407075e-06
"TI" 4.83761444614142e-05 4.1721372426792e-05
"TM" 0.0013273882930051 0.000911040067775382
"TQ" 0.0267427503352633 0.0171261691735764
"TU" 0.0237667907899863 0.0152587106229802
"UA" 1.43276540447281e-05 1.35461099686082e-05
"UB" 4.65603432735683e-05 4.59060719443436e-05
"UE" 4.22090105234304e-05 4.02496323238676e-05
"UF" 6.19722960006635e-05 6.10258481421259e-05
"UH" 2.88579751971618e-05 2.83162483835526e-05
"UI" 7.24821891357322e-05 7.1587470652278e-05
"UK" 1.53572532170515e-05 1.51926646534955e-05
"UM" 0.00994350883639279 0.0063012979150947
"UN" 0 0
"UP" 2.54466891396926e-06 2.54135504966828e-06
"UQ" 4.60645463510324e-06 4.5332484729337e-06
"UR" 7.25623621104248e-05 7.13400608665934e-05
"UT" 5.63682751954639e-06 5.63018888431723e-06
"UU" 1.14790177534855e-05 1.13791589338317e-05
"UY" 1.05653482466668e-05 1.02796837509971e-05
"VE" 0.00680262018426182 0.00481572218141438
"VI" 0.00236618601130823 0.00164708776970578
"VJ" 0.00136798067211909 0.0010555124929005
"VM" 9.18017108927138e-06 9.02377384658023e-06
"VP" 5.90561905344779e-05 5.18894287102169e-05
"VS" 0.00017853612340308 0.000159804285819715
"VX" 0.00116052184363918 0.000891422611054337
"VY" 0.00685216493330509 0.00523816890218171
"WC" 0.00319344565485511 0.00223138042628405
"WE" 0.0276009385823902 0.018016695552057
"WF" 0.000679216331814603 0.000593377920036826
"WH" 0.00518899605719665 0.0043210175985579
"WM" 0.000330820943820196 0.000273482089689338
"WQ" 0.000323790600881066 0.000302763560285184
"WU" 0.000264129960142867 0.000228085193577661
"WV" 0.000483807678084213 0.000395534623876238
