"Q" "C"
"AA" 8.75913331917545e-05 8.44434324373464e-05
"AC" 1.36440983649644e-05 1.33886671585495e-05
"AD" 0.00190070192594779 0.00168589041647109
"AE" 0.000235818439631142 0.000184972007265764
"AF" 0.000242953270941343 0.000221002348439801
"AH" 0.00279678192107037 0.0020730919871622
"AI" 1.90706403180774e-05 1.84435143396427e-05
"AM" 0.00542759852070714 0.00388513715095717
"AQ" 2.53007036454249e-05 2.38689217646207e-05
"AY" 0.000831764873841897 0.000642131368624767
"AZ" 1.26761027575594e-06 1.09919509239953e-06
"BA" 1.98569436710309e-06 1.91203469254058e-06
"BD" 0.0975365009039442 0.0356602509539928
"BF" 0.00145390359024232 0.00117969945148148
"BI" 0.000391306448842013 0.000348438306536833
"BK" 1.22848468590318e-06 1.06397539290932e-06
"BM" 0.000188346693934993 0.000179567846779673
"BP" 0 0
"BQ" 6.32052360157519e-05 5.72746486171179e-05
"BU" 0.000672142989669846 0.000660850718401638
"BV" 0.000158010716777918 0.000141817877680632
"CN" 0.00414957691156026 0.00339445401746558
"CO" 0.00422810159722117 0.00333330316212043
"CQ" 0.0331530224008623 0.0242282009374708
"CT" 4.88935392077291e-06 4.0922131884417e-06
"CU" 0.0243575619637627 0.0144316498045262
"DA" 0.00040835480332384 0.000312027045205931
"DB" 0.00559771033807268 0.00399602485868926
"DE" 0.0330795689294053 0.0227414736742822
"DI" 0.000194143791369666 0.000191247344559382
"DK" 4.78486524523397e-05 4.7074813648468e-05
"DM" 8.17387109525661e-05 7.28599353295017e-05
"DQ" 2.37672868042532e-05 2.2791837955983e-05
"DR" 0.000613960927403221 0.000475152355314417
"DS" 2.29787916649929e-05 2.17356605687744e-05
"DT" 3.16726950491605e-05 3.05719476609046e-05
"DW" 0.000426528323001178 0.000368572890494279
"DX" 0.000364520036055891 0.000299144180782883
"DY" 0.000323894669712446 0.000296866609966096
"EA" 0.000463348719595472 0.000414107980934116
"EC" 7.24275442691719e-05 6.94039533657882e-05
"EE" 0.000120910734519117 0.000113163324322207
"EI" 0.000118112032886666 0.00011079787551047
"EN" 4.12185758602793e-06 3.93888979281854e-06
"EO" 0 0
"EP" 0.000162158221594462 0.000157090652915966
"EQ" 1.84281420195543e-05 1.79212630195018e-05
"ER" 5.18567840081975e-06 5.0106257519117e-06
"ES" 1.37496999569147e-05 1.35284124005415e-05
"ET" 0.000137081790871705 0.000131750583331269
"EU" 7.03315673033381e-05 6.88429882866857e-05
"EV" 0.00173829023961427 0.00151185783962981
"EW" 5.89167341743129e-05 5.77249508919989e-05
"EX" 0.000165100850139204 0.000160882939550972
"FA" 5.43389052990438e-05 5.15601314423333e-05
"FE" 1.31714429778115e-05 1.29764847089195e-05
"FF" 2.45171312688581e-06 2.39519078904212e-06
"FI" 5.90519337974449e-06 5.54385434234232e-06
"FS" 0 0
"FU" 4.48609681182001e-05 4.25725895397859e-05
"FY" 2.72828683359044e-05 2.64965190205406e-05
"GA" 5.01821992401243e-05 4.66839884089449e-05
"GC" 0.00166355270546482 0.00149790711395384
"GM" 9.87347688579209e-06 9.42048347772745e-06
"GU" 0.290009264092959 0.0994044422377848
"GY" 0.00298220858051628 0.00283769122489464
"HA" 0.000102460303011658 0.000100872175668937
"HB" 2.23044336531601e-05 2.16414245896348e-05
"HE" 1.39695826307797e-06 1.35205686404867e-06
"HF" 8.63387550288235e-05 8.2332059233816e-05
"HI" 6.68955673664627e-06 6.5768154253267e-06
"HL" 3.25537824907817e-05 3.14470575167956e-05
"HQ" 3.14875045220995e-05 2.94827834683297e-05
"HT" 0.0518035684346158 0.0237792152806219
"HY" 0.000347532400281694 0.000274186462440431
"IA" 0.000551946788325968 0.000467275104439405
"ID" 0.000432692724072355 0.000384876270756962
"IF" 1.54218034470382e-05 1.45840196251872e-05
"IG" 2.23730792254769e-05 2.03867572552271e-05
"IH" 0.00228217406927636 0.00167392561786445
"II" 9.16518504537806e-05 8.18299113369014e-05
"IJ" 4.42760676800452e-05 4.31781164836526e-05
"IK" 1.55141799862437e-05 1.51686912364806e-05
"IL" 3.65656810314213e-06 3.27924142063928e-06
"IM" 0.000552127359616689 0.000450055017947811
"IO" 8.35031473752575e-05 7.32768694599876e-05
"IP" 4.08966475170534e-05 3.67721251945427e-05
"IQ" 0.000146366215874702 0.00014352633932302
"IU" 2.08933060945721e-05 2.02626081766647e-05
"IX" 2.12544881082317e-05 1.94920686075767e-05
"IY" 0.0166759785739054 0.0103141288743266
"JA" 0.0893600304376286 0.0530047361003203
"JB" 0.00546859419657574 0.00383471270321239
"JI" 2.42596672879375e-05 2.35069757843974e-05
"JM" 0 0
"JO" 7.42457447228479e-06 7.30397582970947e-06
"JS" 3.49962276982894e-06 3.45327151564386e-06
"JU" 0.0156065493530795 0.0104639578730549
"JW" 1.12214680148886e-06 1.08940175716117e-06
