"Q" "C"
"AA" 0.000315369609478865 0.000301165969066903
"AC" 3.9293617374191e-05 3.85482394624665e-05
"AD" 0.000559289664640516 0.000519517674108666
"AE" 0.000150691908007044 0.000137904366244284
"AF" 0.000294708468144806 0.000269058705714647
"AH" 0.000842604951757148 0.000744076394005964
"AI" 1.67487513438218e-05 1.61957206049573e-05
"AM" 0.000869306594445743 0.000777967902634857
"AQ" 0.000380150943215027 0.000352777450401391
"AY" 0.004330725170363 0.00340732238638794
"AZ" 7.26868311752439e-05 6.28591510415377e-05
"BA" 0.000986911254354278 0.000897153599987305
"BD" 0.00245327042613964 0.00204201840543693
"BF" 0.227843658985371 0.135955573343462
"BI" 0.0794935848361675 0.0538323043578867
"BK" 0.000232416385407205 0.000206077393577888
"BM" 0.0130812688822688 0.0112394288561764
"BP" 0.00142083171198969 0.00120539837025048
"BQ" 0.00505272240125597 0.00396516173971974
"BU" 0.000545429634719728 0.000535089907448248
"BV" 0.00252091516640343 0.00214044290506936
"CN" 0.00659695290934374 0.00547114437761789
"CO" 0.00123126563103641 0.00104112104479305
"CQ" 0.00917762236302961 0.0074377111590515
"CT" 1.42414314949526e-05 1.20563641535654e-05
"CU" 0.0176812862955057 0.0129740452805334
"DA" 0.00102498104722835 0.000848639282797921
"DB" 0.00183406747628424 0.00151366050296523
"DE" 0.00493136695191577 0.00428914439176438
"DI" 0.00108685465881256 0.00103622395712041
"DK" 0.000214450217611451 0.000204719407112089
"DM" 0.00555964630633726 0.00484104770028607
"DQ" 0.00345580693791822 0.0031762627972573
"DR" 0.00268867839392159 0.00221464300837585
"DS" 0.0010680450845374 0.00094931073997524
"DT" 1.54519249860528e-05 1.51413944943704e-05
"DW" 0.000702986662777271 0.000641947334492105
"DX" 0.000776557212982945 0.000666896855775417
"DY" 0.000607858765930637 0.00057028396086417
"EA" 0.00548064123989554 0.0050419447108047
"EC" 0.00287985439632028 0.00277296217771439
"EE" 0.0002190189783467 0.000208475434481016
"EI" 0.000518265697564699 0.000496149530953917
"EN" 0.000531523672801612 0.000411222515528801
"EO" 0.000151550646663751 0.000148713308308577
"EP" 0.000390258319909306 0.000376411669020349
"EQ" 0.00381774132363051 0.00333483352696108
"ER" 9.64102859713479e-05 9.1302807517827e-05
"ES" 8.35754824158869e-05 8.19538009751478e-05
"ET" 0.000334885510821583 0.00032078195152479
"EU" 0.0089121280008229 0.0080360641216737
"EV" 0.000704656952380603 0.000631355985251571
"EW" 0.000384200782260174 0.000375045795295265
"EX" 0.000286674401959191 0.000278337709764739
"FA" 0.00019236735503608 0.000186147840297905
"FE" 0.00104927101076728 0.000956302425554763
"FF" 0.000503716632643011 0.000459510512388754
"FI" 6.72838909159963e-05 6.3988338873195e-05
"FS" 8.27615264234982e-05 7.23053632343042e-05
"FU" 0.00547181341451281 0.00463168098719423
