"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 3.78357926598562e-05 3.70822785762562e-05
"AE" 8.38179245069811e-05 7.98483861758076e-05
"AF" 0.00203363964338525 0.00134321676557608
"AH" 0.00112386472596133 0.00106191552950683
"AI" 3.26707091224087e-05 3.21371124089759e-05
"AM" 0.000278428267062774 0.000268307554321666
"AQ" 3.54710556186152e-05 3.45834666111205e-05
"AY" 0 0
"AZ" 2.02691746392087e-05 1.95382103815778e-05
"BA" 0 0
"BD" 0.000536624686711746 0.000495239472073748
"BF" 0.0465121892998753 0.038732441898407
"BI" 0.00183211009582709 0.00166782193578609
"BK" 0.000261960823989268 0.000219491755123866
"BM" 0.183199144408952 0.0877358281820053
"BP" 0.000867070248455038 0.0007919724909962
"BQ" 0.00888322662196136 0.00630108936398138
"BU" 0.000291001758251541 0.000289706082383604
"BV" 0.000179352521082959 0.00016911600733916
"CN" 0.000279431501890846 0.000264006909080214
"CO" 5.26488624276301e-05 5.09751209412245e-05
"CQ" 0.000729770470329368 0.000705331115677307
"CT" 0 0
"CU" 0.000890755351852184 0.0008303048651491
"DA" 0.00022321248880164 0.000216401284158185
"DB" 0.000361691667359739 0.000346406273379895
"DE" 0.000453063526960744 0.000439633097291583
"DI" 0.00687654689808762 0.00579818195687261
"DK" 0.00546878716569305 0.00407652417240366
"DM" 0.000219560508209243 0.000212702486917754
"DQ" 0.000127611592777721 0.000124820970132072
"DR" 0.000308610092486149 0.000299372153436099
"DS" 8.87008227430208e-05 8.55229467449151e-05
"DT" 8.36352351277906e-05 8.20932000172406e-05
"DW" 0.000135127830928058 0.000131248217550739
"DX" 2.57971313589929e-05 2.50309793632168e-05
"DY" 0.000191881519917842 0.000188568392609231
"EA" 6.95398412936374e-05 6.79936669426188e-05
"EC" 5.49641582558722e-05 5.44638860253717e-05
"EE" 6.38018338075092e-05 6.31509395324209e-05
"EI" 0.000133277167156652 0.000131175733745362
"EN" 0.000945620400006911 0.000610543407569418
"EO" 0 0
"EP" 0.000251924786375418 0.000244433830611119
"EQ" 0.00110886971570273 0.00101900116087014
"ER" 2.02691746392087e-05 1.93432778864884e-05
"ES" 0.000277032527316296 0.000271941436282079
"ET" 0.00068162230365767 0.00065074185804542
"EU" 0.0119438404318988 0.0096033156900034
"EV" 0.000693965975656349 0.000648120361048672
"EW" 0.000440537202739246 0.00042868290387084
"EX" 0.000394329925164797 0.000383127230989654
"FA" 7.56053461869046e-05 7.36688591502607e-05
"FE" 0.00189712427508552 0.00166402885328736
"FF" 3.15298272165469e-05 3.03946997796719e-05
"FI" 7.60094048970326e-05 7.51586149446431e-05
"FS" 2.02691746392087e-05 1.8717948942307e-05
"FU" 0.0137486584550173 0.00954293707382875
"FY" 0.000157506570370234 0.00015537807296385
"GA" 0.000124148694665153 0.00012140171294239
"GC" 0.000329715939411676 0.000321824110038246
"GM" 0.000808101318732673 0.000748672758888605
"GU" 0.00281554160819373 0.00258569411055102
"GY" 0.0878189628470351 0.0544910756109417
"HA" 0.00595649108025431 0.0053591789326534
"HB" 4.04876763418194e-05 3.83001627052299e-05
"HE" 0.000165193773309551 0.000157217680888884
"HF" 0.00168265709935212 0.00138895256610594
"HI" 0.000502867007735877 0.000464946009740586
"HL" 0.00265547040260971 0.00233438287056497
"HQ" 5.96324993008603e-05 5.84818037183322e-05
"HT" 0.000151174086537257 0.000142053537793178
"HY" 0 0
"IA" 0.000363306324587914 0.000347850780534338
"ID" 0.00189643774536741 0.00180730171695958
"IF" 0.000241095814494763 0.000232683346029756
"IG" 0.000154522649014203 0.000150379284416769
"IH" 0.0006445238546738 0.000598474716974112
"II" 0.000222329379537098 0.000215544236415179
"IJ" 0.000336332543928732 0.000312102644414841
"IK" 0.000151680990216745 0.000146954843613196
"IL" 0 0
"IM" 0.000423477051598505 0.000397031305925156
"IO" 0 0
"IP" 0.000142912369014131 0.000138197857569603
"IQ" 0.00029160057611578 0.000287076326003105
"IU" 8.48879963522415e-05 8.35502905814635e-05
"IX" 8.38802127502272e-05 8.17813220524806e-05
"IY" 0 0
"JA" 0.00830719530437382 0.00744779471788861
"JB" 0.0201037325792473 0.0130668510663997
"JI" 3.69614361067923e-05 3.32463840297654e-05
"JM" 0.00838654588059899 0.00582014946691087
"JO" 0.00248353458008786 0.00216154023205152
"JS" 0.000875487505194723 0.00074657630024727
"JU" 0.000175269700000878 0.000168717947187393
"JW" 0.000862535276553438 0.000754983960794777
"JY" 0.00102119969852629 0.000991638839754942
"KA" 0.0005925171765078 0.000553148392904864
"KI" 0.000198957470523872 0.000194530557869105
"KM" 0.000656668524999711 0.000626775368354716
"KU" 0.0430164639517112 0.0291691743745094
"KV" 0.00054104947558507 0.000501140603591514
"KY" 3.95638697284554e-05 3.82920967882488e-05
"LE" 0.00121616229618964 0.00114968459308473
"LI" 0.000108859111977321 0.000101506483952689
"LJ" 0.000317683860833498 0.000292766569242291
"LQ" 0.00263793796998507 0.00223003722685202
"MA" 8.81709096805578e-05 8.56207725680169e-05
"MC" 7.46759065655057e-06 7.0570310515629e-06
"ML" 0 0
"MM" 0.0364386269869002 0.0278636885531201
"MQ" 0.00212267760864135 0.00181119942552136
"MR" 0.00248327404872475 0.0016117757253647
"MU" 2.36473704124101e-05 2.3094045571391e-05
"MW" 0.000527574697600694 0.000408256929077589
"MY" 0.00108637779404662 0.000999428145711314
"NE" 0.00723856552983775 0.00625258218553506
"NI" 0.00146961296909192 0.00142122841521595
"NM" 0.00307419563903864 0.00207272647142186
"NN" 0.00158076730156261 0.00151208037988639
"NQ" 0.00102140302718538 0.000905226904350723
"NS" 0.000133935526537516 0.000132166487995186
"NU" 0.00194370487014165 0.00175511823399736
"OA" 8.78330901032377e-05 8.62536606480642e-05
"OE" 0.0797863254329163 0.0444994162692783
"OI" 0.00010462169940036 9.96613025798602e-05
"OM" 0.0121759538299928 0.0101988507031436
"OO" 0.000177709882719452 0.000157455466175529
"OP" 0.000211063865261171 0.000198709844199904
"OR" 0.00717358660757091 0.0056375465921504
"OT" 0.00212158029578649 0.0020142707181732
"OU" 3.94122840206836e-05 3.64728875787259e-05
"OX" 0.000205732122587968 0.000187507866167335
"OY" 0.00148041059622726 0.00141335328551171
"OZ" 0.00182449016654218 0.00117436465338554
"PA" 0.00439117703158072 0.0039340412583383
"PC" 0.00668658397029847 0.00562654624917263
"PD" 0.00103992441535007 0.000942354712770642
"PE" 0.000574436166866966 0.00053082425803382
"PF" 0.000212826333711691 0.000200888447359473
"PG" 0 0
"PH" 0.000283768444948922 0.000269409897348687
"PI" 0.000304448515421011 0.000288157279214493
"PJ" 4.05383492784174e-05 3.9668451653382e-05
"PK" 8.81638225565581e-05 8.73072365490051e-05
"PM" 0.000474165240380139 0.000468394911726162
"PN" 0.000278823331649068 0.000273623123097157
"PO" 0.00111643769860187 0.00100663060470946
"PQ" 0.000250053027436682 0.000248366505282135
"PS" 0.00269576897617491 0.00188818131459356
"PT" 0.000104235844871486 9.49475194304e-05
"PU" 0.000104333338926725 0.000102800677757938
"PW" 2.83768444948922e-05 2.70374661757065e-05
"PY" 0.00411163799811667 0.00376600722308397
"PZ" 7.38525568264501e-05 7.32131164937735e-05
"QA" 0.000311215432526443 0.000295288145132456
"QC" 0.000173808172531215 0.000163409828118899
"QD" 0.000438049622215343 0.000406791617964076
"QE" 0.000132763093886817 0.000130355474293204
"QF" 0.000118236852062051 0.000116623356083168
"QG" 3.15298272165469e-05 3.12197165010357e-05
"QH" 4.72947408248203e-05 4.6849226823346e-05
"QJ" 3.54710556186152e-05 3.48077530345653e-05
"QK" 0.000318451254887123 0.000292075751246974
"QQ" 0.00126281040050722 0.00120581809006467
"QU" 0.000269960274885855 0.000261585451435221
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.000865095759624658 0.00080010827990064
"RP" 0.00150784097800475 0.00142957545385564
"RQ" 0 0
"RT" 0.000249720259680654 0.000239460270102289
"RU" 0.000419784318901076 0.000403132349307979
"RX" 6.92118158412004e-06 6.69920344292249e-06
"RY" 0.000119423785712094 0.000116768391514144
"RZ" 0.000497663908854668 0.000456963860888832
"SA" 0.0015638055597116 0.00147242627393585
"SD" 0.000451437797827001 0.0004346389544235
"SI" 0.000289216816645388 0.000275663614570449
"SR" 6.1288492033293e-05 5.85643884272026e-05
"SU" 0 0
"SY" 6.62126371547484e-05 6.56264125562123e-05
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 3.82862187629498e-05 3.68749106100503e-05
"TI" 0.000115942863154874 0.000111100975998241
"TM" 0 0
"TQ" 0.00032082647755627 0.000302728458873647
"TU" 0.000423455687121076 0.000403002225958128
"UA" 0.00204530766103348 0.00189990829775279
"UB" 0.000111480460515648 0.000110305508097102
"UE" 9.24656830243916e-05 8.83654807045473e-05
"UF" 0 0
"UH" 0 0
"UI" 0.000147247474192046 0.000145627948466661
"UK" 0.000111480460515648 0.000110433917422201
"UM" 0.000132383119710142 0.000126687305927428
"UN" 3.77828821946568e-05 3.75630117885899e-05
"UP" 0.000267215285660235 0.000266339052395349
"UQ" 0.0520173426915756 0.0295864347516802
"UR" 0 0
"UT" 0.000189145890053949 0.000183718165880976
"UU" 0.126234437455443 0.0694191427513447
"UY" 0.000146951516134263 0.000145468282217319
"VE" 0.00136394123512983 0.00127959249627006
"VI" 0.000982691056569121 0.000910875267183655
"VJ" 0.00296814603233256 0.00255678753565718
"VM" 0.00862614606812441 0.00554539008785124
"VP" 0 0
"VS" 7.32392843630074e-05 6.79273026005768e-05
"VX" 0.000326000018154579 0.000309101318050697
"VY" 0.000243206637263732 0.000237169674299348
