"Q" "C"
"AA" 0.000223593575353584 0.000214231821873792
"AC" 3.60956739675275e-05 3.47317453888938e-05
"AD" 0.000195802005012531 0.00018946193805767
"AE" 1.42401458190932e-05 1.35962455231154e-05
"AF" 0.000363475349654032 0.000315357298554415
"AH" 0.000309442616102122 0.000291494069328877
"AI" 1.02157567832625e-05 9.89512372699922e-06
"AM" 9.75765656864957e-05 9.34147113446045e-05
"AQ" 7.61481878069787e-05 7.34459487780185e-05
"AY" 0.000235561584504162 0.000206764274440493
"AZ" 0 0
"BA" 1.96287866067153e-05 1.8150845516446e-05
"BD" 0.000486339848602545 0.000453292511355526
"BF" 0.0366568622735001 0.0299213040679495
"BI" 0.0154191768257932 0.0136261314184938
"BK" 0.000841023334828263 0.000731211829878877
"BM" 0.0139903735446671 0.0109551476480997
"BP" 0.0252955948049625 0.0211107274713569
"BQ" 0.113750369003556 0.0710947932101969
"BU" 0.00201283369725875 0.00198920690820734
"BV" 0.00140431249997418 0.00114714965132939
"CN" 0.00424231999006865 0.0035188633293245
"CO" 0.000474663175662924 0.000438614549340154
"CQ" 0.00548520411106212 0.0050076615838415
"CT" 0 0
"CU" 0.00680173375155476 0.0058439292693296
"DA" 0.00110339893834612 0.00101350566193597
"DB" 0.000868686998379086 0.000800642093051847
"DE" 0.00196179778526 0.00186224445694063
"DI" 0.013955259571918 0.0120050142339916
"DK" 0.00111512420222374 0.00101475748270015
"DM" 0.000752132526064322 0.00070651904681249
"DQ" 0.000242790699243363 0.000233483622112482
"DR" 0.00196141874977648 0.00180274168454956
"DS" 9.27993009832671e-05 8.63168130865239e-05
"DT" 0 0
"DW" 0.000162160069714516 0.000154935085031862
"DX" 0.000389688416328292 0.000361918056155851
"DY" 0.00107550103240048 0.00103635175484438
"EA" 0.000513684930384771 0.000492493610777817
"EC" 0.000178888327071239 0.000175255681731566
"EE" 9.79010025062657e-06 9.54901528661447e-06
"EI" 0.000381426335972365 0.000370571722854787
"EN" 0.00152509185010968 0.00103637779598573
"EO" 0.00539942431266135 0.00517632120081852
"EP" 0.00737901402351975 0.00684685220798746
"EQ" 0.00411836148563971 0.00340835450133968
"ER" 0.00174052881820421 0.00155027913142049
"ES" 0.000554957461636876 0.000527430560078219
"ET" 0.00531049446304173 0.00484640996956386
"EU" 0.0225515409953687 0.0178075460088752
"EV" 0.00421764264300014 0.00375329313605237
"EW" 0.00233448010847367 0.00219289000762482
"EX" 0.00310644339335071 0.00289969252553629
"FA" 0.000630576508527893 0.000612487389729376
"FE" 0.00218197341817313 0.00185569349587189
"FF" 0.000105568773331931 9.95359789421051e-05
"FI" 0 0
"FS" 0.000430764411027569 0.000343383322381387
"FU" 0.00454051833815111 0.00364651454837352
"FY" 4.55746046149857e-05 4.45344871336787e-05
"GA" 0.00015379087273125 0.00014765404341484
"GC" 0.000502038352510115 0.00048607787221577
"GM" 0.000569412023544226 0.000487610719284163
"GU" 0.00412943972773482 0.00381138172811687
