"Q" "C"
"AA" 8.55254597718064e-05 8.24334123229977e-05
"AC" 0.000261779031738626 0.00025191776401078
"AD" 1.04553567108233e-05 1.04044001389551e-05
"AE" 1.12864558344811e-05 1.10028387073106e-05
"AF" 1.56506132066761e-07 1.55519283683803e-07
"AH" 1.04305697759151e-05 1.02417096835309e-05
"AI" 0.00606597564488518 0.00495443108784671
"AM" 2.55307348120569e-05 2.51064224591555e-05
"AQ" 3.30698539774837e-06 3.29681406197144e-06
"AY" 9.73874354572529e-06 9.60535336676489e-06
"AZ" 1.59859834896763e-06 1.5875072741669e-06
"BA" 1.5568491886089e-06 1.552297709808e-06
"BD" 2.45694871205423e-05 2.39920505375773e-05
"BF" 3.10901596731727e-05 3.02993385779436e-05
"BI" 5.43892183666534e-05 5.21440071222733e-05
"BK" 0 0
"BM" 3.79037806745331e-06 3.7735983977753e-06
"BP" 5.27127006394152e-06 5.05059254442612e-06
"BQ" 4.85606825046294e-06 4.73729093291276e-06
"BU" 0.664557862685096 0.15677493335968
"BV" 4.51860603986029e-06 4.4969941916659e-06
"CN" 1.34925136804918e-05 1.34067223941693e-05
"CO" 0.000119112295850603 0.000115729893384625
"CQ" 0.000531365156290423 0.000522646468411407
"CT" 0 0
"CU" 0.00136176062343271 0.00131917460453211
"DA" 0.000267291529166712 0.000260493273666564
"DB" 0.000292313346231819 0.000286127698967945
"DE" 0.000184198406361818 0.000181906826417412
"DI" 1.96065289287527e-06 1.95589131431313e-06
"DK" 1.80376842119826e-06 1.79933691485802e-06
"DM" 7.39780079117256e-05 7.34678134433225e-05
"DQ" 1.20203623501553e-05 1.19819745723046e-05
"DR" 0.000142456779868782 0.000140684448140484
"DS" 4.08680481419615e-06 4.0703715781782e-06
"DT" 0.000312684100174555 0.000300188526426937
"DW" 2.47353215333302e-05 2.39607643151263e-05
"DX" 2.82401614639453e-05 2.7792403729612e-05
"DY" 0.000565743873479583 0.00053742222045344
"EA" 0.000214999776092868 0.000207734603546612
"EC" 3.99053120920674e-05 3.88007568724546e-05
"EE" 7.76035107572202e-05 7.62847065811076e-05
"EI" 0.00157768905389615 0.00147521600790643
"EN" 0 0
"EO" 1.72156745273437e-06 1.71870909876909e-06
"EP" 0.000379401312732724 0.000367158046856411
"EQ" 1.46009992059329e-06 1.45717622252941e-06
"ER" 1.85607411197201e-05 1.79591695834211e-05
"ES" 6.01083841703243e-05 5.80504525930326e-05
"ET" 0.000393439088740806 0.000381026520119527
"EU" 3.64177730386116e-06 3.63047948980082e-06
"EV" 0.00264013210288477 0.00243141032152846
"EW" 0.000530230375219809 0.000513991854997941
"EX" 0.000253521790855058 0.000244491892026147
"FA" 4.45736065740481e-06 4.33903840409406e-06
"FE" 4.62027504409052e-07 4.61467451134365e-07
"FF" 1.89033642272525e-06 1.88589255964708e-06
"FI" 0.000129939038024457 0.000124113054555059
"FS" 4.69518396200282e-07 4.67136013310297e-07
"FU" 0 0
"FY" 9.31572653794302e-07 9.29029131390442e-07
"GA" 5.19898094637614e-06 5.17601290169106e-06
"GC" 0.0179206931105369 0.0147387657695386
"GM" 3.13012264133521e-07 3.12065204093547e-07
"GU" 0.000219038973553031 0.000213352807695681
"GY" 1.79495985178676e-05 1.78656864705388e-05
"HA" 0.000129867622433489 0.00012924058447402
"HB" 0.00020734789979814 0.000200345274157727
"HE" 4.30391863183591e-07 4.29651682506102e-07
"HF" 7.93918494582545e-06 7.91074621709656e-06
"HI" 1.42770855809663e-05 1.42502614516698e-05
"HL" 1.05297348253821e-05 1.04857284001424e-05
"HQ" 3.71860423060828e-05 3.54787305475915e-05
"HT" 6.80119649002117e-05 6.69404902215063e-05
"HY" 2.27665994743098e-05 2.25381064166168e-05
"IA" 3.32313534147147e-05 3.2949690461263e-05
"ID" 0.000146655527273677 0.000140400702279718
"IF" 0.000294128659715685 0.000268946068541081
"IG" 7.95429716925905e-05 7.72397034874142e-05
"IH" 5.76230972715522e-05 5.52004613898513e-05
"II" 0.000149911011124212 0.000143938759408435
"IJ" 3.63037168802153e-05 3.55961679547321e-05
"IK" 5.76928430981773e-05 5.56507023242881e-05
"IL" 8.98350424367049e-06 8.40243519752803e-06
"IM" 6.93947642465539e-05 6.58323889394059e-05
"IO" 0.000112522360159213 0.000100043643987476
"IP" 1.21717820090559e-05 1.12949677292639e-05
"IQ" 0.00252575738053647 0.00237568199885979
"IU" 0.000341690041594914 0.000324385579778832
"IX" 3.08835877823808e-05 2.88556133370671e-05
"IY" 7.69875347594891e-06 7.61417983853898e-06
"JA" 0.000559461900886274 0.000528181252122587
"JB" 1.39119807975853e-05 1.35644106367909e-05
"JI" 7.37814622600442e-07 7.33510696349187e-07
"JM" 3.24638433944195e-06 3.23873426415196e-06
"JO" 7.21861874003676e-07 7.20955983911483e-07
"JS" 2.9533218518721e-06 2.94794031054581e-06
"JU" 9.88258712021617e-06 9.72668216911307e-06
"JW" 0 0
"JY" 3.46962034391621e-05 3.43171336304314e-05
"KA" 1.62339541054805e-05 1.58213737191044e-05
"KI" 1.63451578077171e-05 1.62861067336957e-05
"KM" 0.000164484726951641 0.0001622835593653
"KU" 1.37785593081016e-05 1.3519619582665e-05
"KV" 0.000188998108030142 0.000170603658782081
"KY" 0.00038232601316324 0.000343721243780551
"LE" 0.0241734398273949 0.0201406061023296
"LI" 5.25614409271826e-06 5.2200674123905e-06
"LJ" 5.35344563375205e-07 5.33889331879788e-07
"LQ" 3.3928293630187e-06 3.38302790841461e-06
"MA" 1.52557741942403e-05 1.51629252281954e-05
"MC" 3.03481083855529e-05 2.94059725696911e-05
"ML" 3.13012264133521e-07 3.12127532058103e-07
"MM" 7.605371169001e-06 7.57687230998543e-06
"MQ" 0.000157095939925662 0.000141026204142197
