"Q" "C"
"AA" 8.66664468067705e-05 8.11390119535424e-05
"AC" 6.57701265176275e-05 6.41526034453276e-05
"AD" 0.00142606321525628 0.0011878393350992
"AE" 0.000578129650030983 0.000470920656794551
"AF" 4.18138989877892e-06 4.06202146783413e-06
"AH" 0.00169984947732197 0.00126989603751043
"AI" 2.19679129313989e-05 2.12983904320867e-05
"AM" 0.00168296452205805 0.00135689120281742
"AQ" 0.000842256266775744 0.000698314045207949
"AY" 0.000908405293716302 0.000449159602239345
"AZ" 0.000169190551730503 0.000112279552476206
"BA" 0.000406425134705831 0.000350842805585829
"BD" 0.000553556210781498 0.000489454049598916
"BF" 0.000140962175042554 0.00012495318177669
"BI" 2.10772938376694e-05 2.03256555595724e-05
"BK" 2.93068920859024e-07 2.82467487491879e-07
"BM" 2.01667790623086e-06 1.99083182085825e-06
"BP" 1.26936532697527e-06 1.193762282033e-06
"BQ" 1.00614891949794e-05 9.07017106726422e-06
"BU" 8.82504911261099e-05 8.78855415277421e-05
"BV" 0.000196563247928647 0.000162514098801715
"CN" 0.00136999440233653 0.00107604062086982
"CO" 0.0235014018093719 0.01156452949264
"CQ" 0.263674847322478 0.0872246494417305
"CT" 0.000353592261869483 0.000170459056971285
"CU" 0.00976829861090145 0.003407581106199
"DA" 0.0377931883086358 0.0134817553472191
"DB" 0.029910447109363 0.0137436341981371
"DE" 0.0224570182727544 0.0146955404210221
"DI" 7.58998253632473e-06 7.54786312407102e-06
"DK" 4.06577963446724e-06 4.05239070488603e-06
"DM" 0.0300849676896883 0.0189345416268241
"DQ" 0.00677227093857809 0.00562117640352805
"DR" 0.0981847395062519 0.0351929729134432
"DS" 0.00109020425866884 0.000881103630534414
"DT" 5.16081275170347e-05 4.97911112008311e-05
"DW" 0.0060700892876952 0.00439715070330626
"DX" 0.0140975016892946 0.00711995088106272
"DY" 0.0200876583927358 0.0154283753603709
"EA" 0.00896943985094819 0.00705899611980425
"EC" 0.00338698210355523 0.00292255795760575
"EE" 0.0131076301985559 0.0103759007195359
"EI" 0.00807406728355225 0.00690019090171843
"EN" 0 0
"EO" 0 0
"EP" 0.000231818754616379 0.0002211059056149
"EQ" 0.000167205526245596 0.000154033746061774
"ER" 1.59996103164605e-05 1.50822948935527e-05
"ES" 2.25897585821456e-05 2.20713479820797e-05
"ET" 0.000494650858752503 0.000462320920395569
"EU" 6.87168146752915e-06 6.7156372584938e-06
"EV" 0.00376111295276162 0.00295265509841321
"EW" 7.00863026622935e-05 6.83396792900582e-05
"EX" 0.000122876801598072 0.000118377483746642
"FA" 1.13471343846583e-05 1.10462710485771e-05
"FE" 1.04620492986462e-06 1.0210932904333e-06
"FF" 7.71018016686957e-05 6.95290492647465e-05
"FI" 0.00430399562671258 0.00346133333371749
"FS" 7.44709401680783e-07 6.49948553276427e-07
"FU" 4.36419866274804e-06 4.19448849972236e-06
"FY" 0.000776346259540725 0.000708137879561021
"GA" 0.00175046755391215 0.00137663498736649
"GC" 0.0001827354641734 0.000179786345935902
"GM" 0.000363950308740784 0.000317687650515973
"GU" 0.00602541368188519 0.00510194952822572
"GY" 3.25804392662452e-05 3.22066672342259e-05
"HA" 7.91818043674113e-05 7.75737515434468e-05
"HB" 0.000227980019300221 0.000211533067825936
"HE" 1.1472543401856e-05 1.07160432305824e-05
"HF" 2.08565424079158e-05 1.95616441079043e-05
"HI" 1.67456722415547e-05 1.62378338849428e-05
"HL" 9.571251467024e-05 8.53949734342263e-05
"HQ" 0.000679327501872008 0.000603555440266015
"HT" 0.00727234057607233 0.00479938708982183
"HY" 0.0119405693840401 0.00562854646327124
"IA" 0.0197967453255586 0.0112506050406615
"ID" 0.000708547407755557 0.000647696292651316
"IF" 0.000101616093875219 9.38662215555931e-05
"IG" 0.00195894859939862 0.00141496562632053
"IH" 0.000691741617542622 0.000626259906947815
"II" 0.00170191159941238 0.00150869717454597
"IJ" 1.4498954947744e-05 1.41582301031779e-05
"IK" 1.94375624015932e-05 1.87586580841743e-05
"IL" 4.46185348843327e-07 4.35160227156813e-07
"IM" 0.000133539107566715 0.000125617135398059
"IO" 4.14067929933201e-06 4.07150618782397e-06
"IP" 7.62983017068913e-06 7.28385612150623e-06
"IQ" 0.000234136465736146 0.000226990065396724
