"Q" "C"
"AA" 0.000758261408213197 0.000705048349541284
"AC" 0.000382717674981531 0.000370509420869641
"AD" 0.00192119573639393 0.00164058643959669
"AE" 0.000384488393432757 0.000323210186532348
"AF" 6.44688430209849e-05 6.19564300172557e-05
"AH" 0.0017874762971855 0.00140895096096559
"AI" 0.000222444338790776 0.000214428960521927
"AM" 0.00246819782933146 0.00203547316895686
"AQ" 0.00111987642746987 0.000934962043800422
"AY" 0.00249768170129559 0.00141521678688892
"AZ" 0.000302235737428708 0.000218347126353545
"BA" 0.00116660951306447 0.000995541543192634
"BD" 0.00488204189759922 0.00402431716000497
"BF" 0.00283641662405891 0.0024664902592796
"BI" 0.00044867213580322 0.000427833071964465
"BK" 6.26666605777095e-06 5.95678471050871e-06
"BM" 2.25655261191033e-05 2.20669660983385e-05
"BP" 1.37858649166349e-05 1.29773432452131e-05
"BQ" 5.34719484031517e-05 4.76687198914373e-05
"BU" 0.00243467882323625 0.00240899085748971
"BV" 0.00161035946253592 0.00127503607611185
"CN" 0.0107535652100542 0.0080595390597201
"CO" 0.0134967904871311 0.00832021859548913
"CQ" 0.107708262028586 0.0532088378560401
"CT" 0.000500388189435529 0.000294533512807528
"CU" 0.0490976765701119 0.0218945119860485
"DA" 0.01700330457032 0.00890172800293995
"DB" 0.0232728127586369 0.0132261738441743
"DE" 0.0186143677127062 0.0134176745731424
"DI" 0.000108991849186148 0.000107766293743724
"DK" 6.44742855259003e-05 6.38691804410539e-05
"DM" 0.027897769974008 0.0194682632919999
"DQ" 0.00694954076388012 0.0058842007246015
"DR" 0.0558664302848112 0.0285375306899387
"DS" 0.00182872086734762 0.00148156278031497
"DT" 0.000142870617062156 0.000138617893268575
"DW" 0.00163949485281779 0.00132395196798457
"DX" 0.00318435790388339 0.00201977496600478
"DY" 0.00422531478069472 0.00361176122089149
"EA" 0.00325753934411406 0.00276599157293857
"EC" 0.00043780454336666 0.00040471381226473
"EE" 0.00121035387939631 0.00105764288260138
"EI" 0.00243161680794968 0.00221726418089088
"EN" 0 0
"EO" 9.09246307550745e-07 9.0456440751249e-07
"EP" 0.00218171899968952 0.00205537131472057
"EQ" 0.000976562653469435 0.000873889006462999
"ER" 0.000297998869163472 0.000275526716685161
"ES" 0.000183513977781095 0.000177653950966818
"ET" 0.000723389748072158 0.000675601793139963
"EU" 0.000145778996320303 0.000140789362507302
"EV" 0.00494426974429193 0.00400891428998434
"EW" 0.000556658640534043 0.000536895498602202
"EX" 0.0010768596867796 0.00102641695057105
"FA" 9.62305162995088e-05 9.36395009743443e-05
"FE" 3.76288017350724e-05 3.61792585554255e-05
"FF" 0.000243995764147559 0.000217199818240422
"FI" 0.000601354568433798 0.000529326859103202
"FS" 0 0
"FU" 0.000347347144120493 0.000327484528304908
"FY" 0.00173953853500285 0.00160132011884426
"GA" 0.0017425371153402 0.00142622735857284
"GC" 0.00158736347169668 0.00153983131722692
"GM" 0.000527178577996464 0.000452638513407602
"GU" 0.0372783629320944 0.0294705381579134
"GY" 0.00128851283287424 0.00125832609856512
"HA" 0.000813824025436221 0.000788244405561283
"HB" 0.000657611567499415 0.000610530534774294
"HE" 5.3530413079939e-05 4.91011496393251e-05
"HF" 0.000122178888554231 0.000113029557130798
"HI" 0.000221994995189472 0.000211474644138871
