"Q" "C"
"AA" 0.000217117703762113 0.000203380050086453
"AC" 0.000336944928759517 0.000324584113685991
"AD" 0.00380082219167276 0.00313523961421332
"AE" 0.0116293800650949 0.00814583466968034
"AF" 9.92010955012066e-05 9.44226359985929e-05
"AH" 0.0048339188925271 0.00335950583456081
"AI" 3.63138151868069e-05 3.46620313401504e-05
"AM" 0.00879594003437653 0.006716484021917
"AQ" 0.000677284364238175 0.00057183981892834
"AY" 0.000581128622559515 0.000364614348320839
"AZ" 0.000117935720927765 8.7352012988139e-05
"BA" 0.0001902445666094 0.000172300183141086
"BD" 0.000430534747886194 0.000371477665684397
"BF" 9.60541864327031e-05 8.62358007966383e-05
"BI" 2.73168993684154e-05 2.61612492840017e-05
"BK" 8.50621249836371e-07 7.91349909492626e-07
"BM" 9.12834175857977e-06 8.96101818158845e-06
"BP" 1.0169149353177e-05 9.40665932201302e-06
"BQ" 7.05218907678135e-06 6.47709784977884e-06
"BU" 0.00012556972336648 0.00012481493043531
"BV" 6.02035531542143e-05 5.36740037861594e-05
"CN" 0.000362874589861278 0.000311149076826087
"CO" 0.030171286630612 0.0162848903752718
"CQ" 0.110502990203004 0.0520439731594841
"CT" 0.00101375795246714 0.000594126427559545
"CU" 0.00665174196760375 0.00307595523576059
"DA" 0.0142027633638214 0.00699680275752546
"DB" 0.150387767691256 0.0666469341444999
"DE" 0.0349201152482079 0.023403464354221
"DI" 6.03285855724186e-05 5.98291497396447e-05
"DK" 1.22879245411645e-05 1.22113590924968e-05
"DM" 0.0181517333028727 0.0130250268592761
"DQ" 0.00319985057389754 0.00280239129572929
"DR" 0.034227532055279 0.0175624138729075
"DS" 0.000612460337360844 0.000518789881860258
"DT" 0.000643672573314733 0.000594992286625707
"DW" 0.0114857722319718 0.00787983580164558
"DX" 0.00562414728004154 0.00331457541424203
"DY" 0.0127275459922938 0.00984360143809973
"EA" 0.0131137405500665 0.0100869979086165
"EC" 0.000945791310781974 0.000826897478676408
"EE" 0.00613540832299301 0.00502124222864995
"EI" 0.00892953364386977 0.00742703324349208
"EN" 1.03235158208635e-06 1.00377725807633e-06
"EO" 2.05463144142064e-06 2.04683924128896e-06
"EP" 0.00108723524862176 0.00103093408904072
"EQ" 6.27726264762912e-05 5.95239030436176e-05
"ER" 3.87654797362411e-05 3.66974007281646e-05
"ES" 0.000166004421475568 0.000160883762514401
"ET" 0.000765817729949092 0.000713850904483619
"EU" 6.20447501423477e-05 6.07242798504448e-05
"EV" 0.0064633816669195 0.00509543012682961
"EW" 0.000372749212157834 0.000360591523017165
"EX" 0.000764045270843338 0.00073093790426371
"FA" 0.000165103693531518 0.000156117477958482
"FE" 1.23885313782787e-05 1.21669733009653e-05
"FF" 0.000101843116573558 9.3680891084016e-05
"FI" 0.000544789259942601 0.000447385697501624
"FS" 3.66627564614809e-08 3.37969834102881e-08
"FU" 1.02545913008369e-05 9.8324567365284e-06
"FY" 0.00148704210444939 0.00137127964844262
"GA" 0.00129577848046487 0.00106814948580263
"GC" 0.000458063542941523 0.000444084894679144
"GM" 0.00011136143699579 0.000100981526941309
"GU" 0.00602137684096639 0.00497633866076795
"GY" 0.000295002023256848 0.00028954285786168
