"Q" "C"
"AA" 3.15511408366287e-05 3.03418350422788e-05
"AC" 5.34846639403036e-05 5.24803916430797e-05
"AD" 0.00106761332854471 0.000906804578428433
"AE" 0.00139596079366523 0.00106236991005668
"AF" 0.000110071844658428 0.000103364806429474
"AH" 0.0110017504569559 0.0066703787225716
"AI" 5.58135424216599e-05 5.43392742564814e-05
"AM" 0.0557298637014194 0.0286400851267508
"AQ" 0.000302014649975844 0.000273103664832337
"AY" 0.000121210425638874 8.00408861760943e-05
"AZ" 5.66754265656162e-05 4.39391032341928e-05
"BA" 6.93693337982149e-05 6.48378410506554e-05
"BD" 0.00666162798010333 0.00483513476881454
"BF" 0.000391507670213663 0.000342516387836352
"BI" 0.000310335754565665 0.000290836870286508
"BK" 1.77721401110968e-06 1.67076817695513e-06
"BM" 1.6402974023949e-05 1.60869533660257e-05
"BP" 7.62628296090847e-06 7.17403151279244e-06
"BQ" 1.33709270028661e-05 1.22880482972785e-05
"BU" 0.000238972019905992 0.000237315502076956
"BV" 3.28227133819446e-05 2.98078800082215e-05
"CN" 0.000447660542409204 0.000385952201852951
"CO" 0.0107980431127677 0.00654550276316663
"CQ" 0.0976716772516326 0.0485461754380133
"CT" 6.05552321490976e-06 4.01037598057968e-06
"CU" 0.00808593701427099 0.00389549264448749
"DA" 0.00809653623520514 0.00437732618518403
"DB" 0.0318571868843471 0.0164396448024686
"DE" 0.327700518320601 0.13083691605705
"DI" 3.24380468059877e-05 3.22356297585524e-05
"DK" 1.84095568159289e-06 1.83187977335599e-06
"DM" 0.00278445929322442 0.0021713409494394
"DQ" 0.000647912725748742 0.000591618707529153
"DR" 0.0389745152359863 0.0212679771016896
"DS" 9.4947297834792e-05 8.53935292373522e-05
"DT" 5.04393181739004e-05 4.88411743667767e-05
"DW" 0.0123514005145964 0.00901882984272606
"DX" 0.0179185746073658 0.0107893883527574
"DY" 0.00515522599969388 0.00433611509287757
"EA" 0.00540078687986417 0.00447022447324769
"EC" 0.000437224893696506 0.00039953188096473
"EE" 0.00574739737886649 0.00486368377238037
"EI" 0.00136154316058326 0.00123209838877002
"EN" 0 0
"EO" 7.75943757113464e-07 7.72995046909671e-07
"EP" 0.000146052275986183 0.000141301100557906
"EQ" 4.59619845171009e-05 4.42641758458538e-05
"ER" 6.1469807950762e-06 5.94068909869526e-06
"ES" 1.15328378367522e-05 1.13491194778973e-05
"ET" 8.14383297235245e-05 7.74230453858978e-05
"EU" 1.3835939805299e-05 1.36330539780001e-05
"EV" 0.00226204961603274 0.00187984705267163
"EW" 8.61443813154368e-05 8.4522694098691e-05
"EX" 7.50389112316439e-05 7.30383391177742e-05
"FA" 2.19822812547977e-05 2.13516851577201e-05
"FE" 2.74550135533243e-06 2.71115499213823e-06
"FF" 2.01733704471776e-05 1.93036120243074e-05
"FI" 0.000240997274486508 0.000210577934328985
"FS" 1.95537826792593e-06 1.83788883426863e-06
"FU" 1.04325678250511e-05 1.01091743170568e-05
"FY" 0.000143472600251702 0.000135895090786368
"GA" 0.000400592183714309 0.000346905758119473
"GC" 0.000767517667448772 0.000735959580375434
"GM" 6.77833700259602e-05 6.28730787788234e-05
"GU" 0.0519798862933809 0.035617995934685
"GY" 0.000239104249998025 0.000234745243969576
"HA" 2.93868368457635e-05 2.90291644972578e-05
"HB" 4.22925967915126e-05 4.03469722413132e-05
"HE" 1.3601110436762e-05 1.30824509859681e-05
"HF" 6.63164830631685e-06 6.3502718136362e-06
"HI" 8.05677654599812e-06 7.93411654634671e-06
"HL" 4.82226682212309e-05 4.57122189863449e-05
"HQ" 9.37764230725834e-05 8.60846403529366e-05
"HT" 0.0223246607829245 0.0131166029343112
"HY" 0.00607274649182545 0.00375145038346244
"IA" 0.00229595330201421 0.00166731245799325
"ID" 0.0010525894713212 0.000954461791094434
"IF" 4.5255879672042e-05 4.27242262072083e-05
"IG" 9.74068205818195e-05 8.08221162763683e-05
"IH" 0.00122410077852926 0.00104401333223207
"II" 0.000779251428511307 0.000695166556429413
"IJ" 2.14527954038046e-05 2.10713747963041e-05
"IK" 1.31421537668366e-05 1.28333276001073e-05
"IL" 6.17487874081873e-07 5.92295031562999e-07
"IM" 0.000292356951600908 0.00026362815772994
"IO" 1.07557856044004e-05 1.02863084306325e-05
"IP" 3.98016619874077e-05 3.73988827901145e-05
"IQ" 0.000144018785786064 0.000141269391156793
