"Q" "C"
"AA" 0.000880484963464906 0.000797700163828484
"AC" 1.40182650952672e-05 1.38540202745895e-05
"AD" 2.0791651605089e-05 1.9304152506053e-05
"AE" 1.61620127182435e-06 1.53463545089572e-06
"AF" 6.78865035126804e-07 6.69349165775317e-07
"AH" 7.69854913324872e-05 7.01870508863416e-05
"AI" 3.10492565717135e-06 3.05938677909473e-06
"AM" 1.90933847975979e-06 1.81565771420461e-06
"AQ" 0.000972259104907749 0.000797337317511052
"AY" 0.000647783503106991 0.000448112038872529
"AZ" 2.22825286692799e-05 1.72366970443241e-05
"BA" 0.00597078041479507 0.00434168138306945
"BD" 3.672856270398e-06 3.57336379267557e-06
"BF" 6.25602681549555e-05 5.75679874538421e-05
"BI" 3.98157211889557e-06 3.93541637942252e-06
"BK" 0 0
"BM" 0 0
"BP" 7.96314423779114e-07 7.80064845166107e-07
"BQ" 3.03963366728462e-06 2.85208098065149e-06
"BU" 6.5228701116375e-06 6.51602172500842e-06
"BV" 8.70647076509304e-05 7.5722176658381e-05
"CN" 0.000192618235785976 0.000166359513996766
"CO" 0.00105574088352271 0.000845284535564737
"CQ" 0.0194721802629586 0.0138953460763354
"CT" 0.000149289539844786 9.30127815891009e-05
"CU" 0.0017461283454734 0.00117230674465602
"DA" 0.00319338261055401 0.00230878763357804
"DB" 0.00166830871781941 0.00128977739165846
"DE" 0.000110515740904714 9.89093638814589e-05
"DI" 1.70324442785267e-05 1.69444649544279e-05
"DK" 7.3798575859168e-07 7.35921618261488e-07
"DM" 0.00710233882703145 0.00511642104309542
"DQ" 0.370058371870722 0.132066286478213
"DR" 0.0145288732112955 0.00992505250622605
"DS" 0.00718141260434788 0.00425097057476195
"DT" 1.13426510948344e-05 1.12602937820807e-05
"DW" 0.000117829028631824 0.000107371006781689
"DX" 0.000550568997097224 0.000423506709291597
"DY" 0.000359915986316308 0.000336496722446484
"EA" 0.000320766821203711 0.000299389774131957
"EC" 2.42216510586233e-05 2.35001542631162e-05
"EE" 0.000103293537294596 9.7168785931322e-05
"EI" 5.21936960119418e-05 5.05970425305248e-05
"EN" 0 0
"EO" 0 0
"EP" 0.000144023567026477 0.000139999081113141
"EQ" 0.000435315175434242 0.000393041774607689
"ER" 8.65208725467352e-06 8.31630417453122e-06
"ES" 1.44023478172548e-05 1.42232750611599e-05
"ET" 0.000114445986880205 0.000110464318462829
"EU" 1.59942619128356e-05 1.54433009475124e-05
"EV" 0.000761799942402116 0.000680606294283763
"EW" 4.0449883492468e-05 3.98343628217173e-05
"EX" 0.000124180919550511 0.000121334635909027
"FA" 4.31135049079327e-06 4.27276386663859e-06
"FE" 1.22673020422769e-06 1.1820087933988e-06
"FF" 0.00247690766467193 0.00161829294250693
"FI" 4.42591667901598e-06 4.2115080521462e-06
"FS" 4.42089895227822e-07 4.00014444270427e-07
"FU" 1.40284943304587e-05 1.31438786410973e-05
"FY" 0.000395393582120266 0.00035985648369875
"GA" 0.000554063357683137 0.000450969132133732
"GC" 1.07013659711655e-05 1.06599501528768e-05
"GM" 0.000226207505731368 0.000198630336499014
"GU" 3.26962843684345e-05 3.13804540667544e-05
"GY" 0.000126446899087122 0.000124862673818345
"HA" 4.43270103934032e-05 4.30161782471057e-05
"HB" 8.95730844183089e-05 8.0461158108291e-05
"HE" 1.32219352412514e-05 1.2323322700083e-05
"HF" 4.97548652542441e-05 4.53429225346663e-05
"HI" 2.77554053909521e-06 2.68710226078743e-06
"HL" 0.00219605063502892 0.00166069955682131
"HQ" 1.6542043973939e-05 1.61406691767686e-05
"HT" 3.40415606278461e-05 3.03928984180388e-05
"HY" 0.00177315159029679 0.00134980138663748
"IA" 0.013907779336419 0.00927491248618355
"ID" 9.37002371064955e-06 9.21498632495967e-06
"IF" 4.06527450885239e-05 3.9633469980542e-05
"IG" 0.0096015374330811 0.0068789064660456
"IH" 2.06678069045293e-05 2.01600419128827e-05
"II" 1.6114523077332e-05 1.57146369082084e-05
"IJ" 2.21305357573527e-05 2.17596285777021e-05
"IK" 9.42322980476717e-06 9.31455540345899e-06
"IL" 0 0
"IM" 6.81330594703869e-06 6.70480181695648e-06
"IO" 6.13335884810614e-07 6.10217058171937e-07
"IP" 0 0
"IQ" 0.000335351226285311 0.000329912335305269
"IU" 5.24063421417338e-05 5.17891557305338e-05
"IX" 0 0
"IY" 7.19046088842427e-06 6.56838746081835e-06
"JA" 0.000385592311445984 0.000369133562500783
"JB" 7.602864517042e-06 7.50210622634648e-06
"JI" 2.27026181731014e-05 2.11536764130116e-05
"JM" 9.37647344357645e-06 8.69334140462044e-06
"JO" 2.9256976740146e-05 2.75794813828456e-05
"JS" 2.98135418484034e-06 2.92978620583898e-06
