"Q" "C"
"AA" 0.000397286323692129 0.000365456487763727
"AC" 9.83767936447623e-06 9.72441291428641e-06
"AD" 3.73315065236669e-05 3.47371278924345e-05
"AE" 1.97601512837182e-06 1.877530593082e-06
"AF" 0 0
"AH" 1.20903376325338e-05 1.10970959574517e-05
"AI" 1.63445568754979e-05 1.6111246318271e-05
"AM" 2.84942620392175e-06 2.72291738284595e-06
"AQ" 0.00265830166969122 0.00207293785595133
"AY" 0.000501914368381579 0.000341715264880066
"AZ" 2.76577516355439e-05 2.20640254511499e-05
"BA" 0.0464365040348223 0.029826829786161
"BD" 2.72904130170347e-06 2.65849020796109e-06
"BF" 7.6221339595536e-05 6.96597881230614e-05
"BI" 1.01343903237424e-05 1.0006613308463e-05
"BK" 3.72402851116228e-06 3.64551294619055e-06
"BM" 1.22833372844735e-06 1.20751846389751e-06
"BP" 0 0
"BQ" 2.77702718466419e-06 2.55237595648623e-06
"BU" 5.44463177549096e-06 5.43908518739736e-06
"BV" 0.000121007336312962 9.78526834123071e-05
"CN" 0.000716003955467481 0.000566458454264368
"CO" 0.00120401601378111 0.000984240927105351
"CQ" 0.0152328443211127 0.0114295878656577
"CT" 9.25654931138181e-05 6.38057482011311e-05
"CU" 0.00203095602836874 0.0013841712059574
"DA" 0.00222707874074859 0.00169933093150003
"DB" 0.00156321865413213 0.00123410867438425
"DE" 5.42276707868563e-05 4.93205767783637e-05
"DI" 7.1603958503256e-05 7.09858233445815e-05
"DK" 5.29898501347371e-06 5.27628902422436e-06
"DM" 0.00547587518262253 0.00406528125862958
"DQ" 0.0384014619653233 0.0247403679846286
"DR" 0.011304016909032 0.00826094037269204
"DS" 0.203762726616749 0.0937259845783442
"DT" 1.08210352267981e-05 1.07472470609097e-05
"DW" 4.17129389047102e-05 3.82964645466587e-05
"DX" 0.000456294643436692 0.000358578479023404
"DY" 0.000306038619752965 0.000288242704092605
"EA" 0.000311166051320289 0.000291921503061283
"EC" 1.02515199919441e-05 9.98639775433532e-06
"EE" 7.80698200262819e-05 7.388542509611e-05
"EI" 5.37593795348941e-05 5.23227272591417e-05
"EN" 0 0
"EO" 1.85503461030824e-06 1.84763691523587e-06
"EP" 9.65410853901372e-05 9.34520831395543e-05
