"Q" "C"
"AA" 0.000421660213485026 0.000384463293167916
"AC" 0.00242659448899153 0.00222686305341821
"AD" 0.00061836077798798 0.000555801760097897
"AE" 0.00100517810623145 0.000776560003426248
"AF" 1.15312878797141e-05 1.11185367327828e-05
"AH" 0.00572400192886117 0.00432848301903739
"AI" 0.000221069334470143 0.000200634160451691
"AM" 0.00267096415524119 0.00231164497162847
"AQ" 0.000463488261986906 0.000429171278299624
"AY" 0.000127970682459908 0.000100292058160971
"AZ" 4.72431009315763e-05 4.0032887792659e-05
"BA" 0.000277112166983403 0.000260034804668986
"BD" 0.0001224789842817 0.000112162564038883
"BF" 0.000457282594515644 0.000425044213472661
"BI" 0.0014447763592847 0.00135156173173948
"BK" 7.54033903299602e-06 6.81200366875197e-06
"BM" 1.33822828798298e-06 1.31935117716779e-06
"BP" 0.000478565928171186 0.000401487595584533
"BQ" 4.11585373419646e-05 3.86298725722687e-05
"BU" 0.000497187238534349 0.00048908192320515
"BV" 4.39433240508319e-05 4.05904316637225e-05
"CN" 0.000243922595166633 0.000220367607670012
"CO" 0.0919897128048942 0.0459136515062599
"CQ" 0.0427489487511767 0.0284490190598217
"CT" 4.03551499107439e-05 3.09909313087579e-05
"CU" 0.00194373033824801 0.00132942353491688
"DA" 0.0172836320786242 0.0108768300532632
"DB" 0.0193496738413111 0.0125388932803224
"DE" 0.00711655466053896 0.00579503471899794
"DI" 2.00281222804831e-05 1.98782733829268e-05
"DK" 1.27136600719643e-06 1.26583476534685e-06
"DM" 0.0053839961791695 0.00452694853677327
"DQ" 0.00108856198257378 0.00101082892392176
"DR" 0.00639477807919223 0.00462412069083138
"DS" 0.000302172933077846 0.000276537357655855
"DT" 0.00130639489299852 0.00114948113819154
"DW" 0.0132838813872172 0.00826307319297886
"DX" 0.00973539441763606 0.00641740442143214
"DY" 0.0435488038178013 0.0264024431124149
"EA" 0.244176288573839 0.122338042922932
"EC" 0.00904394550122359 0.00679690925771235
"EE" 0.0122996696697269 0.00920883060124862
"EI" 0.0426397939088267 0.0273207992880707
"EN" 0 0
"EO" 0 0
"EP" 0.00328580600439434 0.00303785764057333
"EQ" 8.35140510337714e-05 8.03942283236864e-05
"ER" 0.000112844437771936 0.000104819220634444
"ES" 0.000640194463103051 0.000599568991759729
"ET" 0.00135536639573755 0.00124075712191367
"EU" 5.4437425113814e-06 5.35895172933425e-06
"EV" 0.00186160204909805 0.00146582964714949
"EW" 0.000542885679815341 0.000516619326430117
"EX" 0.000774781470917461 0.000727981129010664
"FA" 0.000601571614737395 0.000541549860628318
"FE" 6.70108924057457e-06 6.61480643406924e-06
"FF" 0.000130637667119223 0.000124764568894316
"FI" 0.00171642984898657 0.00118412077972984
"FS" 0 0
"FU" 8.39260439599785e-06 8.18653586368499e-06
"FY" 0.000377625410829479 0.000360811565640043
"GA" 0.00057980558366394 0.000523774166572501
"GC" 0.00369108651837967 0.00350194737413196
"GM" 0.000298858597119594 0.000278688417282673
"GU" 0.00160845529417453 0.00144719905350595
"GY" 5.42268842691963e-05 5.34663548580338e-05
"HA" 2.29633859693113e-05 2.26248214044403e-05
"HB" 0.000180109039002898 0.00016727901205024
"HE" 5.8142868967041e-06 5.65509213931596e-06
"HF" 1.72465895202619e-06 1.66622845364332e-06
"HI" 7.6633998586265e-06 7.55649022416782e-06
"HL" 0.000109355254306576 0.000103153540966366
"HQ" 0.03117386683045 0.0196658703758837
"HT" 0.000307565763631659 0.000258629157407369
"HY" 0.00036102552829746 0.000283414320682443
"IA" 0.00351365291528905 0.0028309738973691
"ID" 0.00396891610186824 0.0030303106698421
"IF" 0.00162086021159493 0.00125905363917413
"IG" 0.00243991117259796 0.00190159428921465
"IH" 0.00907717207753954 0.00702472644545171
"II" 0.00979825143525268 0.00706565086619416
"IJ" 0.000193446015206975 0.00018223052833712
"IK" 0.0003762933653116 0.000329051717254012
"IL" 2.63204538994654e-05 2.43062669218996e-05
"IM" 0.00228582226343029 0.00191159348543245
"IO" 7.27138041401564e-05 6.86640705188983e-05
"IP" 0.000123633341049118 0.000105709252912026
"IQ" 0.0077053125152716 0.00679856995920301
"IU" 0.00146937598749455 0.00128222788642432
"IX" 9.41099864372272e-05 8.97640534069356e-05
"IY" 0.000453245234872106 0.000391498899644504
"JA" 0.0262663114852922 0.0207534988107792
"JB" 0.000122037962939517 0.000113510182954156
"JI" 3.14222406015601e-05 3.04196699639189e-05
"JM" 0 0
"JO" 2.72675729830922e-06 2.68124201654859e-06
"JS" 1.55749436750959e-06 1.54341995494196e-06
"JU" 0.000308877689566707 0.000283532363005721
"JW" 0 0
"JY" 0.0172320717068934 0.013155767784246
"KA" 0.000531405928179532 0.000485984310270496
"KI" 0.000899060618123029 0.000820546841831062
"KM" 0.00306310492667279 0.00227151156811138
"KU" 7.27417859368298e-05 7.01665015740978e-05
"KV" 0.000392650288701815 0.000366728302957579
"KY" 0.00018346232788888 0.000176422280516561
"LE" 0.00347399174770119 0.00322543371669877
"LI" 0.000241145102634441 0.000205635841479428
"LJ" 3.61434798773042e-05 3.42326355361683e-05
"LQ" 3.26128330795324e-05 3.11134707178896e-05
"MA" 0.00163556230636514 0.0013903789796567
"MC" 0.000454701880565627 0.000305015042789403
"ML" 2.18053374761601e-06 2.05006157366834e-06
"MM" 2.26051130682354e-05 2.24329028437846e-05
"MQ" 2.20973544842846e-05 2.02854267358577e-05
"MR" 2.45182771497012e-07 2.42465626763451e-07
"MU" 0.000519527554054181 0.000448892866580106
"MW" 3.77185335401954e-06 3.700210666793e-06
"MY" 1.95537079445288e-05 1.88972206258151e-05
"NE" 0.00297998952785413 0.00268690845743041
"NI" 0.00315413432716429 0.00268786468881668
"NM" 0 0
"NN" 0.00123635107639949 0.00109604027455738
"NQ" 1.8442065414173e-05 1.8211731449715e-05
"NS" 0.013139408193959 0.00849197189168642
"NU" 9.96836676848052e-05 9.72135354915629e-05
"OA" 0.0204458702126974 0.01378942652412
"OE" 6.46741820494926e-06 6.38711573301173e-06
"OI" 0.000642051109337969 0.000492058770400201
"OM" 1.55579657094853e-05 1.53683273630147e-05
"OO" 1.80474317572086e-06 1.69114033669752e-06
"OP" 0.00251788624018247 0.00198305835508085
"OR" 1.18129630629562e-06 1.16787975371325e-06
"OT" 6.26327306223253e-06 6.12814596142914e-06
"OU" 0.000412471556571846 0.000359790392396225
"OX" 0 0
"OY" 1.27629007349848e-06 1.26599285350773e-06
"OZ" 2.684155593199e-06 2.52675443486384e-06
"PA" 3.46233415382859e-06 3.43692681579885e-06
"PC" 3.98923600235173e-05 3.95640915748868e-05
"PD" 0 0
"PE" 0.000210975271122677 0.000202806478043617
"PF" 0 0
"PG" 1.21273198804974e-07 1.21050719521484e-07
"PH" 0 0
"PI" 0.00172721803842112 0.00154212948282208
"PJ" 0.000385522671481253 0.000308435971271438
"PK" 0.00142363858878019 0.00108388184072703
"PM" 0.0215028166964346 0.0147619225376503
"PN" 0.000363025380638681 0.000349578344609525
"PO" 0.00153709180124121 0.0013156446551425
"PQ" 4.14432295518306e-05 4.10384845225941e-05
"PS" 5.28457565891534e-05 5.15738017696533e-05
"PT" 0.000213648423441182 0.000190543504019236
"PU" 0.00136482876903912 0.00120930144636223
"PW" 0.00424305891927179 0.00312761358457965
"PY" 0.00223570150008442 0.00195359110834463
"PZ" 0.00165210185023832 0.00132114263265053
"QA" 0.00240538974089379 0.00173398401169699
"QC" 1.61120106983751e-06 1.60198221878686e-06
"QD" 2.81960187221564e-06 2.80929896402085e-06
"QE" 0.00170321299584174 0.00124666679501162
"QF" 0.000395061607875961 0.000310780398498969
"QG" 0.00238453193746402 0.00175960630903981
"QH" 0.00044244789153524 0.000367210950216001
"QJ" 0.000437323250932661 0.000314176599143625
"QK" 0 0
"QQ" 0.00338052586083522 0.00314103452893391
"QU" 0.00532655820028229 0.00423290165154405
"RA" 0.000395773463232602 0.000252907543799563
"RB" 0.000407257524367839 0.000378418060920631
"RE" 0.000925589160209267 0.000833334698873468
"RO" 0.000640376189517516 0.000404133543170265
"RP" 3.69308077613458e-06 3.58611911069738e-06
"RQ" 0.000205609006076249 0.000158346659848632
"RT" 0.00108928572791266 0.000995381060933764
"RU" 0.00387359042820726 0.00340010361446718
"RX" 4.95093286775355e-05 4.61539992486118e-05
"RY" 0.00606747098259818 0.00496843945588334
"RZ" 3.10930994381493e-05 2.96347135155485e-05
"SA" 0.00456690244874467 0.00365020307719433
"SD" 0.000422375921830289 0.000391830351691336
"SI" 0.00139278498199301 0.0012999270130419
"SR" 0.00101430415345918 0.000929000714120218
"SU" 0.000283289900587824 0.00026688806937218
"SY" 0.00438697416342231 0.00371543573838002
"TA" 2.3975625544779e-05 2.25049580354385e-05
"TC" 0.000160003103764563 0.000154566915726389
"TD" 7.96819973082818e-05 7.50260767743819e-05
"TE" 0.000103948654932465 0.000100003940368092
"TI" 0.000339428738550658 0.00027872438809186
"TM" 0.00097036651430413 0.000781331376779734
"TQ" 0.000495397847653693 0.000452447816824371
"TU" 0.0323874601199505 0.0225040241687869
"UA" 1.30978992150891e-06 1.28814013797595e-06
"UB" 0.0118791224110314 0.00870780574216953
"UE" 0.000756668156462417 0.00067184141001108
"UF" 0.000735012917546995 0.000647326374362408
"UH" 0.00767007723694377 0.00563137639607677
"UI" 0.00165078469389884 0.00141590013904569
"UK" 0.00644988524516905 0.00482234063986725
"UM" 0.00147912505172535 0.00116019574870598
"UN" 0.000831721615228158 0.000783021949206962
"UP" 0.000433553851616108 0.000420905781537347
"UQ" 2.05534115296162e-05 2.0056146917299e-05
"UR" 0.000330240772460413 0.000300457320729418
"UT" 4.79137862975127e-07 4.79016928048207e-07
"UU" 3.70716586971449e-06 3.68334172223221e-06
"UY" 0.00994736077457759 0.00752148220128292
"VE" 0.000740343633174026 0.000684759493101096
"VI" 8.81674581114182e-05 8.25828627362459e-05
"VJ" 3.1759270432504e-05 3.00471242060084e-05
"VM" 3.07562775344677e-06 3.02301823930895e-06
"VP" 3.2633515314793e-07 3.19009336248004e-07
"VS" 3.58810380665242e-05 3.48437085574938e-05
"VX" 4.92790554793768e-05 4.70325673624459e-05
"VY" 0.00275796207042409 0.00249708652294975
"WC" 0.000117646189801839 0.000111880464059974
"WE" 0.000660555306253284 0.000594650120703971
"WF" 0.000324954893739198 0.000288498986330226
"WH" 0.000272833247514848 0.000253946429430747
"WM" 5.13796319404163e-06 4.91549222629987e-06
"WQ" 4.71841480810984e-06 4.65342966212148e-06
"WU" 2.54427392578329e-05 2.44228754712456e-05
"WV" 6.88026751577961e-06 6.5161200382756e-06
"WY" 2.06770803962481e-06 2.03078419896852e-06
"XA" 1.08196285856243e-05 1.06399910299412e-05
"XE" 0.00393239904976191 0.00346372034640231
"XQ" 0.0312128406420483 0.0168546998979082
"XW" 0.000384428817417038 0.000365458147030654
"XY" 0.00227633193491201 0.00207323749957283
"YA" 0.000593751446196296 0.000558111162352409
"YE" 0.00129226050004189 0.00122256016884816
"YG" 7.09892437180544e-07 7.06266746761736e-07
"YI" 4.60111411445083e-06 4.53045152600199e-06
"YO" 0.0104241248937614 0.00722059900262836
"YP" 0.000239857492547605 0.000217588420154499
"YQ" 2.74565701399094e-05 2.67928683365474e-05
"YR" 0.000130611723603498 0.000123229776030518
"YU" 0.000174606798989715 0.000153401313766843
"YY" 2.72996298766705e-05 2.6569386134463e-05
"ZA" 0.000876545826507995 0.000813043828559161
"ZC" 0.000968568793115842 0.00086232847121996
"ZD" 0.00111556898132109 0.000986888551633563
"ZE" 0.000814424477330702 0.000674663707256183
"ZK" 3.79815035618964e-06 3.64885641067966e-06
