"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0.000206306195344254 0.000170284805431446
"AH" 0.000408573879662032 0.000386791604337249
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 7.86905886056028e-05 7.21879100345621e-05
"AZ" 3.93452943028014e-05 3.70841059018407e-05
"BA" 0.000329516839785962 0.000311089437053795
"BD" 0.000144128025446051 0.000133408412297905
"BF" 0.0693612049531821 0.0540332074682897
"BI" 0.0107472959338069 0.00933846331474249
"BK" 0.00216661420627426 0.0018256073728016
"BM" 0.0250756601371886 0.0176685259665615
"BP" 0.00709223089199234 0.00610627030470616
"BQ" 0.0521997505081518 0.0323802815135353
"BU" 6.29524708844822e-05 6.25366626057162e-05
"BV" 0.000782494443967532 0.000681267034073238
"CN" 0.00166029001552104 0.00146406657638634
"CO" 2.69796303790638e-05 2.56743721689907e-05
"CQ" 0.00140855891017382 0.00133112905851408
"CT" 0 0
"CU" 0.00140490792144986 0.00125783744962789
"DA" 3.37245379738298e-05 3.20379917933407e-05
"DB" 0.000970901969643254 0.000916199733057935
"DE" 0.000145274932810344 0.000139900479115659
"DI" 0.00912632486806124 0.00769858959660236
"DK" 0.000423745585516869 0.000374395974293585
"DM" 2.69796303790638e-05 2.56136802292821e-05
"DQ" 0.000105245616958577 0.000101692609049179
"DR" 0.000573414646522027 0.000544332058473015
"DS" 0 0
"DT" 3.49735949358235e-05 3.44146711456319e-05
"DW" 0.000118035882908404 0.000114116340827597
"DX" 4.96993191193281e-05 4.73708648837836e-05
"DY" 0.00119173768148939 0.00116336060145054
"EA" 0.000118035882908404 0.00011466091686391
"EC" 3.93452943028014e-05 3.88222079364937e-05
"EE" 0.00028328611898017 0.00027893270885561
"EI" 0.000251809883537929 0.00024697131586166
"EN" 0.032515846564991 0.0188979920725763
"EO" 9.44287063267233e-05 9.16172439715027e-05
"EP" 0.000436527907539883 0.000416664779915271
"EQ" 0.00281777613409621 0.00236927619761652
"ER" 0.00103923398344403 0.000957256374485911
"ES" 0.000442989341674038 0.000429668837233869
"ET" 0.00110990086737053 0.00103643129215398
"EU" 0.071175607377698 0.0506688440672789
"EV" 0.000458815531279362 0.000420753900920383
"EW" 0.00145487574038704 0.00139555868279132
"EX" 0.00111762748624644 0.00106886635136815
"FA" 0.000671786507480558 0.000652730244516617
"FE" 0.00298915931315613 0.0024681547394528
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.00625191468583512 0.00451493378048626
"FY" 4.29221392394197e-05 4.202284375906e-05
"GA" 0.000282724043347273 0.000273085592597253
"GC" 0 0
"GM" 0.00129277886384158 0.00111869454067572
"GU" 0.00128935644479107 0.00118481401294522
"GY" 0.0179078000604369 0.014513530575746
"HA" 0.00992989853856435 0.00848698196953239
"HB" 0.000212640798722364 0.000194520501719127
"HE" 0.000236071765816808 0.000212448621739773
"HF" 0.00458859365208696 0.00365475956160247
"HI" 0.00140777905017387 0.00119783901917892
"HL" 0.00120961447305907 0.00101802743629368
"HQ" 0 0
"HT" 0.000317483983802755 0.000292039033279393
"HY" 0.000126596727163299 0.000119897459621703
"IA" 0.00067491516071358 0.000625907669919041
"ID" 0.000954436742916441 0.000917437392216995
"IF" 0.000134898151895319 0.000129538750480716
"IG" 8.82703124358501e-05 8.41680938794373e-05
"IH" 0.000744581562910087 0.000698180456156865
"II" 0 0
"IJ" 4.72143531633617e-05 4.32195034528067e-05
"IK" 0 0
"IL" 0 0
"IM" 0.000169314475263484 0.000159464682667355
"IO" 0 0
"IP" 0 0
"IQ" 0.000121408336705787 0.000118586257809563
"IU" 4.72143531633617e-05 4.63946454011048e-05
"IX" 0 0
"IY" 0 0
"JA" 0.00410806561071722 0.00372769606544626
"JB" 0.0241045584004126 0.0181497808764261
"JI" 0.000479605043393223 0.000398529174001064
"JM" 0.013659711213615 0.00873277028949111
"JO" 0.00174028441944109 0.00138295933991044
"JS" 0.0228246581243593 0.0167656340157587
"JU" 9.83632357570035e-05 9.48622793107981e-05
"JW" 0.000946535365798822 0.000794807322411056
"JY" 0.000311226980151725 0.000301094759594328
"KA" 0.000340992550624279 0.000320281898467977
"KI" 5.39592607581276e-05 5.21306961569182e-05
"KM" 0.00260080692882314 0.00241444525473609
"KU" 0.0481265408875191 0.036206166386691
"KV" 0.000102377333062721 9.42916196073931e-05
"KY" 0 0
"LE" 0.000776334643935658 0.000729426783822406
"LI" 0.000320582507717985 0.00028053362186907
"LJ" 0.00124552329983004 0.00107518083670026
"LQ" 0.00181354605472799 0.00146830515251425
"MA" 2.69796303790638e-05 2.57632530048978e-05
"MC" 0 0
"ML" 0 0
"MM" 0.0465394609521386 0.0366764980405974
"MQ" 0.0160562986829907 0.0128130889807697
"MR" 0.00245039635682131 0.00186547148683569
"MU" 0 0
"MW" 0.00236414995788887 0.00174640642433056
"MY" 0.00258280258878187 0.00216890441786284
"NE" 0.00917532915153889 0.00735170078997343
"NI" 0.000517059217098548 0.000493732890594628
"NM" 0.00119729829691086 0.000904646461964418
"NN" 0.000773309498136365 0.000728445354057622
"NQ" 0.00269978344403349 0.00220694400586713
"NS" 0.000296511427989515 0.00029105722861525
"NU" 0.00622808956324714 0.00543182888851028
"OA" 0 0
"OE" 0.0125732070670411 0.0100455680364603
"OI" 1.47544853635505e-05 1.36176849342254e-05
"OM" 0.00933008616353683 0.00819655815468194
"OO" 0.000814270028068767 0.000675148112690822
"OP" 0.000567658612618599 0.000519555301544836
"OR" 0.0104709374416235 0.0083079592864037
"OT" 0.00530880473889332 0.00465331867371725
"OU" 0 0
"OX" 0.00257430639866901 0.00212114644140018
"OY" 0.00486811713460798 0.00435992410448937
"OZ" 0.00917861385283482 0.00600934593816761
"PA" 0.0364999159060523 0.0294308198598986
"PC" 0.0088136964707373 0.00740003327973246
"PD" 0.00277392661841745 0.00238438711526227
"PE" 0.000460625911647233 0.000427194866483305
"PF" 0.0016052880075543 0.00143885193033297
"PG" 0.00126954149617039 0.00116805979782537
"PH" 0.00144790683034309 0.00131839872386762
"PI" 6.5575490504669e-05 6.22143016292373e-05
"PJ" 0 0
"PK" 0 0
"PM" 0.000607306189709122 0.000597386591058919
"PN" 0 0
"PO" 3.63187332025859e-05 3.37957194884984e-05
"PQ" 0 0
"PS" 0.00032800292340369 0.000274592010842999
"PT" 8.65596474661631e-05 7.5246527563224e-05
"PU" 3.49735949358235e-05 3.44115386042546e-05
"PW" 0 0
"PY" 0.00534637351224971 0.00463635753953886
"PZ" 0.000314762354422411 0.000311242225289635
"QA" 0.000169227804210075 0.000155334742129435
"QC" 0.00375691353028463 0.00332125427037462
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.0040360489368988 0.00346613436253934
"QQ" 0.000699300699300699 0.00066960666012213
"QU" 0.000180988353792886 0.000173802864157184
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00106991785097794 0.000951592819977021
"RP" 0.00721945445023 0.00641718979849933
"RQ" 0 0
"RT" 0.000545211571005518 0.000497476533959206
"RU" 0.00405231919333412 0.0036723049170861
"RX" 0.000157381177211206 0.000144916612134151
"RY" 0 0
"RZ" 0.00043753150581837 0.00037880643156259
"SA" 0.00113503277495468 0.00103794181458965
"SD" 0.00101934577855258 0.000957170650659519
"SI" 4.10559592724884e-05 3.92421278235588e-05
"SR" 0 0
"SU" 0.000118035882908404 0.000114785964731662
"SY" 0 0
"TA" 0 0
"TC" 4.29221392394197e-05 4.16540178472171e-05
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0.000432798237330815 0.000405300197489936
"TQ" 0.000489658822178115 0.000442853725339153
"TU" 0.000685865167749766 0.000628708285004925
"UA" 0.00638471153097141 0.0056919264616632
"UB" 0.000320052478026149 0.000315232289863801
"UE" 0 0
"UF" 0 0
"UH" 8.0693621770109e-05 7.944233883264e-05
"UI" 0.000612697790526643 0.000603228560459803
"UK" 0.000320052478026149 0.000315763050491533
"UM" 0.000204220813285969 0.00018710163968862
"UN" 3.49735949358235e-05 3.46926879426831e-05
"UP" 0 0
"UQ" 0.0117167015852552 0.00854736902375178
"UR" 0 0
"UT" 0.000212464589235127 0.000196171429027587
"UU" 0.0292477576924001 0.0225412781117095
"UY" 0 0
"VE" 0.00267698336328522 0.00234023645273273
"VI" 0.00397038618201236 0.00332843630887394
"VJ" 0.0118536079715275 0.00891692883585861
"VM" 0.00565609668468002 0.00435293372260246
"VP" 0.000495035339227974 0.000447551889962472
"VS" 0 0
"VX" 0.00454927415008559 0.00396052938451728
"VY" 0.000157381177211206 0.000149900802513692
"WC" 0.00146027249426683 0.00130233228954832
"WE" 0.000185484958856064 0.000176361091642885
"WF" 0.000574072648025235 0.000549975504222257
"WH" 5.24603924037352e-05 5.05200586171777e-05
"WM" 0.0094980380460754 0.0066925392235165
"WQ" 0.00609569050831438 0.0048599757491178
"WU" 0.0639810956136951 0.0399413840999666
"WV" 0.00746103128655681 0.00570559664407835
"WY" 0.0018157371554877 0.00145725582948468
"XA" 0.078402413167201 0.0509226711138279
"XE" 0 0
"XQ" 7.86905886056028e-05 7.62381771694947e-05
"XW" 0.0013052579512994 0.00122820866464309
"XY" 0.000279311616101396 0.000260357118558522
"YA" 0.000299887830639284 0.000288388557858
"YE" 0.000646761694920335 0.000633076817837363
"YG" 0.00615101112494059 0.00542655431749224
"YI" 0.00406259818394528 0.00316505712536817
"YO" 0.000153909533596252 0.000140242589055487
"YP" 2.9508970727101e-05 2.84227805161945e-05
"YQ" 0.00105007848891531 0.00088428194629828
"YR" 0 0
