"Q" "C"
"AA" 0.00883434739362513 0.00694835158813132
"AC" 0.0445374933386822 0.0248965002560806
"AD" 4.00497580948709e-05 3.91146176739343e-05
"AE" 0.000130094259587387 0.000123128717176567
"AF" 2.10315999789684e-05 2.01966594218774e-05
"AH" 0.000238574681883011 0.000227392550323415
"AI" 0.00225774033833788 0.00173498676329398
"AM" 9.72472553705829e-05 9.46005748241011e-05
"AQ" 1.11173903778986e-05 1.08803910291891e-05
"AY" 6.73388348272884e-05 5.99812494357071e-05
"AZ" 0 0
"BA" 0.000220259006714257 0.000206407110437834
"BD" 9.23266363721722e-05 8.99471319187961e-05
"BF" 0.000350858776715197 0.000336976914192606
"BI" 5.18333620826696e-05 5.07863608733493e-05
"BK" 0.000145106687481371 0.00013250983686801
"BM" 2.44200244200244e-05 2.37277491790816e-05
"BP" 0.000346238619062054 0.000308664487318989
"BQ" 8.7508957699139e-05 7.80717550440455e-05
"BU" 0.000426091903843224 0.000419596055756428
"BV" 0.000978603706774275 0.000849890505634569
"CN" 0.0046196668110977 0.00401884404588286
"CO" 0.00297643521537352 0.00267629227715985
"CQ" 0.00349378667742072 0.00321108722232975
"CT" 0 0
"CU" 0.00331515657854444 0.00291975399814752
"DA" 0.0013877726387334 0.00126033252405256
"DB" 0.0021470068654873 0.00197234626759397
"DE" 0.000292149074056109 0.000281780371002471
"DI" 0.00571094136203578 0.00518512083124932
"DK" 0.000942847941705476 0.00091309969629021
"DM" 0.00104961824631202 0.000999386066343707
"DQ" 0.000543991851971092 0.000526553388898834
"DR" 0.000940094224297744 0.000871757289783424
"DS" 0.0001463359760559 0.000138479258603099
"DT" 0.000349154630292654 0.000319305420589925
"DW" 5.4058010557871e-05 5.07473659333229e-05
"DX" 0.000173768851923113 0.000161132764570766
"DY" 0.000501770744148501 0.000462757463913212
"EA" 0.000747056657209427 0.00069414699145983
"EC" 5.49581436008029e-05 5.2887708036761e-05
"EE" 9.30851144131427e-05 8.98543915824639e-05
"EI" 0.000475432875187233 0.000438629228491969
"EN" 0 0
"EO" 0 0
"EP" 0.132806283799894 0.0624596588674589
"EQ" 0.000907630967081836 0.000837237358166477
"ER" 0.0658523750030963 0.0298035184170024
"ES" 0.018578755391276 0.00926151944686379
"ET" 0.0431214862518452 0.0212360440799996
"EU" 0.00384342416470411 0.00353508240279326
"EV" 0.0257671553384887 0.0144453936653284
"EW" 0.0418143910276952 0.0226229195875322
"EX" 0.0697280120256734 0.0350413766072602
"FA" 0.000484953200437118 0.000452206862173923
"FE" 8.20746524542446e-05 7.8513700482021e-05
"FF" 0.00011475915884314 0.000110399354768278
"FI" 7.20313335144474e-05 6.69947175518684e-05
"FS" 0 0
"FU" 5.05421558053137e-06 4.85519777676105e-06
"FY" 0.000223912031178172 0.000219088246807377
"GA" 0.000140213458221929 0.000136037002247355
"GC" 0.00078158322692957 0.000749919926175952
"GM" 8.44659909304855e-05 7.820227233896e-05
"GU" 0.000694509126118207 0.000671852921634842
"GY" 0.00355464953600846 0.00338919401199886
"HA" 0.00413590827654667 0.00387252943327277
"HB" 0.000599245221283909 0.000556155523526682
"HE" 0.00014647312232154 0.000137970620167742
"HF" 0.000300400397118234 0.000276688639613651
"HI" 0.00162579197737975 0.00152027409640067
"HL" 0.00180952392537561 0.00166999619215311
"HQ" 0.000470660067424648 0.000428795914504858
"HT" 0.000141915320966794 0.000135173946599189
"HY" 0.00010223807989467 9.5097975820708e-05
"IA" 0.000317371875700142 0.000294643260762757
"ID" 0.00130740843303678 0.00119725666597582
"IF" 0.00478509876535044 0.00330669936691882
"IG" 0.00824551864303997 0.00682044382264918
"IH" 0.000715318593837319 0.000676347584468925
"II" 0.00174930112867055 0.00162167710025011
"IJ" 0.00945673446653407 0.00697516971943564
"IK" 0.00719069378621456 0.00540702745006947
"IL" 7.34659968041188e-05 5.7628433318257e-05
"IM" 0.00297309680543288 0.00268218747229793
"IO" 0.000367035050391812 0.000325267353079847
"IP" 8.7603726047662e-05 8.29055971822749e-05
"IQ" 0.123894176226581 0.0652414303853115
"IU" 0.00559100735663143 0.00467828529078266
"IX" 0.00011858153413966 0.000113953209300798
"IY" 0.00021607040262728 0.000208035393141435
"JA" 0.00188897651811702 0.00178234424873539
"JB" 0.000948206662139216 0.000895654843306937
"JI" 0.0184328206525953 0.0155524076857283
"JM" 1.44592249855408e-05 1.36644628642055e-05
"JO" 0.000167864231471068 0.000160028727262767
"JS" 0.000286466516596354 0.000270628654913771
"JU" 2.31848352149104e-05 2.26776822895571e-05
"JW" 9.63948332369385e-06 9.46086992635767e-06
"JY" 0.000364678344238058 0.000350812497406402
