"Q" "C"
"AA" 0.00272648977263957 0.00214028017525899
"AC" 0.010320161440939 0.0056439441501136
"AD" 6.72374375623607e-05 6.61614742962695e-05
"AE" 0.000142893397046745 0.000135961518173733
"AF" 4.410733769645e-05 4.25978903239738e-05
"AH" 0.000144859589978491 0.000139162278421266
"AI" 0.000657599301792397 0.000497668138196674
"AM" 0.000158831424926436 0.000155092659755072
"AQ" 1.08449847022441e-05 1.0709119278386e-05
"AY" 5.41486355540438e-05 5.09010519762655e-05
"AZ" 2.72228245578719e-06 2.6482965944847e-06
"BA" 8.24785936595699e-05 8.02857823554109e-05
"BD" 4.25255592334215e-05 4.15949776027394e-05
"BF" 0.000153248126866402 0.000149400666941954
"BI" 3.68874168775191e-05 3.62121345125274e-05
"BK" 2.41753895248246e-05 2.2187407952914e-05
"BM" 2.391471288892e-05 2.3389140733414e-05
"BP" 0.000128578002933073 0.000114424219085196
"BQ" 1.66624459014103e-05 1.53443886894501e-05
"BU" 0.00203923264727076 0.00200237336471591
"BV" 0.000178466716119786 0.000169129351193209
"CN" 0.000620133845035066 0.000587652262794505
"CO" 0.00224976964085494 0.00206269286738722
"CQ" 0.00253050560411137 0.00238839092224366
"CT" 5.3741886318713e-07 5.10671678232524e-07
"CU" 0.00170625671047698 0.00157168114182904
"DA" 0.000987622423625115 0.000919452299931198
"DB" 0.00215778995884523 0.00201563143726068
"DE" 0.000253163918212415 0.000246076885184233
"DI" 0.00356407310413137 0.00328338005957753
"DK" 0.000625649072088328 0.00060758800646286
"DM" 0.000534156808511595 0.000517296346088284
"DQ" 0.000317116263533685 0.000311022380395756
"DR" 0.000605062318827429 0.000576236596269874
"DS" 6.45176366921324e-05 6.28001930055245e-05
"DT" 0.000632210358364442 0.000578221684127072
"DW" 8.42664007751621e-05 7.9964105035133e-05
"DX" 6.54954888789324e-05 6.20524059201591e-05
"DY" 0.000833310797727802 0.000775699343356493
"EA" 0.000430073957036585 0.000403972303321183
"EC" 8.42654425122304e-05 8.14227328974104e-05
"EE" 5.32162809245469e-05 5.16483785707321e-05
"EI" 0.000505816706057031 0.000470365998598662
"EN" 5.52482876776467e-06 5.35109791935484e-06
"EO" 0 0
"EP" 0.0837826912189212 0.0336679480045685
"EQ" 0.000183670696570732 0.00017872304917612
"ER" 0.00709536858828656 0.00280077985946297
"ES" 0.0446456426487882 0.0169381134141585
"ET" 0.0724361154464008 0.0264123938166146
"EU" 0.000759702794109029 0.000710685977510228
"EV" 0.0251415697487261 0.0123876880195313
"EW" 0.213167377897257 0.0768484982189473
"EX" 0.152715151058504 0.0521815271544255
"FA" 0.000641991493351289 0.000601149310046746
"FE" 4.43519795798856e-05 4.3576140562194e-05
"FF" 9.13533346132075e-05 8.95745681642262e-05
"FI" 0.000115580972171546 0.000108241253829365
"FS" 5.61846993332e-07 5.29070565469123e-07
"FU" 3.23247519855762e-05 3.15541640366756e-05
"FY" 0.000184715175941196 0.000182119772261451
"GA" 7.13549071124782e-05 7.00219678062433e-05
"GC" 0.000883792638806263 0.000845899710390313
"GM" 5.167583002672e-05 5.02138855877677e-05
"GU" 0.000720385207214167 0.000700926083468702
"GY" 0.00334542887692166 0.00320622588247921
"HA" 0.00172922212365286 0.00164422609354391
"HB" 0.000466888376594713 0.00043724263140665
"HE" 4.1703273382933e-05 4.07783222697064e-05
"HF" 8.90282562306585e-05 8.44281832949526e-05
"HI" 0.000373742851475859 0.00036272230839682
"HL" 0.000620716646285703 0.000586711129412081
"HQ" 0.000299129462934518 0.000274696088380356
"HT" 0.000212641731204845 0.000204663319892346
"HY" 9.41431178826436e-05 9.02004474376878e-05
"IA" 0.00016421780947063 0.000157806946087622
"ID" 0.00139754030026415 0.00128616113833522
"IF" 0.00476574191260701 0.00316495221791439
"IG" 0.004143509829317 0.00350551959731125
"IH" 0.000474210698504079 0.000450975986752528
"II" 0.0013857979656435 0.00129304059408887
"IJ" 0.00477024689521733 0.00354379039530724
"IK" 0.00382623614002849 0.00289756520868007
"IL" 6.84935228402242e-05 5.27401839528162e-05
"IM" 0.0023457846237732 0.00211992578737939
"IO" 0.000162012704577868 0.000142524343933412
"IP" 2.25581986522743e-05 2.13562880300069e-05
"IQ" 0.101035233388669 0.048711391597249
"IU" 0.00367694866461058 0.00308265179175125
"IX" 0.000270416583031865 0.000259338076989821
"IY" 7.38538425600954e-05 7.18759500142315e-05
"JA" 0.00119902768905086 0.00113961715192101
"JB" 0.000565086511673969 0.000537668595342788
"JI" 0.00231522469085965 0.00203234395445109
"JM" 0 0
"JO" 2.1933862339298e-05 2.15617043810445e-05
"JS" 7.22332039397755e-05 6.93710975286524e-05
"JU" 9.01437072803746e-05 8.86159524622335e-05
"JW" 7.66332181101248e-06 7.58009869276253e-06
