"Q" "C"
"AA" 0.00486168771174891 0.00413874888337713
"AC" 0.00209136776088426 0.00184298320976602
"AD" 8.12108522714232e-05 7.94022685225245e-05
"AE" 0.001092508037273 0.000824720057613027
"AF" 1.22646551976571e-05 1.1646066898467e-05
"AH" 0.000257686315127484 0.00023259974625485
"AI" 0.000665062751545674 0.000531840497653231
"AM" 0.000307479785833394 0.000285452139232221
"AQ" 0.000596923320831621 0.000586973516782121
"AY" 2.05369357412442e-05 1.96985789574144e-05
"AZ" 1.81024674270081e-05 1.75560290863652e-05
"BA" 5.04087997407592e-05 4.9776884571342e-05
"BD" 3.3405485168014e-05 3.05635487432987e-05
"BF" 6.94145189862797e-05 6.62824600490089e-05
"BI" 0.000653494672663016 0.000611127029675428
"BK" 0.000615414598766121 0.000360367986690755
"BM" 3.07154655782016e-05 2.98715270941596e-05
"BP" 0.000535545078495154 0.000452550191786552
"BQ" 4.55935808061776e-05 4.35160966156056e-05
"BU" 0.000175473960484511 0.000172045474994634
"BV" 4.41755189500566e-05 4.33817467058499e-05
"CN" 0.00016122869802447 0.000157758959544608
"CO" 0.000379907138270675 0.000341538549829029
"CQ" 0.000551080922994057 0.000520763547784414
"CT" 2.231465447989e-06 2.12666908438549e-06
"CU" 0.000507594463020218 0.000471935924075357
"DA" 0.000651560682619576 0.000596289866129691
"DB" 0.00209627789584337 0.00184815692389627
"DE" 0.000222451956044878 0.000212903861260117
"DI" 0.00145898370924256 0.00141463537287911
"DK" 0.000251026544324113 0.000247371166510556
"DM" 0.00021065112144446 0.000205800552920004
"DQ" 0.000158554240702624 0.000156525381057601
"DR" 0.00011011102096851 0.000106053872941071
"DS" 0.000187025646827886 0.000183618112390054
"DT" 0.0147034873852736 0.010495593463886
"DW" 0.0012713227064256 0.00100136917303841
"DX" 4.47700860971813e-05 4.17393760613964e-05
"DY" 0.00157271387522242 0.00114426534150745
"EA" 0.00233194792626172 0.00198592009850218
"EC" 0.000622437783870404 0.000531621644010502
"EE" 0.000171939296644483 0.000156167075128812
"EI" 0.00705213686272659 0.00470720956196256
"EN" 0 0
"EO" 0 0
"EP" 0.00391473961615815 0.00352507122122902
"EQ" 7.56939364357632e-05 7.47066620362531e-05
"ER" 0.000289381804269565 0.000261590881891643
"ES" 0.000404100854967817 0.0003690124088969
"ET" 0.00114719721758734 0.00104290440962518
"EU" 8.67067649012284e-05 8.48750837462018e-05
"EV" 0.0130782628448794 0.0099849830146714
"EW" 0.00203938726117284 0.00187270281380015
"EX" 0.00158244460312409 0.00145062073273676
"FA" 0.234773591065931 0.114786839599434
"FE" 8.89773407622506e-06 8.80530813904607e-06
"FF" 2.69335080183378e-05 2.65663247072507e-05
"FI" 0.000701290476876941 0.000542369206971732
"FS" 0 0
"FU" 9.3473608210206e-06 9.08949211455459e-06
"FY" 0.000225787652062849 0.000222754020751927
"GA" 6.73535604545776e-05 6.6242493965514e-05
"GC" 0.00299915246700265 0.00270633331451948
"GM" 2.79631370600492e-05 2.74558615229714e-05
"GU" 0.00107297238554212 0.000982809808162639
"GY" 0.00136327457365272 0.00131826059883005
"HA" 0.000102861222381596 0.0001010081594447
"HB" 0.000233819031257943 0.000222945362320081
"HE" 7.25226270596426e-07 7.18964373927163e-07
"HF" 8.7181846756367e-05 8.45299816367369e-05
"HI" 3.85431251442758e-05 3.81524219267176e-05
"HL" 6.81130566940329e-05 6.62419089684167e-05
"HQ" 0.00113421947187227 0.000806511935232796
"HT" 2.63161551635732e-05 2.52582627955591e-05
"HY" 7.20042437767082e-06 6.99509728253299e-06
"IA" 0.000138284630088318 0.00013407782664712
"ID" 0.0388939563871597 0.0254183814814028
"IF" 0.00861963583413909 0.00508423163183403
