"Q" "C"
"AA" 0.000313735501225777 0.000303729960640426
"AC" 6.50303865208619e-05 6.41857669362365e-05
"AD" 0.000101545290018262 9.91711584399462e-05
"AE" 9.15256409083005e-06 8.98075542049274e-06
"AF" 6.18388004698956e-05 5.64920913538918e-05
"AH" 1.31719440883903e-05 1.27526243624287e-05
"AI" 0 0
"AM" 2.01578739490346e-05 1.98255021179459e-05
"AQ" 1.35507662321576e-05 1.2939434201907e-05
"AY" 0 0
"AZ" 9.37099733401926e-06 8.74046044698258e-06
"BA" 6.59654519354239e-05 5.90427317367608e-05
"BD" 0.00012789007431884 0.000124795712835473
"BF" 0.00286346732201525 0.00256482049986615
"BI" 0.000337637139410906 0.000330821999932805
"BK" 1.13412207212459e-05 1.05357002160105e-05
"BM" 0.00209890752822586 0.00181289203527736
"BP" 0.000102870263909629 9.67730724168536e-05
"BQ" 0.00103690607926463 0.000780600079899315
"BU" 0 0
"BV" 0.00101387694226438 0.000755640283694143
"CN" 0.00441715597691677 0.00340881122498958
"CO" 4.34689440661015e-05 4.14463075160074e-05
"CQ" 0.000306929150234316 0.000289557474016259
"CT" 0 0
"CU" 0.000551941617258656 0.00048795426557794
"DA" 1.15179670182004e-05 1.09466710310848e-05
"DB" 8.60479210968041e-05 8.20137012778603e-05
"DE" 0.000120752013327036 0.000118239230818022
"DI" 0.00227309749686261 0.0020382609186563
"DK" 0.000337548012856053 0.000316671971623434
"DM" 0.000319094628712915 0.000299391380601583
"DQ" 0.00016677265970572 0.000158791526913951
"DR" 4.4140094630858e-05 4.17615251957159e-05
"DS" 0.000200528458677191 0.000181519712168464
"DT" 0 0
"DW" 4.82400101653435e-05 4.70756065070062e-05
"DX" 6.7649386758309e-06 6.35515080918791e-06
"DY" 8.49239913424952e-05 8.35859980035131e-05
"EA" 8.20825192272853e-05 8.04486947046024e-05
"EC" 5.98436882861965e-06 5.94355523063176e-06
"EE" 1.43553609400816e-05 1.41673502567927e-05
"EI" 5.1955202103016e-05 5.15194513564508e-05
"EN" 7.13558263737196e-05 5.65950442385573e-05
"EO" 0.000129661324620092 0.000128338186068102
"EP" 0.000386231442370729 0.000373036522704915
"EQ" 0.0626487967526797 0.034821638342841
"ER" 0.00022458351772184 0.00020682889761723
"ES" 0.000217930834291403 0.000214333683566711
"ET" 0.000875691788375438 0.000840809836083872
"EU" 0.00412039809643369 0.0032833510269766
"EV" 0.000770337811946081 0.000724083425498882
"EW" 0.000243168003716064 0.000237455887689623
"EX" 0.000374769717270562 0.000364690254152442
"FA" 3.69357818024481e-05 3.64121010944512e-05
"FE" 0.275094397893856 0.13649492240428
"FF" 0.000996577886573055 0.000904966498561117
"FI" 5.98436882861965e-06 5.9291423592276e-06
"FS" 6.7649386758309e-06 5.20893093068686e-06
"FU" 0.00293468906426745 0.00225001534782444
"FY" 6.16733488444812e-05 6.00197993764266e-05
"GA" 0.000215426468783329 0.000206008778803689
"GC" 3.41224844349e-05 3.39526568061916e-05
"GM" 0.0143798948878581 0.00949283256218887
"GU" 0.000553917340895057 0.000537121845747196
"GY" 0.0090508846429843 0.00813428528900009
"HA" 0.00386231946710408 0.00328440922888044
"HB" 0.000229965720687704 0.000207822313560391
"HE" 0.00100350834544467 0.000778371182618323
"HF" 0.00128748798624297 0.00104475887838511
"HI" 0.00433255512980785 0.00318893083151677
"HL" 0.00177026055588684 0.00139325727896444
"HQ" 0 0
"HT" 0.000175319004639928 0.000168865994019164
"HY" 3.00762621108595e-05 2.82446153792464e-05
"IA" 0.000415528395753363 0.000373644311695875
"ID" 1.73417003826253e-05 1.71050668554455e-05
"IF" 0.000129600053401368 0.000126580771140719
"IG" 0.000138568398078257 0.000130076703451117
"IH" 0.000137228207819454 0.000133658753572037
"II" 0.000113491794726293 0.000112143974278609
"IJ" 0.000225046347499429 0.00021065295559575
"IK" 6.11070610509292e-05 5.98402688651041e-05
"IL" 0 0
"IM" 0.000208704718473845 0.000203746331193468
"IO" 3.53621794418434e-06 3.5051028709948e-06
"IP" 8.1891362917953e-06 8.12588156071522e-06
"IQ" 0.000397493395541009 0.000392238477276116
"IU" 4.42126714695171e-05 4.38083993064617e-05
"IX" 2.59836014213228e-05 2.58463309248701e-05
"IY" 1.81630737238297e-05 1.76148365244344e-05
"JA" 0.000870576690263194 0.00083148087356851
"JB" 0.00376468639577042 0.00335455890683139
"JI" 0.000600129583365535 0.000473879753919142
"JM" 0.00169880226470301 0.00105299263062597
"JO" 0.0359208220233913 0.0204664794157091
"JS" 9.71333548746957e-05 7.99551848492286e-05
"JU" 3.45763532320246e-06 3.39422041194996e-06
"JW" 9.15256409083005e-06 8.36576498133201e-06
"JY" 0.000166460523577355 0.000161615347688251
"KA" 2.07075825560344e-05 2.02878536481912e-05
"KI" 4.76346967396148e-05 4.53883969865254e-05
"KM" 0.00106356225467715 0.000993871002652726
"KU" 0.00340479030687711 0.00307640732665817
"KV" 0.00016473018366154 0.000161848457464247
"KY" 1.29661324620092e-05 1.28925106858856e-05
"LE" 3.9686814231703e-05 3.92184997178046e-05
"LI" 0.00056225613092434 0.00042688804797949
"LJ" 0.00116046777320392 0.000846513414326323
"LQ" 0.00687895974433916 0.00501336951339044
"MA" 6.98761656055742e-05 6.58181902333046e-05
"MC" 0.000113966195203365 0.000104978405287397
"ML" 1.32924632069271e-05 1.05645104030288e-05
"MM" 0.00212204238858281 0.00196962521569992
"MQ" 0.000854394343197989 0.000731652919759749
"MR" 0.000284559683930918 0.000247911845474305
"MU" 1.19687376572393e-05 1.1785636659846e-05
"MW" 0.000139126189198663 0.000107430949010401
"MY" 0.0238062655744702 0.0149830704015228
"NE" 0.0259244258182437 0.0187657125129014
"NI" 0.000279159559355104 0.000263446169052822
"NM" 0.000624522998182942 0.000509506700109447
"NN" 0.000539235366835762 0.000498736733563505
"NQ" 0.0362577735009217 0.0259563389767123
"NS" 6.17324667643571e-05 6.11403096681604e-05
"NU" 0.00116241604235816 0.00106862023598115
"OA" 2.46610754669587e-05 2.43085590032164e-05
"OE" 0.00598236599019572 0.00529774492318293
"OI" 3.76649319705252e-05 3.30350295729941e-05
"OM" 0.0667936107534196 0.0506020072109928
"OO" 0.000389991284678999 0.000304212970880454
"OP" 0.00649240941543126 0.00568973759227498
"OR" 6.20713873228739e-05 5.70602552333691e-05
"OT" 0.00186650943505184 0.00160385906923862
"OU" 3.45763532320246e-06 3.38244257739588e-06
"OX" 0 0
"OY" 0.000475294829314353 0.000439542467666053
"OZ" 0.000260964172632777 0.000202329326783406
"PA" 0.000201636483536377 0.000185474481267441
"PC" 0.00372533124803374 0.00329858610694515
"PD" 0 0
"PE" 0.00025058346171606 0.000239907282267947
"PF" 0 0
"PG" 6.48306623100462e-06 6.42440360766961e-06
"PH" 0 0
"PI" 1.67707212037855e-05 1.64083737061901e-05
"PJ" 2.12777558350921e-05 2.10433689300355e-05
"PK" 2.59322649240185e-05 2.58219985284249e-05
"PM" 0.000154171247192464 0.000153127563207827
"PN" 0.000514592768730813 0.000507923378078699
"PO" 0.0019306375638056 0.00183377191318679
"PQ" 0.00012676513008173 0.000126142229565774
"PS" 0.00315334835169105 0.00280507053884065
"PT" 0.000440293686454278 0.0003699747351669
"PU" 4.17588807150056e-06 4.13843663591618e-06
"PW" 3.72492487410901e-05 3.34667697564476e-05
"PY" 0.0133040937810543 0.0105382343887554
"PZ" 5.40638733369141e-05 5.38682800196591e-05
"QA" 0.000436506723746441 0.000388864812132115
"QC" 5.76272553867077e-06 5.52071797525806e-06
"QD" 0 0
"QE" 0 0
"QF" 2.99218441430982e-06 2.97038225594479e-06
"QG" 0 0
"QH" 0 0
"QJ" 1.77184253553248e-05 1.75135677220807e-05
"QK" 4.53814636170323e-05 4.43692003314804e-05
"QQ" 5.13935378568956e-05 5.07423438685464e-05
"QU" 8.39238643147078e-05 8.07386560015272e-05
"RA" 0 0
"RB" 2.51563858814126e-05 2.4431487764248e-05
"RE" 1.26498853287895e-06 1.25909996998284e-06
"RO" 0.000464628605042065 0.000408696028224503
"RP" 9.28277533440021e-05 7.93841740916634e-05
"RQ" 0 0
"RT" 0.00361707402622902 0.00288852544626367
"RU" 0.00451811244656803 0.0036463726470507
"RX" 0.000359548686954872 0.000298241654662626
"RY" 1.5261572180164e-05 1.4945909791769e-05
"RZ" 0.00247111065792701 0.00190493437723407
"SA" 0.000202887168204298 0.000179298550286738
"SD" 0.00179727851694529 0.00164106929624704
"SI" 3.22660241751575e-05 3.18595887582868e-05
"SR" 6.60335808927687e-05 6.51903723323632e-05
"SU" 1.79706676329769e-05 1.72285198363419e-05
"SY" 0.000196918018314433 0.000195232121526023
"TA" 6.61272755562471e-05 6.44086267361786e-05
"TC" 6.80007589944316e-05 6.48323000647719e-05
"TD" 5.59720511732173e-05 5.19775170606176e-05
"TE" 0 0
"TI" 2.22276556491587e-05 2.089821119121e-05
"TM" 0.000825726200210884 0.000752387359523042
"TQ" 0.00614200726877446 0.00504289047676975
"TU" 0.000817453787238658 0.000694506564200985
"UA" 0.000545397536300479 0.000500858851980376
"UB" 1.71420205335098e-05 1.70281630550464e-05
"UE" 3.59942183956682e-05 3.49595577402069e-05
"UF" 8.24049672846859e-06 8.16694315797684e-06
"UH" 7.07243588836867e-06 7.02312507638032e-06
"UI" 0.000139933535740658 0.000138867487915323
"UK" 5.48292956566026e-05 5.45417886065141e-05
"UM" 0.000376532291488885 0.000329072035472375
"UN" 3.88983973860277e-05 3.8780347978602e-05
"UP" 7.09101369615132e-05 7.07867187221261e-05
"UQ" 0.00207042192731045 0.00179765079233074
"UR" 9.11288703453618e-05 9.00455395503658e-05
"UT" 1.72881766160123e-06 1.71364671995463e-06
"UU" 0.0162096509875206 0.0141768805454011
"UY" 4.74525844616311e-05 4.7087315551437e-05
"VE" 0.0521578286977327 0.0335168128088857
"VI" 0.0145303571822206 0.00933592538617625
"VJ" 0.047642547438043 0.0248623009168235
"VM" 0.00324450368479657 0.00278207880226085
"VP" 0.00031033587567861 0.000220705009681111
"VS" 0.00110950629642614 0.000882842193746351
"VX" 0.00774212310875667 0.00593812102829992
"VY" 0.000320678382435922 0.000294796635262771
"WC" 0.00220303829418396 0.00174927276892393
"WE" 7.36818805696078e-05 6.85907148040447e-05
"WF" 0.000111418673081055 0.000106169651244129
"WH" 1.02375544087536e-05 9.69906874627007e-06
"WM" 0.00620089998845464 0.00401163860938135
"WQ" 0.034887236252585 0.0227824281353005
"WU" 0.0262134342856661 0.0153930448136002
"WV" 0.00319882996696884 0.00218725903875015
"WY" 0.0143913638312851 0.00885333168404072
"XA" 0.0553565438773943 0.0391169019304419
"XE" 0 0
"XQ" 1.73417003826253e-05 1.69835807402984e-05
"XW" 0.000394048151429994 0.000358597147498451
"XY" 0.00286052743012949 0.00269364878624293
"YA" 0.000378954869462377 0.000356006860283717
"YE" 0.000139237934274964 0.000137865728622663
"YG" 0.000131390142281694 0.000124800822959555
"YI" 0.00033187908229285 0.00025489189006899
"YO" 0.000252933066081999 0.00022767932617959
"YP" 5.87798004944419e-05 5.58839678073539e-05
"YQ" 0.000576066996724338 0.000497289706964287
"YR" 0.000129224395326292 0.000125029946680556
"YU" 6.26279602404916e-05 5.57194990829858e-05
"YY" 0.00400395833417152 0.00357169877525342
"ZA" 0.000119737066041788 0.000114048909545318
"ZC" 0.000438814002565315 0.00042162965619704
"ZD" 3.92959977093518e-05 3.66120225299863e-05
"ZE" 9.60168852212744e-05 9.18808432946825e-05
"ZK" 0.0171155449586353 0.0100027403552766
"ZM" 0.000210851114095658 0.000196615091033527
"ZQ" 1.26498853287895e-06 1.25734887241553e-06
"ZR" 8.43267316312542e-05 8.25383905875917e-05
