"Q" "C"
"AA" 0.00157175012267826 0.00143522797379913
"AC" 2.07060334846142e-05 2.04611113597904e-05
"AD" 8.1232144350995e-06 7.67898535373383e-06
"AE" 3.9013281257751e-06 3.7533663740566e-06
"AF" 0 0
"AH" 4.68925685433525e-06 4.3869221887638e-06
"AI" 1.17019969457788e-05 1.15335498205578e-05
"AM" 3.45740818852555e-06 3.34727776117267e-06
"AQ" 0.00191427649539466 0.00156738276072785
"AY" 0.000488682363262002 0.000356816312882207
"AZ" 7.72882753412762e-06 6.3310110216156e-06
"BA" 0.0307462402335169 0.0202696605099699
"BD" 0 0
"BF" 8.9585372296196e-05 8.19472972365851e-05
"BI" 1.49853931938295e-05 1.4814241971061e-05
"BK" 0 0
"BM" 0 0
"BP" 4.22572111930901e-06 4.12190515920413e-06
"BQ" 2.62933758534783e-05 2.42244266511969e-05
"BU" 0 0
"BV" 6.72600752155648e-05 5.61208219036921e-05
"CN" 0.000478541917211171 0.000393286975832836
"CO" 0.000332951764209435 0.000287333736475294
"CQ" 0.00285392838478639 0.002334237561963
"CT" 4.12884431625372e-05 3.05919645473794e-05
"CU" 0.000624329522306968 0.000467575301556867
"DA" 0.0010326459399696 0.000851497344495158
"DB" 0.000623338689987378 0.000523192995090025
"DE" 0.000114492899119194 0.00010739812945915
"DI" 0.00029253286336512 0.000289116575771773
"DK" 3.4930883555898e-06 3.47214791068732e-06
"DM" 0.00286411896462949 0.00220873017064825
"DQ" 0.0461051249440595 0.0301396753531136
"DR" 0.00203366288217427 0.00162553759274852
"DS" 0.0950400626855621 0.0451646605969838
"DT" 2.71653500527008e-06 2.69885421513222e-06
"DW" 7.4564016991381e-05 6.98068770317433e-05
"DX" 0.000349319938584592 0.000289935015418571
"DY" 0.00029720025516489 0.000283873071217858
"EA" 0.000417783386156297 0.000397391966690089
"EC" 1.35197205522503e-05 1.32514240709694e-05
"EE" 5.19994259446759e-05 4.9899473903831e-05
"EI" 3.4010701169278e-05 3.33112387466007e-05
"EN" 0 0
"EO" 0 0
"EP" 8.04450397039912e-05 7.80195794003312e-05
"EQ" 0.00188032869406854 0.0015798746409878
"ER" 3.61211119844268e-05 3.43189857707463e-05
"ES" 3.63973990482137e-05 3.59059321214249e-05
"ET" 0.000760298392005577 0.000733894774614991
"EU" 0.00014943532535132 0.000141289884854736
"EV" 0.000725502374170631 0.000661012720434509
"EW" 9.27738608492541e-05 9.12223950722388e-05
"EX" 0.000121906206750659 0.000119036999825265
"FA" 1.07068782796736e-05 1.05865293693024e-05
"FE" 0.000238913969797803 0.000222708385445708
"FF" 0.197320179087141 0.0937316997620552
"FI" 9.54515829302741e-06 9.25927571231114e-06
"FS" 0 0
"FU" 5.00920501068254e-05 4.53860300081546e-05
"FY" 0.00214229796747595 0.00191207577032877
