"Q" "C"
"AA" 2.33435184164034e-05 2.25904501227386e-05
"AC" 9.30551264004761e-05 9.15063034277699e-05
"AD" 4.85913747686601e-05 4.68359297134792e-05
"AE" 3.94231780624592e-05 3.75937611032582e-05
"AF" 0.000671772076405116 0.000484570801964963
"AH" 0.000311781157696946 0.000291835418078633
"AI" 0 0
"AM" 5.39531978938889e-05 5.18230817016036e-05
"AQ" 0.000122568404144116 0.00011362943045386
"AY" 1.33312003412787e-05 1.21506493689426e-05
"AZ" 0.000147692021349379 0.000132924748284845
"BA" 5.35413392237656e-05 4.96015041923587e-05
"BD" 0.000278398140634195 0.00025927577924531
"BF" 0.0158971953938538 0.0134491265336293
"BI" 0.000201055345860694 0.00019097363819253
"BK" 1.99301088462193e-05 1.72758309784603e-05
"BM" 0.00827176833126921 0.00590789879448747
"BP" 0.000184489000278474 0.000172496022673188
"BQ" 0.00102118867303897 0.000768311584760803
"BU" 6.88534523120989e-05 6.86354096103878e-05
"BV" 0.000587072234122549 0.000523007124425307
"CN" 0.00117326755687291 0.00105151329903856
"CO" 0.000105827049388834 9.92047876165585e-05
"CQ" 0.00090893495262309 0.000841402926061072
"CT" 0 0
"CU" 0.00662726042582196 0.00576334664159658
"DA" 0.000137317130159046 0.000128129262528523
"DB" 0.000162237380590174 0.000149391755786193
"DE" 0.000113517716650175 0.000108828084032439
"DI" 0.00225922774892562 0.00198606299579177
"DK" 0.00297762345880657 0.0023624257327522
"DM" 0.00145215571578442 0.00132284718021193
"DQ" 0.000647426482153992 0.000606208539562472
"DR" 0.000594087218635612 0.000550621250148346
"DS" 9.27149944827658e-05 8.36889025259849e-05
"DT" 4.61222500696185e-05 4.5440010685336e-05
"DW" 3.66300366300366e-05 3.51947244176253e-05
"DX" 5.20927829865985e-05 4.85999897158434e-05
"DY" 7.12007290954659e-06 6.96003465836563e-06
"EA" 3.40993136534055e-05 3.30719165772201e-05
"EC" 2.43269157742842e-05 2.40772554901535e-05
"EE" 0 0
"EI" 0 0
"EN" 0.000117634773207529 8.17860281755796e-05
