"Q" "C"
"AA" 0.000207529995472076 0.000195339900145945
"AC" 2.05207746512669e-05 2.0299040294865e-05
"AD" 5.87879386318364e-05 5.30854381180545e-05
"AE" 2.17412032647941e-05 2.00585025482277e-05
"AF" 0 0
"AH" 0.000249758000757519 0.00022009900084497
"AI" 1.02954441417568e-05 1.01565406375149e-05
"AM" 2.70285766055534e-05 2.49539956981957e-05
"AQ" 0.0223034049099432 0.0160677820084617
"AY" 0.000753688950110971 0.000498798570001903
"AZ" 9.66042495101609e-05 7.32035224961443e-05
"BA" 0.00161576221287707 0.00134879917988397
"BD" 9.03738880824862e-06 8.65520261108778e-06
"BF" 0.000261572902535782 0.000239662395263113
"BI" 7.90130020851286e-06 7.77477251088687e-06
"BK" 5.81412250356115e-07 5.70816632665397e-07
"BM" 2.40583492661069e-06 2.37346784902467e-06
"BP" 2.3658525085804e-06 2.30759652078714e-06
"BQ" 1.1206760516688e-05 1.04742687369049e-05
"BU" 7.17710871361345e-06 7.1677719365962e-06
"BV" 8.12497951780905e-05 7.19629245069205e-05
"CN" 0.000209897371168568 0.000181741178551235
"CO" 0.00229525160228159 0.00170749738889179
"CQ" 0.031637210298648 0.0203988434726111
"CT" 0.00021058138787196 0.000133312476609231
"CU" 0.00256351177463055 0.00155019111231947
"DA" 0.00568690518643044 0.00379872314543009
"DB" 0.00418125784046975 0.00291729990261494
"DE" 0.000637804016626547 0.00054267894806155
"DI" 2.83486647741706e-05 2.8209760600963e-05
"DK" 2.01784251594181e-06 2.01276516901768e-06
"DM" 0.0433526039891955 0.0279782502258963
"DQ" 0.00347980084187347 0.00283031849587709
"DR" 0.0301458808024837 0.0187282178465967
"DS" 0.00620543888746526 0.00444453283679264
"DT" 1.37317444802972e-05 1.36026734901956e-05
"DW" 0.00114622880096425 0.0010096625617149
"DX" 0.00189846585101926 0.00136620663751539
"DY" 0.00155801624953762 0.0014225618659538
"EA" 0.00080830073966589 0.000737525380239771
"EC" 4.57645531802098e-05 4.3877031907122e-05
"EE" 0.000354049297051142 0.000325639440892711
"EI" 0.000791419300413923 0.000757044005009554
"EN" 0 0
"EO" 0 0
"EP" 0.000168624392147577 0.000164388727569449
"EQ" 0.000893764200813749 0.000816199086588408
"ER" 4.77799720110597e-06 4.61331440031872e-06
