"Q" "C"
"AA" 3.73432539568196e-05 3.52255893331904e-05
"AC" 3.66868399363656e-06 3.62201781774599e-06
"AD" 3.10890177197231e-05 2.92606988863207e-05
"AE" 0 0
"AF" 4.72032577915897e-05 4.55884868755437e-05
"AH" 6.09680328274429e-05 5.63704921132593e-05
"AI" 8.51457208193451e-06 8.38945349191627e-06
"AM" 1.26673343295961e-05 1.21632204773876e-05
"AQ" 0.000173047516230104 0.000153607073186917
"AY" 0.000128262361235805 9.27564514240607e-05
"AZ" 3.67476345660694e-05 3.10591646195289e-05
"BA" 0.00174681261448337 0.0013527005267732
"BD" 7.67610520562751e-07 7.45170614746573e-07
"BF" 0.000775730185618468 0.000686396663737882
"BI" 1.6471642420409e-06 1.62032683554001e-06
"BK" 2.63546278726544e-06 2.52151664835528e-06
"BM" 0.000209242575722511 0.000200472802663473
"BP" 1.18960028730486e-05 1.12815823865095e-05
"BQ" 7.97386010319279e-05 6.52963215494543e-05
"BU" 9.61408150178691e-06 9.60387413255091e-06
"BV" 0.004179029269975 0.00242279433163907
"CN" 0.00899255995879792 0.00520125285826686
"CO" 0.00104330653453019 0.000886810528082787
"CQ" 0.0109036306378452 0.00880713285924289
"CT" 1.37208213358778e-05 1.12211280579862e-05
"CU" 0.00147086192550822 0.0010482593865897
"DA" 0.000886248583232494 0.000733391733165297
"DB" 0.00112910482987143 0.000958565814459771
"DE" 0.000218225737875652 0.000202501639631844
"DI" 0.000913015493704476 0.000882274414151635
"DK" 0.000110609950287793 0.000108747025005717
"DM" 0.00332744176686736 0.00280100849966188
"DQ" 0.00249554552922952 0.00219355012033277
"DR" 0.00338926424226542 0.00276370783038805
"DS" 0.00116940805777036 0.000925442540860309
"DT" 6.18604927236639e-06 6.14132797984678e-06
"DW" 0.000128380799299509 0.000118638727411449
"DX" 0.000692530332108509 0.000551239622786137
"DY" 0.000373746453650151 0.000353868536596762
"EA" 0.0014017588069676 0.00131711492470884
"EC" 1.24157767016169e-05 1.2120365542231e-05
"EE" 0.000164638675899023 0.000156332890174625
"EI" 5.85846307736577e-05 5.71880398516804e-05
"EN" 0 0
"EO" 7.90638836179633e-06 7.83523833794987e-06
"EP" 0.000166293467677715 0.00015891378926572
"EQ" 0.0763541455804213 0.0354050421851318
"ER" 3.75487085429942e-05 3.39535660031247e-05
"ES" 3.1683332449322e-05 3.11707671438479e-05
"ET" 0.000196871617662506 0.000189067710825577
"EU" 0.00258759773988693 0.0022675873830197
"EV" 0.000475970701268131 0.0004314365672612
"EW" 5.44964444717724e-05 5.33689066829367e-05
"EX" 7.25900060116159e-05 7.0518585818277e-05
"FA" 1.71155404390599e-05 1.68608980302982e-05
"FE" 0.00529576730485511 0.00393575875925861
"FF" 0.00217217315177323 0.00180389254489225
"FI" 6.66352456897089e-06 6.43042768089626e-06
"FS" 7.90638836179633e-06 5.45917622371381e-06
"FU" 0.000455836795224752 0.000386753675384193
"FY" 0.000769317429110851 0.000724331179545934
"GA" 0.000548709973912312 0.00048822835985211
"GC" 7.30836223350616e-06 7.27276637191155e-06
"GM" 0.227471929678102 0.0996175194588871
"GU" 0.000101051518764817 9.67313176743281e-05
"GY" 0.00239054753676611 0.00230026249599096
"HA" 0.005571847212943 0.00494020482487809
"HB" 0.000718702162093355 0.000627040613077204
"HE" 0.000137746867283847 0.000100965447901186
"HF" 0.000371933281202429 0.00031159980008092
"HI" 0.0015015668866875 0.00118744244416558
"HL" 0.00727874082395483 0.00510796254383737
"HQ" 1.21636744027636e-06 1.19082657376824e-06
"HT" 4.69808730210492e-05 4.29371347587158e-05
"HY" 0.000936466392267889 0.00076899608203071
"IA" 0.00420853498811045 0.00318706922895185
"ID" 4.78177124746262e-06 4.69983474014551e-06
"IF" 9.19135569600226e-06 8.95817497544645e-06
"IG" 0.000140303031899036 0.000118643018839852
"IH" 6.6985483108785e-05 6.45434552123706e-05
"II" 2.93747709177643e-05 2.86613286914177e-05
"IJ" 2.56228923410703e-05 2.453617050396e-05
"IK" 4.98530891778291e-06 4.91479192793363e-06
"IL" 1.0403142581311e-06 1.026153363317e-06
"IM" 1.90651311456026e-05 1.85785253335409e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.000115914747094567 0.000114228283153296
"IU" 2.97435997802383e-05 2.94337870837878e-05
"IX" 0 0
"IY" 4.16880223145216e-05 3.86101000802931e-05
"JA" 0.000933679327129044 0.000876130317329764
"JB" 0.000355405961528958 0.000339613106195815
"JI" 0.00117165071127977 0.000935029925338462
"JM" 0.000215441515287202 0.000158200671044676
"JO" 0.0043047880437545 0.00296772005640475
"JS" 0.000134701334473108 0.000121219034729609
"JU" 5.22271588939798e-06 5.01073581751894e-06
"JW" 0 0
"JY" 0.000442289726722656 0.000406298882451378
"KA" 2.72634081441253e-06 2.66294198236043e-06
"KI" 0.00665690711004042 0.00578839520780939
"KM" 0.00626479718149695 0.00513475302996515
"KU" 0.000387185414477457 0.00037267528356494
"KV" 3.47316345893196e-05 3.42178447775713e-05
"KY" 0 0
"LE" 3.018649247302e-05 2.98655671992453e-05
"LI" 0.00126198590783198 0.000714141787958275
"LJ" 0.0012475155950269 0.000780595938363437
"LQ" 0.0104222759856879 0.00681786834047232
"MA" 0.00129761997216401 0.00108469520083972
"MC" 0.000236017274719703 0.000190342728730817
"ML" 6.46186354166302e-05 4.3553215310492e-05
"MM" 0.000138382573018114 0.000134912521816512
"MQ" 0.00013289288084942 0.000111276549009624
"MR" 4.2590961115629e-05 3.97302563509207e-05
"MU" 2.67980011273156e-06 2.5589255594541e-06
"MW" 0.000136850236675107 0.000119848389523443
"MY" 0.0137639518311857 0.00837079960287939
"NE" 0.0715028788782612 0.0449843234377809
"NI" 0.00804886769891203 0.00672955955116275
"NM" 4.53605905012841e-05 4.21403281680631e-05
"NN" 0.00941201904856673 0.00776526857519345
"NQ" 0.00384589287880795 0.00319976100532845
"NS" 1.29293537278479e-05 1.25910025514615e-05
"NU" 0.000670831327193643 0.000635221230826249
"OA" 6.12107486074555e-06 5.94841991669588e-06
"OE" 0.000102321556207531 9.94763097488036e-05
"OI" 0.000308889310626999 0.000217773386146789
"OM" 0.0009192480559767 0.000836611143112717
"OO" 0.000318656346260259 0.000226411486561386
"OP" 0.00205236875655883 0.00159983302704803
"OR" 2.54196168378699e-05 2.45099061441647e-05
"OT" 7.98306419606312e-05 6.63628986827995e-05
"OU" 3.16255534471853e-06 3.07814405011999e-06
"OX" 0 0
"OY" 1.08970656986497e-05 1.02127951210913e-05
"OZ" 2.19621898938787e-06 1.80088468148531e-06
"PA" 4.44433325254155e-05 4.24842020903055e-05
"PC" 0.000571631827297238 0.00055074256477177
"PD" 0 0
"PE" 6.21433049535686e-05 6.08078003011532e-05
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 8.13239377430128e-06 7.79678282688012e-06
"PJ" 0 0
"PK" 1.8504701912975e-05 1.83640754768177e-05
"PM" 5.40451013265718e-05 5.31845054481112e-05
"PN" 0.000256591082437612 0.000253507355730961
"PO" 0.00171272522333965 0.00163873673742418
"PQ" 1.33331689169714e-05 1.32848792214462e-05
"PS" 0.00158670017012599 0.00149303642131184
"PT" 0.00115771942217085 0.000880304268712187
"PU" 9.40813025404072e-06 9.31352679280183e-06
"PW" 0.00167213801350123 0.00123356093697381
"PY" 0.0462024700582883 0.0287323097116119
"PZ" 2.19422620702778e-05 2.18278775026185e-05
"QA" 0.00356408309780783 0.00253243969404666
"QC" 0 0
"QD" 0 0
"QE" 6.37611964660994e-07 5.78730235375502e-07
"QF" 1.97659709044908e-06 1.95588718330276e-06
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 1.7809570865128e-05 1.75795877007783e-05
"QU" 0.00144503154887331 0.00126083560592226
"RA" 3.87485964511781e-05 3.28968120971685e-05
"RB" 0 0
"RE" 0 0
"RO" 0.000277925155731117 0.000196957650337157
"RP" 9.39764148178975e-05 7.6915144556298e-05
"RQ" 0 0
"RT" 0.0142629903383755 0.00856602677540718
"RU" 0.0506604317063375 0.0296817130139379
"RX" 0.00170937029720564 0.00111028741919794
"RY" 2.93887719401218e-06 2.83086380094994e-06
"RZ" 0.00263720889021492 0.00183154822580962
"SA" 0.00253097091732474 0.00195939475268379
"SD" 0.00275067559599635 0.00234118775468181
"SI" 0 0
"SR" 0 0
"SU" 0.000237134749292018 0.000214598093864472
"SY" 8.55980888756462e-06 8.42993763863933e-06
"TA" 7.90638836179633e-06 7.61521043661494e-06
"TC" 0.000275320448677249 0.00024921088568506
