"Q" "C"
"AA" 2.64553806348094e-05 2.56898094544623e-05
"AC" 0.000545151333068406 0.000520206461198077
"AD" 0.000227061534953727 0.000222730384188265
"AE" 0.000161536979471039 0.000153119301052458
"AF" 0.0110917031377759 0.00457935187326256
"AH" 0.000958185131288439 0.000901867217942764
"AI" 3.02297899849546e-05 2.91686895984644e-05
"AM" 0.000619743211191996 0.000598278883298568
"AQ" 5.07681884729185e-05 4.97875660871712e-05
"AY" 3.07478963366339e-06 2.9728169635169e-06
"AZ" 2.53096582623042e-06 2.45862007969314e-06
"BA" 6.55363615083035e-05 6.39560067320667e-05
"BD" 0.000450348506900092 0.000421031800571728
"BF" 0.00112957156170111 0.00105820378656126
"BI" 6.41960188109923e-05 6.29172005598672e-05
"BK" 3.94243347369704e-05 3.4473081251603e-05
"BM" 0.00344011985295062 0.00225122329425376
"BP" 3.17467364727795e-05 2.99008101953239e-05
"BQ" 0.000321493318129215 0.000271196859804554
"BU" 7.76750711756328e-05 7.72408906474326e-05
"BV" 0.000333948952580944 0.000320694457548346
"CN" 0.000610630765609889 0.000586316875363541
"CO" 8.8511373218578e-05 8.50589483019867e-05
"CQ" 0.000279926118010046 0.000271051891271764
"CT" 1.62591403467316e-06 1.58140433777337e-06
"CU" 0.00127420259850835 0.00119668299491406
"DA" 3.40498857119638e-05 3.29822866979007e-05
"DB" 0.000425648564826777 0.000406345129500873
"DE" 0.000232982228745485 0.000226812710176865
"DI" 0.0216017952261526 0.0167263670649076
"DK" 0.0879632307361887 0.0397096665216581
"DM" 0.00107910121168561 0.00104801822305184
"DQ" 0.000545435877194184 0.000534220185864754
"DR" 9.98245962645078e-05 9.71036011653028e-05
"DS" 9.93113196887393e-05 9.63078465069003e-05
"DT" 0.000249134411098486 0.000240166044033891
"DW" 5.30893466966121e-05 5.13105560090075e-05
"DX" 1.84626274660561e-05 1.7892386189116e-05
"DY" 0.000117011450029053 0.000114203571889877
"EA" 6.66680420471504e-05 6.48872393216894e-05
"EC" 1.12456265105659e-05 1.11111482155963e-05
"EE" 7.86686063770025e-06 7.76685262211051e-06
"EI" 5.26117176074744e-05 5.13548582731673e-05
"EN" 1.59385643758099e-05 1.3377070682406e-05
"EO" 3.53510750454271e-05 3.51605150199086e-05
"EP" 0.00151323282303138 0.00141859607501236
"EQ" 0.000471844024006689 0.00044926735794032
"ER" 0.000178896539830712 0.00016591354649312
"ES" 0.000394246921890694 0.000378326874795833
"ET" 0.00165374425958578 0.0015317765351394
"EU" 0.0010919252275018 0.000967143998237731
"EV" 0.00184077424685347 0.00161370641504766
"EW" 0.000930733392676074 0.000878690835152376
"EX" 0.00154904456394058 0.0014578073070661
"FA" 0.000255140053427597 0.000246603904216191
"FE" 0.000401103358904817 0.000375130686173501
"FF" 3.31620013245245e-05 3.21817946639593e-05
"FI" 7.3165382285975e-06 7.19574476861008e-06
"FS" 1.47338327639393e-05 1.41225711208625e-05
"FU" 0.0044461253925931 0.00314992339242363
"FY" 7.38038169062979e-05 7.3024131260153e-05
"GA" 0.000114835154592031 0.000112701013120483
"GC" 0.000211044338725426 0.000207645742753831
"GM" 0.000404863101235849 0.000385021773751833
"GU" 0.00567952964732213 0.00527551897033349
"GY" 0.461089925235177 0.147767484451202
"HA" 0.0043386987685652 0.00396940623771681
"HB" 9.46019216585442e-05 8.97247743963762e-05
"HE" 3.46959599750608e-05 3.37155370500155e-05
"HF" 0.000991742789047498 0.000809766844336149
"HI" 0.000290924921519106 0.000275878527750464
"HL" 0.00922181649052609 0.00800966235300183
"HQ" 2.30202205388144e-05 2.24125526795395e-05
"HT" 0.000206667167770136 0.000197570355828369
"HY" 2.55185663174172e-05 2.49045615644542e-05
"IA" 0.000804339886155877 0.000775905367704569
"ID" 0.00439007414157518 0.00412136592971831
"IF" 0.000379552935534303 0.000348579037975854
"IG" 5.67172550825006e-05 5.48659939451217e-05
"IH" 0.000996070910404377 0.000923834568714202
"II" 0.00032902766747193 0.000315902316490209
"IJ" 0.00102527146214034 0.000905538229236603
"IK" 0.000420275656704861 0.000394722900689446
"IL" 1.93833163245479e-06 1.84731478759466e-06
"IM" 0.00155905875345844 0.00144454484632043
"IO" 5.48120408080113e-06 5.29220558757075e-06
"IP" 3.53694727620598e-05 3.41970823114918e-05
"IQ" 0.00119755704109176 0.00115476680445082
"IU" 0.000104077374472963 0.000100181210115057
"IX" 2.44194535759952e-05 2.39292307075493e-05
"IY" 0.000101397151290146 9.79318084452037e-05
"JA" 0.0106781416078969 0.00960356905124266
"JB" 0.0229724358503628 0.0137523447145461
"JI" 0.000198767960506011 0.000182090218107218
"JM" 0.000241081464105882 0.000207456647155542
"JO" 0.000582309738972907 0.000541921977939429
"JS" 2.88700322060245e-05 2.71729889437638e-05
"JU" 0.000485607334050915 0.000470030826716291
"JW" 5.07043799273942e-06 4.86710806390243e-06
"JY" 0.00158447497754624 0.00153307807309512
"KA" 0.00105626129801448 0.000991673053337646
"KI" 0.000387335935209103 0.000379624507322402
