"Q" "C"
"AA" 0.000590263479413488 0.000538337859506864
"AC" 0.00233251954142011 0.00214885140593003
"AD" 7.62289050506826e-05 7.26677541773106e-05
"AE" 0.000138758215290648 0.000129461587568292
"AF" 5.19854263529685e-05 4.96291388570232e-05
"AH" 0.000391259691051341 0.000360386309150137
"AI" 0.000282625086462339 0.000261484069160088
"AM" 0.000119196662316051 0.000114336910323995
"AQ" 0.000290567150097764 0.000265219681650933
"AY" 0.00343703599023487 0.0028970348985417
"AZ" 9.42493202555122e-06 8.24504200422895e-06
"BA" 0.0013581569623226 0.00117985306922465
"BD" 0.000172560215438586 0.000167198993487601
"BF" 0.000290864155587774 0.000268587638863469
"BI" 6.89057929092896e-05 6.75486276043783e-05
"BK" 0.000182781835708354 0.000170187874662703
"BM" 1.5551718338096e-05 1.48982173505161e-05
"BP" 9.67484534153696e-05 8.95207019834238e-05
"BQ" 0.000132527441523931 0.00011561820790429
"BU" 0.00603657479120327 0.00586697307182794
"BV" 0.000270010650007502 0.000234807339863708
"CN" 0.00143110728220127 0.00124473806019111
"CO" 0.00178661827926155 0.00153819027213825
"CQ" 0.0105025944804817 0.00895018721093607
"CT" 1.11989276075963e-05 9.59998881075521e-06
"CU" 0.005709846730303 0.00464274124701757
"DA" 0.00147917992208678 0.00125428464172611
"DB" 0.00211457057709235 0.00182169595839601
"DE" 0.00107406904094662 0.00100490357761473
"DI" 0.00244713660231703 0.00233007697037057
"DK" 0.000157133311979582 0.000153352372394785
"DM" 0.00392397836091473 0.00333903801898399
"DQ" 0.0017154025515255 0.00150460010012154
"DR" 0.00253973536980713 0.00218605578683077
"DS" 0.00194587314523761 0.00160997528713241
"DT" 0.000615974096906134 0.000578021273253994
"DW" 0.00102551943920963 0.000899198937484981
"DX" 0.00173929841702056 0.00145311035780941
"DY" 0.0368884474852421 0.0314246513640899
"EA" 0.00274903872459119 0.00250193733773098
"EC" 0.00110327310960107 0.00100113114430024
"EE" 0.00258380577417976 0.00232994621170986
"EI" 0.00424975528145175 0.00372497531934873
"EN" 6.99721306834499e-06 6.47684050076023e-06
"EO" 1.53005725761144e-05 1.52252613751053e-05
"EP" 0.00352993061745811 0.00319869166074623
"EQ" 0.00235264682171069 0.00200229280413285
"ER" 0.00150801180701071 0.00133285263096163
"ES" 0.0018260163835936 0.00167003381363412
"ET" 0.00352943453232241 0.00313278744053254
"EU" 0.00162542801424525 0.00147149304598513
"EV" 0.0101754382973861 0.0083463785107487
"EW" 0.00474597819730014 0.0043679948117034
"EX" 0.00384551452027234 0.00350146488565275
"FA" 0.000778069407498416 0.000739466716810831
"FE" 0.000179664489443069 0.000163797849265653
"FF" 0.00290032442483793 0.00240501438437286
"FI" 0.000661855560315306 0.000583679001052213
"FS" 3.63804375111415e-06 3.08550262020365e-06
"FU" 0.000217854956070387 0.000192755669264095
"FY" 0.00770762270423166 0.0072011090906442
"GA" 0.000701480399026509 0.000630975316642763
"GC" 0.000383864608993965 0.000376259667530715
"GM" 0.000851112225928672 0.000717300960991726
"GU" 0.00127036073389653 0.00121920687666079
"GY" 0.00139912380942801 0.00132933407738254
"HA" 0.0866136983504447 0.066127991440064
"HB" 0.222215848792972 0.135527398770954
"HE" 0.000576281554715304 0.000509221693587332
"HF" 0.00127040716545698 0.00108982564634565
"HI" 0.0164034889159487 0.0136803343607125
"HL" 0.10133494820527 0.0643940098642434
"HQ" 0.000565883304325949 0.000513818027229922
"HT" 0.00055460342394877 0.000516795493844303
"HY" 0.000414394208917435 0.000367430839685442
"IA" 0.00290137946517521 0.00240802953544985
"ID" 0.00216193529809534 0.00198870031298315
"IF" 0.0220363105433036 0.0187854673414792
"IG" 0.00114445819718026 0.000969620302771745
"IH" 0.00194422526039076 0.00181117145266817
"II" 0.0025734857311438 0.00233802166099442
"IJ" 0.00156168071341753 0.00143291476275363
"IK" 0.00129371114609496 0.00118536673545254
"IL" 4.64861145975697e-06 4.36386433274148e-06
"IM" 0.00120398420557383 0.00112569566006853
"IO" 4.96687248762492e-05 4.78378230736151e-05
"IP" 4.16923596789771e-05 3.9624892234698e-05
"IQ" 0.0178634417351022 0.0160685109915401
"IU" 0.00145663743938547 0.00134336394580511
"IX" 9.60949490361255e-05 9.39592958951985e-05
"IY" 0.000212540524917716 0.000200246973608918
"JA" 0.0026069984565584 0.0024116921444704
"JB" 0.000635899237407021 0.000601725626981463
"JI" 0.000959480419990529 0.000828455155596106
"JM" 9.86327405600482e-05 8.16664547212866e-05
"JO" 0.000801046776406717 0.000695549684193369
"JS" 9.34397366094983e-06 8.79816285305957e-06
"JU" 0.000111420777055452 0.00010753988264985
"JW" 0 0
"JY" 0.00139201934315971 0.0012808160079193
"KA" 0.000165817503278804 0.000161046337681139
"KI" 0.00130387763555078 0.00115206285762835
"KM" 0.00243891695401217 0.00212111746666424
"KU" 0.000409866929812612 0.000391567516704452
"KV" 5.83428840374679e-05 5.68917918692887e-05
"KY" 2.20619701621903e-05 2.17871731949911e-05
"LE" 0.000718751932148656 0.00070075990756161
"LI" 0.000932024752667796 0.000728159836540156
"LJ" 0.000857051584188537 0.000699877773736041
"LQ" 0.00654469219044399 0.00449907335288542
"MA" 0.000753353215448844 0.00064480881750809
"MC" 0.000334049836156169 0.000278875941944967
"ML" 0.000178556250104178 0.000124082081497828
"MM" 7.4574828410343e-05 7.27503568804759e-05
"MQ" 0.00175335670281798 0.0014818550495466
"MR" 3.2329955743321e-05 3.03291228120728e-05
"MU" 6.95048952672099e-05 6.65346809243523e-05
"MW" 0.000111863741761712 0.000101210765411043
"MY" 0.00424611907780729 0.00363524104146378
"NE" 0.0207236045276857 0.0151314407954634
"NI" 0.00121556206071575 0.00106749544744284
"NM" 0.000280504584846697 0.000257166488132906
"NN" 0.00151550786171964 0.00131470984768628
"NQ" 0.00514544580239145 0.00461997290817843
"NS" 0.000903038858774927 0.000783060626105281
"NU" 0.0033142324756935 0.00300972412502798
"OA" 0.00240361744557086 0.00211100887086541
"OE" 9.78073079186992e-05 9.51702371229072e-05
"OI" 0.00053681759083775 0.00043002358876949
"OM" 0.000221354615925898 0.000210686977522761
"OO" 0.000843850957267979 0.000642271384091574
"OP" 0.000424843883258516 0.000359456367274602
"OR" 0 0
"OT" 0.000706618801873968 0.000639745948146917
"OU" 1.71430936436429e-05 1.64746674509619e-05
"OX" 1.54953715325232e-06 1.50458519735077e-06
"OY" 0.000165013395259727 0.000155261557788646
"OZ" 7.18946741291606e-06 6.45914637340592e-06
