"Q" "C"
"AA" 0.000214198957929788 0.000197689360703158
"AC" 0.000273340222777363 0.000263075224566099
"AD" 2.34636377265441e-05 2.208424764591e-05
"AE" 2.71017441382594e-06 2.58182235498281e-06
"AF" 0.000148738855931155 0.000137789340058887
"AH" 3.32510445920044e-05 3.06838610817677e-05
"AI" 1.5430078539459e-05 1.4965568334146e-05
"AM" 1.37195288078917e-05 1.31973419935319e-05
"AQ" 0.00121957156165295 0.00103067463767162
"AY" 0.000366044490299264 0.000286940244879333
"AZ" 2.74444130278231e-05 2.19817838187595e-05
"BA" 0.00562143212748856 0.00439500825788282
"BD" 3.25951847218102e-05 3.16836314184365e-05
"BF" 0.000431055789736977 0.000383725482985004
"BI" 1.71537321784206e-05 1.68841583358026e-05
"BK" 9.59706713628315e-06 9.07398211326643e-06
"BM" 0.000154141908219291 0.000144256356911457
"BP" 1.34137586868874e-05 1.28188966422707e-05
"BQ" 0.00014625629563025 0.000126246534196039
"BU" 1.37164171988696e-05 1.36764300821913e-05
"BV" 0.000164616310992556 0.000134342435750755
"CN" 0.000847736807117254 0.000688608472236119
"CO" 0.000800720376887206 0.000688077537266974
"CQ" 0.00156198000948225 0.00128721979361047
"CT" 8.5897764966362e-06 6.81741740485164e-06
"CU" 0.00150396735097027 0.00112411627526102
"DA" 0.000486149458276363 0.000406208254961647
"DB" 0.0011819957030344 0.000991505096755958
"DE" 5.32730860175871e-05 4.98325160997474e-05
"DI" 0.00199486591215856 0.00189416223281362
"DK" 0.000633102642481527 0.000603825101275323
"DM" 0.0372669524563716 0.0276829250007716
"DQ" 0.0112503150387263 0.00879452982989444
"DR" 0.000969756310561282 0.000790007896104559
"DS" 0.0065021261634408 0.00464053033533759
"DT" 1.93285201494396e-05 1.90604458399297e-05
"DW" 3.77536488687392e-05 3.49533673965672e-05
"DX" 0.000178665584318724 0.000146558424599136
"DY" 0.000485952649696398 0.000459853342949744
"EA" 0.00022723061639875 0.000214310212328842
"EC" 4.97060219609009e-06 4.84541911726989e-06
"EE" 2.74903422061737e-05 2.62208745662553e-05
"EI" 4.62095737747157e-05 4.495401408379e-05
"EN" 7.38974169493803e-06 6.7122762918721e-06
"EO" 7.46438555044245e-07 7.42214428112543e-07
"EP" 0.00279717131603371 0.0026065585905868
"EQ" 0.00731925090088423 0.00554813022309685
"ER" 0.000443778938277939 0.00040224650768354
"ES" 0.000608451907966022 0.000578449337648773
"ET" 0.0110463745604141 0.0100460755123244
"EU" 0.00147510711572755 0.00129706564658205
"EV" 0.00819485879330294 0.00705055553788936
"EW" 0.00131085623570844 0.00123976744152135
