"Q" "C"
"AA" 0.000539283172892806 0.000475915548657417
"AC" 0.00146276995734638 0.00128791959026771
"AD" 0.000132356997130204 0.000126708034259095
"AE" 0.00105320812143776 0.000805844046520413
"AF" 7.8864011574828e-06 7.67782732805869e-06
"AH" 0.000817001356495449 0.000708712938459556
"AI" 0.000439884410477105 0.000371078964693421
"AM" 0.000424391381473332 0.000395173864907343
"AQ" 4.08276186446608e-05 3.9764557492459e-05
"AY" 3.6582354340961e-05 3.32124057049085e-05
"AZ" 4.84734861866286e-06 4.56449696699016e-06
"BA" 8.18739079249736e-05 8.01630338999714e-05
"BD" 2.47696309375786e-05 2.35157064219821e-05
"BF" 9.67353945795648e-06 9.34078886032498e-06
"BI" 7.41206431808886e-05 7.06858428515884e-05
"BK" 2.21182138438739e-06 1.88556449129535e-06
"BM" 2.18180766925271e-06 2.15571377912269e-06
"BP" 5.14784923549846e-05 4.33366273427761e-05
"BQ" 1.17839040060853e-06 1.13251151710047e-06
"BU" 0.00021770662385333 0.000213924750715453
"BV" 2.50135596256111e-05 2.43746501552222e-05
"CN" 9.13400664717699e-05 8.83030265768547e-05
"CO" 0.00850672068126301 0.00616225106720419
"CQ" 0.0101033968339821 0.00857263573309655
"CT" 9.81665350316219e-06 8.73941794899709e-06
"CU" 0.00145232615253128 0.00125275783092874
"DA" 0.0116159610042756 0.00912755989190521
"DB" 0.0136039021622667 0.0107945510110573
"DE" 0.000729766833818524 0.000672896649147151
"DI" 3.33757564924985e-05 3.31118005001972e-05
"DK" 1.43159427019172e-06 1.42566574675742e-06
"DM" 0.000951085443851364 0.000895872775638063
"DQ" 0.000277894827139434 0.000270923238663762
"DR" 0.00131766904032003 0.00117342799375572
"DS" 9.58621619262415e-05 9.29642668049308e-05
"DT" 0.00280155586413273 0.00213036027067612
"DW" 0.00523852597984805 0.00323908898711222
"DX" 0.000954715924687207 0.000781180772268122
"DY" 0.0438570483046171 0.020983980852682
"EA" 0.0781188479999902 0.0494089371854939
"EC" 0.00574178568474428 0.00394484707262248
"EE" 0.00441672453065441 0.00338014735531803
"EI" 0.0961841327476303 0.0391184537164001
"EN" 0 0
"EO" 3.09694170812439e-07 3.08934089539953e-07
"EP" 0.00213816952624069 0.00195238561096196
"EQ" 1.39384086656097e-05 1.37842107384856e-05
"ER" 0.000185680435485387 0.00017040721350567
"ES" 0.00121420173435396 0.00109314778324036
"ET" 0.0016813939142277 0.00152288737139994
"EU" 1.62220756139849e-05 1.60563587318319e-05
"EV" 0.00145340261781439 0.00116360134751667
"EW" 0.000876267932207182 0.000819909387258968
"EX" 0.0011658086497717 0.00107813081335013
"FA" 0.000574740271063678 0.000462645723720993
"FE" 4.39309895635585e-06 4.37314160630188e-06
"FF" 2.8815682294838e-05 2.83596921577356e-05
"FI" 0.00237544990553083 0.0013621677056246
"FS" 0 0
"FU" 6.52685216253573e-06 6.45057456943647e-06
"FY" 0.000230464377527637 0.000225187581902324
"GA" 0.000107979911561956 0.00010391535282994
"GC" 0.0009356271874013 0.000890564553456063
"GM" 6.07097258454681e-06 5.93525439050761e-06
"GU" 0.000382092607451972 0.0003606363503251
"GY" 5.47576233075926e-05 5.40630343060715e-05
"HA" 1.41457810462489e-05 1.40000368817591e-05
"HB" 0.000100339451300976 9.3770233824992e-05
"HE" 2.81459748798302e-06 2.78949420354403e-06
"HF" 2.12460824693741e-06 2.08999715892709e-06
"HI" 4.6486823347291e-06 4.62389368259866e-06
"HL" 6.39964925556285e-05 6.26870631047574e-05
"HQ" 0.189301619164182 0.0793024398007668
"HT" 3.63672458881798e-05 3.40143281834462e-05
"HY" 6.82743835163526e-05 6.26955637134798e-05
"IA" 0.000587163854120471 0.000544192163130804
"ID" 0.0689733457768892 0.0386088652302463
"IF" 0.00335346242994028 0.00200142509353067
"IG" 0.00245017728108897 0.00196721851302368
"IH" 0.00553336391320637 0.00403035325702803
"II" 0.0158612246632909 0.0091148057197123
"IJ" 0.000481865768381585 0.000434348602483404
