"Q" "C"
"AA" 0.000331208485124768 0.000315056582630012
"AC" 4.26071324228116e-05 4.15675087345244e-05
"AD" 0.000915376545020124 0.000771857048964807
"AE" 7.53232996944491e-05 6.13292328704645e-05
"AF" 1.7254703366371e-05 1.62982730895189e-05
"AH" 0.000707375812604592 0.000520495571688856
"AI" 3.45077144360274e-05 3.34431849187529e-05
"AM" 0.00347207798717952 0.00247483413079163
"AQ" 3.31819504474792e-05 2.97668389419776e-05
"AY" 0.00396795401511562 0.00234392580909658
"AZ" 5.60772433606753e-05 4.22689168664847e-05
"BA" 5.73006442338884e-05 5.26302391475124e-05
"BD" 0.0164909014473646 0.0095359447459386
"BF" 0.0194464560181386 0.0151431667416917
"BI" 0.00290848117780079 0.00260799362043772
"BK" 0 0
"BM" 8.01530478491043e-06 7.77883038037579e-06
"BP" 4.64522723970149e-06 4.33320898724874e-06
"BQ" 5.3828412033143e-05 4.76260298235973e-05
"BU" 0.000346964017245864 0.000343624476425709
"BV" 0.00110805459330466 0.000933188540789378
"CN" 0.0162519247679287 0.0124996464294155
"CO" 0.0137586199153974 0.00857388068136646
"CQ" 0.0997648719842738 0.0495499593242376
"CT" 1.71838762296295e-05 1.12569948907826e-05
"CU" 0.0458585966932761 0.0187509725786857
"DA" 0.00259139424574728 0.00141058627498746
"DB" 0.0200825621440035 0.0110081278800254
"DE" 0.0513979393300896 0.0314136360852298
"DI" 2.41274506810769e-05 2.3892614206023e-05
"DK" 1.29033658139424e-05 1.27864823686607e-05
"DM" 0.000760022893670669 0.000582291191881223
"DQ" 0.000344438964542741 0.000313451177101364
"DR" 0.0121260798996324 0.00657858022812382
"DS" 6.22468385356628e-05 5.53307913756764e-05
"DT" 1.39376968636803e-05 1.36020025825504e-05
"DW" 0.00153695508015077 0.00125952027467324
"DX" 0.00223491712139242 0.00149823480856903
"DY" 0.00132222531230287 0.00115894668898583
"EA" 0.000741517108762451 0.000637326444937982
"EC" 0.000143493791432164 0.000134603980312071
"EE" 0.000759733048438081 0.000674757174374091
"EI" 0.000265001255073656 0.000246623720959624
"EN" 0 0
"EO" 2.08205259178693e-06 2.07140902739294e-06
"EP" 0.000365953489283675 0.000348982936296165
"EQ" 9.9831464409877e-05 9.39888631884435e-05
"ER" 4.29025257847468e-05 4.05652142500383e-05
"ES" 3.54777341569087e-05 3.46292494422481e-05
"ET" 0.000146701893135875 0.000138057991937974
"EU" 3.4609068070255e-05 3.37508955886772e-05
"EV" 0.00874987156008532 0.00713037637905136
"EW" 0.000152860448532659 0.000148423028020058
"EX" 0.000302214624426375 0.000290546084521411
"FA" 3.13839338339785e-06 3.05939568085433e-06
"FE" 1.97229143496956e-05 1.92693999973613e-05
"FF" 4.07785141299671e-05 3.87941325163088e-05
"FI" 9.01383210169768e-05 8.08427659398013e-05
"FS" 0 0
"FU" 0.000236588611646248 0.00022515053211859
"FY" 0.000855959343297466 0.000806363366393473
"GA" 0.000168322800984118 0.000144753391883293
"GC" 0.00133121366034653 0.0012628293481337
"GM" 2.83854226400687e-05 2.58059003067262e-05
"GU" 0.144758166898096 0.0767681218120592
"GY" 0.000512916593001017 0.000498745564700428
"HA" 6.51964862809385e-05 6.38670175853858e-05
"HB" 6.17509708583947e-05 5.88944084418626e-05
"HE" 1.86468472289692e-05 1.7453276154354e-05
"HF" 1.15397907251027e-05 1.08730404465158e-05
"HI" 6.37602018895919e-05 6.1769112020747e-05
"HL" 4.8540326053482e-05 4.55121660326491e-05
"HQ" 5.85060841616007e-06 5.49460376145481e-06
"HT" 0.156335901484129 0.0646200071602001
"HY" 0.0112460811683619 0.00657749769237948
"IA" 0.00316924801943963 0.00222853506265296
"ID" 8.74896300151471e-05 8.13434923355556e-05
"IF" 5.71983551488857e-05 5.40080183246429e-05
"IG" 0.000440830990504055 0.00036423395839392
"IH" 0.000252617842533632 0.000220289735171479
"II" 7.88091288739536e-05 7.28214932789573e-05
"IJ" 3.43645554348115e-05 3.35031399536058e-05
"IK" 2.40972087219884e-05 2.35431258312761e-05
"IL" 3.7240188066471e-06 3.52078010334749e-06
"IM" 6.93511231833153e-05 6.32854137644918e-05
"IO" 2.54627961808065e-05 2.40336102170562e-05
"IP" 1.59409697471682e-05 1.50559684982457e-05
"IQ" 0.000176898698923141 0.000172793216218238
"IU" 7.15416943028313e-05 6.97254436738874e-05
"IX" 9.77515407815084e-07 9.35873568368734e-07
"IY" 0.0137137083181762 0.00854306840846206
"JA" 0.00718625399440396 0.00561027824208314
"JB" 0.000249803571299022 0.000212236041564211
"JI" 2.85702067840955e-05 2.74399592423948e-05
"JM" 6.12195224605907e-06 5.90219904827299e-06
"JO" 3.36816298869168e-05 3.27652998877829e-05
"JS" 4.13961435961098e-06 4.06508295783923e-06
"JU" 0.00501714558773495 0.00380239000950849
"JW" 8.23647241770117e-07 7.97339183463668e-07
"JY" 0.00143679175332045 0.00118632052225942
"KA" 0.0016670838556295 0.00115614423115998
"KI" 0.000159607762625175 0.000141112400823011
"KM" 0.136454744116028 0.0583108746236736
"KU" 0.000269999196314353 0.000243038867183221
"KV" 0.00600759877497862 0.00477410426320026
"KY" 0.00168506749967211 0.00155971807879659
"LE" 0.00771631156486848 0.00677484663860944
"LI" 0.000676221060416017 0.000519853105057659
"LJ" 8.64116669912088e-05 7.97211224154815e-05
"LQ" 1.50656765748203e-05 1.42732573785892e-05
"MA" 0.000503673314272188 0.000392999580951102
"MC" 0.00586147304168679 0.0030929982111642
"ML" 0 0
"MM" 6.16951114182928e-05 6.04818775556677e-05
"MQ" 0.000477606166926723 0.000403203603833509
"MR" 1.88147176348198e-05 1.83661759614309e-05
"MU" 0.00226140410717091 0.00160483604118126
"MW" 7.32130881573437e-07 7.06351188762373e-07
"MY" 0.000290324926556659 0.000271209335682357
"NE" 0.00166255507192054 0.00146748807113605
"NI" 0.00341020864697271 0.00265374613553131
"NM" 1.15786063868533e-06 1.14096514408312e-06
"NN" 0.0015822772777179 0.00134561684064333
"NQ" 4.06577433666224e-05 3.97985199578864e-05
"NS" 2.08297653047998e-05 1.95992165844761e-05
"NU" 6.46365648368335e-05 6.27342704391453e-05
"OA" 0.000115406709619796 0.000107922666721183
"OE" 3.30310817118692e-05 3.20366929625171e-05
"OI" 0.000213956835451511 0.000159303368031732
"OM" 2.05944816591858e-05 2.01698137498583e-05
"OO" 5.45338215016753e-06 4.82307249836146e-06
"OP" 0.00125238799613781 0.00097257167130111
"OR" 2.67560558538656e-06 2.60643057657995e-06
"OT" 9.53143916188303e-05 9.09589248093719e-05
"OU" 0.000929890569404482 0.000723563221011276
"OX" 0 0
"OY" 3.79095495842291e-05 3.72257942363592e-05
"OZ" 2.67239105069685e-06 2.2991037357052e-06
