"Q" "C"
"AA" 0.0104046373978565 0.00820939092179816
"AC" 0.0165980860214169 0.012155525876195
"AD" 9.41525632085198e-05 9.18269896224868e-05
"AE" 0.00122836296063297 0.00105738874108039
"AF" 3.67274708627137e-05 3.5307650416855e-05
"AH" 0.000393175091797056 0.000363974147787913
"AI" 0.00590719965020243 0.00429940116707576
"AM" 0.000504571157486802 0.000482658140157771
"AQ" 1.3556542536987e-05 1.33316323569085e-05
"AY" 0.000101356906866805 9.46669457665997e-05
"AZ" 1.71283323170523e-06 1.6508625741376e-06
"BA" 6.68908999816262e-05 6.5414640276034e-05
"BD" 6.91680226341743e-05 6.64518914735213e-05
"BF" 8.12184931722501e-05 7.86408323322732e-05
"BI" 5.76405113148062e-05 5.55936792230652e-05
"BK" 0.000210480961265553 0.000177238671430176
"BM" 1.81803065014368e-05 1.77960074593583e-05
"BP" 0.000199824567886276 0.000174324665593685
"BQ" 3.30489956402272e-05 3.1241726766792e-05
"BU" 0.00181225038374681 0.00175424009787578
"BV" 8.89534579880932e-05 8.59650408700577e-05
"CN" 0.00030513362555136 0.000293820781157286
"CO" 0.00173180508846321 0.00150361224078214
"CQ" 0.00306450065665741 0.00281245982168829
"CT" 7.78703160895901e-06 7.24649095438552e-06
"CU" 0.00272330104269083 0.00247082291650537
"DA" 0.0030969324930014 0.00273422340693929
"DB" 0.00360531396932703 0.00319308023568148
"DE" 0.000515015437053879 0.000492572341358647
"DI" 0.0035247635681151 0.00335164127741071
"DK" 0.000486441484273696 0.000474776382837697
"DM" 0.000661836527875899 0.000636602030392157
"DQ" 0.000475474539345223 0.000465075369820205
"DR" 0.000856519436055555 0.000803011195098337
"DS" 0.00011538703104239 0.000112244795131718
"DT" 0.0158421149638832 0.0114620317690557
"DW" 0.00213885007426421 0.00171628559403826
"DX" 0.000332283913297545 0.000301156679762165
"DY" 0.0128250191399249 0.00922465694552235
"EA" 0.00475293602115731 0.0040266953197588
"EC" 0.00090395614144616 0.000762865106399715
"EE" 0.00107285417622873 0.000953668130750486
"EI" 0.0194533639122059 0.0131535792173337
"EN" 0 0
"EO" 0 0
"EP" 0.0209775482847626 0.0158098287833866
"EQ" 6.10874825464437e-05 5.99391796415262e-05
"ER" 0.00233124027662613 0.00175449388866218
"ES" 0.0043739392513662 0.0032993020479068
"ET" 0.00711584761290622 0.00542568079835233
"EU" 0.000253267906676632 0.000245163682626078
"EV" 0.0282471157370998 0.018235422505628
"EW" 0.0108780175987739 0.00851468405713797
"EX" 0.0127041345688588 0.00977554967468764
"FA" 0.006975902696679 0.00558109643671026
"FE" 2.03754817724524e-05 2.01273169188113e-05
"FF" 4.90182884423774e-05 4.8061413061719e-05
"FI" 0.0016788946389161 0.00127444466351389
"FS" 0 0
"FU" 2.25099103750008e-05 2.2000796110322e-05
"FY" 0.000504302819308919 0.000494466212741653
"GA" 9.65249164196131e-05 9.41713735331255e-05
"GC" 0.00211104321238927 0.00198814166970343
"GM" 1.13032940009181e-05 1.10397310666071e-05
"GU" 0.00101499623542172 0.000970088987897743
"GY" 0.00205855279845007 0.00198148694584191
"HA" 0.00423542814926262 0.00408856762439416
"HB" 0.0061996529887431 0.00573798830498609
"HE" 3.6325805291114e-05 3.57528878858055e-05
"HF" 0.000105720097394583 0.000101631861028126
"HI" 0.000886071844443283 0.000866681687503219
"HL" 0.000272111699816021 0.000261904069024206
"HQ" 0.00411545990196363 0.00298558532069244
"HT" 0.000123638547286691 0.00011800784015571
"HY" 8.8560176390992e-05 8.41717601214327e-05
"IA" 0.000243035983701868 0.000231715405094029
"ID" 0.017511109790796 0.0128131847923813
"IF" 0.074014040780793 0.0384324737493636
"IG" 0.00599147051123388 0.00495843600047502
"IH" 0.00386022544043524 0.00320203807312236
"II" 0.0210639290902437 0.0154434067023757
"IJ" 0.0125303979640166 0.00985400101463505
"IK" 0.0145669647841173 0.00996273265143083
"IL" 0.000270436073068158 0.000205549080963708
"IM" 0.0163836533138037 0.0127738925228922
"IO" 0.00110521841142144 0.000942787247186111
"IP" 0.000377645713696281 0.000313844358457845
"IQ" 0.0600665218850418 0.0410361735674648
"IU" 0.040807432994468 0.0261436109255834
"IX" 0.00311396190456507 0.00280338028344657
"IY" 0.000205904573897896 0.000197968248669827
"JA" 0.00735056091411757 0.00635740573157911
"JB" 0.000915104984806989 0.000848007316021325
"JI" 0.000852016241481152 0.000793509406863707
"JM" 2.17996956762484e-06 2.13586784062247e-06
"JO" 1.78322526912459e-05 1.75953190137699e-05
"JS" 2.057509390213e-05 2.02120312475165e-05
"JU" 0.000305072962499532 0.000296369124494775
"JW" 1.14188882113682e-06 1.13172329405793e-06
"JY" 0.00186390019705944 0.00174046259551226
"KA" 0.000635207774687499 0.000607455966448371
"KI" 0.000103130869708237 0.000100869388423114
"KM" 0.000486806035045201 0.00045646613612863
"KU" 0.000375365238971379 0.000359388240857527
"KV" 0.000487569170747126 0.000458879801018106
"KY" 0.000181648366806598 0.0001742720032755
"LE" 0.00515639090366173 0.0047873517686568
"LI" 4.11093428797399e-05 3.93240876577177e-05
"LJ" 3.85907749491294e-05 3.7735885036785e-05
"LQ" 7.13359715148055e-05 6.94179437630346e-05
"MA" 0.000254883752521543 0.000245910864529881
"MC" 0.00078423997996756 0.000662762151845465
"ML" 6.0900737127297e-06 5.94458540435725e-06
"MM" 3.50559868089003e-05 3.4660344574039e-05
"MQ" 0.000174291501859115 0.00016251547055301
"MR" 2.2826537732927e-05 2.22056211191981e-05
"MU" 0.00016158674754863 0.000156150334036706
"MW" 4.57238344135286e-05 4.38213180167167e-05
"MY" 0.000144519318876723 0.000141647091890919
"NE" 0.000800994143587254 0.00076634440826362
"NI" 0.000268331083260673 0.00025967749623145
"NM" 3.87952227140422e-05 3.73939832557823e-05
"NN" 0.000140778893975153 0.000137123140957973
"NQ" 0.00077215606511237 0.000744685413690705
"NS" 0.0119491584691796 0.00753212638404257
"NU" 0.00113132442111155 0.00103735550988449
"OA" 0.0234029588897263 0.0150655810187837
"OE" 8.01952311101171e-05 7.87914690839768e-05
"OI" 2.87449921346887e-05 2.71295100465731e-05
"OM" 4.70541004794502e-05 4.64877297309844e-05
"OO" 1.27737643040456e-05 1.24412742855086e-05
"OP" 0.000113694124235478 0.000107333207808326
"OR" 8.94184615826627e-06 8.82500651917927e-06
"OT" 0.000139568151849007 0.000136527602766815
"OU" 0.000320171035356722 0.000291497121923403
"OX" 0 0
"OY" 6.97636834288088e-05 6.87050391571426e-05
"OZ" 4.75640612804298e-06 4.61220383764034e-06
"PA" 2.07704788920794e-05 2.04989487598423e-05
"PC" 0.00652619035378931 0.00612645653454659
"PD" 6.48099060645221e-07 6.44458776914236e-07
"PE" 0.0199276797355776 0.0157903130968251
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000602053892380666 0.000574907795451759
"PJ" 0.000610272670755861 0.000523864320961347
"PK" 0.00343488110653079 0.00235157770736182
"PM" 0.0626328653653985 0.0392163276621556
"PN" 0.0478103942417322 0.0372409363061553
"PO" 0.0234951301555296 0.0153706283258526
"PQ" 0.00535565123346107 0.0047747894966301
"PS" 0.000566218426025751 0.00052806469115837
"PT" 0.000626363698864754 0.000547233750219883
"PU" 0.0618115873328825 0.0396273890812049
"PW" 7.51897516073573e-05 7.04892711448493e-05
"PY" 0.000512313131698021 0.000491917336902608
"PZ" 0.00762922047560162 0.00535540433418463
"QA" 0.000354414248902298 0.000328590435638589
"QC" 1.08998478381242e-06 1.08249709945326e-06
"QD" 0 0
"QE" 0.00220763545273983 0.00181705022564311
"QF" 0.00316167675599307 0.0019589839224813
"QG" 0.00365174273498036 0.00241075037133521
"QH" 0.0111046227355889 0.00787946654252388
"QJ" 0.000787134179583454 0.000597969990476119
"QK" 7.05284271878623e-07 7.01934898526675e-07
"QQ" 0.00260432952192734 0.00243738309691809
