"Q" "C"
"AA" 0.00676608454258396 0.00570282484396776
"AC" 0.00218427281777059 0.00194123920968503
"AD" 0.00019256978711068 0.000178190064262103
"AE" 0.000146502545922941 0.000130392910737108
"AF" 0 0
"AH" 0.000186494821432068 0.000164933536564649
"AI" 0.000247303403272475 0.000223657664151393
"AM" 7.40945605645737e-05 6.89963101276974e-05
"AQ" 0.00020685034207199 0.000186983735666819
"AY" 0.00178871227040071 0.00123265234874024
"AZ" 2.84023483910269e-05 2.3390374823283e-05
"BA" 0.00231946908811644 0.00194970398893761
"BD" 2.52297319078082e-05 2.42241186922078e-05
"BF" 0.000182153656194277 0.000169543110580344
"BI" 5.07974946166673e-06 4.95561626129413e-06
"BK" 4.07766877297609e-07 3.85867423446177e-07
"BM" 1.88278736044802e-06 1.86138830313593e-06
"BP" 8.43075676890271e-07 7.80530919007461e-07
"BQ" 6.06085288644734e-06 5.58898974039768e-06
"BU" 0.000162133033728693 0.000160476772787221
"BV" 0.000528408858637601 0.000440688596174931
"CN" 0.000832595628834932 0.000680522082882202
"CO" 0.0108334875763536 0.00793796547272177
"CQ" 0.0234302512970828 0.0164283005564562
"CT" 0.0014341465449778 0.000962473192823608
"CU" 0.00536258813750575 0.00360311430106603
"DA" 0.0308039967177545 0.0209657110834984
"DB" 0.0158941748720333 0.0116740299342873
"DE" 0.000469561949082277 0.00041027916039462
"DI" 4.84583713501442e-05 4.78065779906046e-05
"DK" 1.67623187703131e-05 1.66647417766845e-05
"DM" 0.013468202749691 0.0104882882224812
"DQ" 0.032836402270978 0.0265147982765337
"DR" 0.0210859717137808 0.0148736766337209
"DS" 0.00381024739872987 0.00302927278214423
"DT" 0.00045384997194582 0.000421291639063967
"DW" 0.00142071712738377 0.00116321405242506
"DX" 0.00133031926325901 0.00099290594226668
"DY" 0.0142955437209239 0.011372352945609
"EA" 0.00576904346073247 0.0049037165966541
"EC" 0.000639714976745868 0.000564878771493433
"EE" 0.00377722328246965 0.00327801148042968
"EI" 0.0101110012818892 0.00832020011219111
"EN" 0 0
"EO" 0 0
"EP" 0.0141349893855479 0.0121543507014497
"EQ" 0.000224597128039407 0.000205098368712115
"ER" 0.00115511454179002 0.000978493458431989
"ES" 0.00103302309467065 0.000909533383541794
"ET" 0.00439773250508683 0.00379636667691075
"EU" 6.9820832294652e-05 6.7712781732819e-05
"EV" 0.0175886874537919 0.0133366453395415
"EW" 0.00375308223905133 0.00336085039466544
"EX" 0.00648205371871458 0.00568928982628925
"FA" 0.000156086733591227 0.000146567831085461
"FE" 5.07732010692433e-06 4.93356895650251e-06
"FF" 0.00105313717785457 0.000882417914900646
"FI" 0.000347685592565289 0.000289827371990982
"FS" 0 0
