"Q" "C"
"AA" 0.00115366641435609 0.00106191329440108
"AC" 0.000807995922404362 0.000758968443634451
"AD" 0.000402446629715423 0.000375123082626436
"AE" 0.00974906386313122 0.00582275478032525
"AF" 0.000171925618302267 0.000157054916858492
"AH" 0.0023020720752844 0.00177606786276881
"AI" 0.000261121785265292 0.000234013238890143
"AM" 0.00298624173461421 0.00246050392025158
"AQ" 0.000366548702518421 0.000351148353512773
"AY" 3.60446102118134e-05 3.25064750877711e-05
"AZ" 4.57561566284097e-05 4.1882687551685e-05
"BA" 2.94775374314665e-05 2.8761289638768e-05
"BD" 0.00083890572581731 0.000643952042477983
"BF" 7.99886072658686e-05 7.35397064069676e-05
"BI" 4.27598331804689e-05 3.91472673884132e-05
"BK" 3.46739873558772e-05 2.61034627033291e-05
"BM" 2.59258337145415e-05 2.48000021367642e-05
"BP" 2.19819715640831e-05 1.89226683603347e-05
"BQ" 1.53837969465948e-05 1.44398231389579e-05
"BU" 0.00100620559360309 0.000981563476371991
"BV" 2.2253971406256e-05 2.15114693657256e-05
"CN" 9.72430825854217e-05 9.23523986632957e-05
"CO" 0.00473562583457037 0.00376826757910755
"CQ" 0.00849313723342362 0.00720355266132376
"CT" 2.20259757759732e-06 1.95702307490717e-06
"CU" 0.00131077561525003 0.00106609414509036
"DA" 0.00178626288787213 0.00147891086057798
"DB" 0.0319171537689063 0.0235491659523967
"DE" 0.00462416267789692 0.00398871980820964
"DI" 0.00100716519612286 0.000985862039069473
"DK" 0.000149945299139093 0.000147593909254935
"DM" 0.000503833163733843 0.000470489279365888
"DQ" 0.000174102251198954 0.000169068030835494
"DR" 0.000692962480510283 0.000613006972599383
"DS" 0.000179803465265735 0.000172544762227122
"DT" 0.0050633777861473 0.00403753149901987
"DW" 0.0118579881731927 0.00820503071023768
"DX" 0.000785853637112271 0.00066126638053232
"DY" 0.0170207043687726 0.012176450932795
"EA" 0.0160621164955396 0.0124723105680459
"EC" 0.00274833504044188 0.00228527646985685
"EE" 0.0024600765430149 0.00210560658314011
"EI" 0.050268684666604 0.0341050780186778
"EN" 4.86380140126118e-07 4.67722941754768e-07
"EO" 0 0
"EP" 0.00113821189255521 0.00107665433888999
"EQ" 4.06151401213695e-05 3.98350368280258e-05
"ER" 7.54656798477496e-05 7.17354291982307e-05
"ES" 0.000133493254455536 0.000128072907946026
"ET" 0.000474018193997624 0.000446945438305525
"EU" 7.85830066964327e-05 7.68775800917611e-05
"EV" 0.00471769790181515 0.00381473701264239
"EW" 0.000615316746870274 0.000591145606972023
"EX" 0.000538125352977077 0.000514251772185184
"FA" 0.0115378763833393 0.00911639314040768
"FE" 2.87268270261989e-06 2.83583421241488e-06
"FF" 2.39240423582517e-05 2.33423821650495e-05
"FI" 0.000708874305243818 0.000561477796104515
"FS" 1.1519529634566e-06 1.12344679328658e-06
"FU" 6.41560777487938e-05 6.12365268289882e-05
"FY" 0.000148136710307779 0.000144588989650699
"GA" 0.000139079780625482 0.000132808769226319
"GC" 0.0085782203223534 0.00741353109363522
"GM" 2.88271844025092e-05 2.78137190640927e-05
"GU" 0.0131115041646961 0.0101111910325701
"GY" 0.00273775921535066 0.00261449324555052
"HA" 0.000143573858508918 0.000141061462611483
"HB" 0.000360303371804286 0.000341631478603122
"HE" 2.69110592703947e-06 2.65396278134649e-06
"HF" 0.000144174681525313 0.000138262650543505
"HI" 2.64962347455015e-05 2.6232199110291e-05
"HL" 8.27637130872499e-05 7.93034515591928e-05
"HQ" 0.00513725625966851 0.00369380610576655
"HT" 0.000417673838419532 0.000361183292101796
"HY" 9.39205304987399e-05 8.52800316155554e-05
"IA" 0.000828711641756304 0.000757297162836825
"ID" 0.0300792953289403 0.0187413401457631
"IF" 0.00177721879452362 0.00134922577977666
"IG" 0.000569306425379594 0.000498223280178721
"IH" 0.140292308289002 0.0619595678243624
"II" 0.0644015928229121 0.0374081404174377
"IJ" 0.00133492766372978 0.00123046340211379
"IK" 0.00116940467417779 0.0010178249774649
"IL" 3.37458665140933e-05 2.75197142265325e-05
"IM" 0.0351667371592302 0.0198601840772216
"IO" 0.00042398237148583 0.000343796462959418
