"Q" "C"
"AA" 0.000990509599670506 0.000879982053516973
"AC" 0.00517793389691393 0.00469302022593227
"AD" 0.000458790063279374 0.000428698261609115
"AE" 0.00743323546772352 0.00483169613522241
"AF" 1.95156993088134e-05 1.85722219664875e-05
"AH" 0.00205940911099425 0.00165092341372813
"AI" 0.000882568718509125 0.000748965480793078
"AM" 0.00098993305737665 0.000881879756871013
"AQ" 4.21354305589093e-05 4.0805848658862e-05
"AY" 2.2790632733618e-05 2.06209318623168e-05
"AZ" 2.88039057996659e-06 2.68534438222486e-06
"BA" 2.47442451350441e-05 2.41939361054624e-05
"BD" 3.10186018935061e-05 2.82469181330334e-05
"BF" 1.81799839426904e-05 1.73959245386883e-05
"BI" 3.40143068479521e-05 3.237066439915e-05
"BK" 3.90976726999775e-06 3.21025802805527e-06
"BM" 1.42309480769355e-06 1.39524347337536e-06
"BP" 2.37498202026039e-05 2.05424095512408e-05
"BQ" 8.21207273868513e-06 7.85007625736604e-06
"BU" 0.000267641166953771 0.000263221617997941
"BV" 1.24603690321103e-05 1.2112871916583e-05
"CN" 5.57572272528932e-05 5.36551763950349e-05
"CO" 0.0055146126890167 0.00426220206702705
"CQ" 0.0109505293058451 0.00919048581217723
"CT" 1.50545012761533e-05 1.32565883263278e-05
"CU" 0.000621170360166424 0.000525005571096877
"DA" 0.00260885841591552 0.00208107141118716
"DB" 0.0285728035230351 0.0214260587096728
"DE" 0.00134366205107902 0.00120747073402056
"DI" 0.00012423341618788 0.000122723020978969
"DK" 3.37260162928218e-05 3.34898615934182e-05
"DM" 0.000566446343808312 0.000530664897688698
"DQ" 0.000177167622328839 0.000172338243294269
"DR" 0.00101648686755177 0.000897365683814525
"DS" 5.23949501037493e-05 5.06167298140623e-05
"DT" 0.0234888871927236 0.0159281530284744
"DW" 0.027088104954952 0.015431112331185
"DX" 0.00268191340893535 0.00215569949819498
"DY" 0.0457313828033354 0.0249437300615017
"EA" 0.015135684765838 0.0112059196701078
"EC" 0.00506796557763068 0.00364035602569995
"EE" 0.0089735521443979 0.00682208106727689
"EI" 0.100363159683143 0.0490583761029523
"EN" 0 0
"EO" 9.89256672536256e-07 9.86837587376233e-07
"EP" 0.00161202092612452 0.00150014499735493
"EQ" 6.30971889761408e-06 6.22677911868701e-06
"ER" 0.00011843139433588 0.000110794727999594
"ES" 0.000145891679179824 0.000136866552236627
"ET" 0.000403371722921846 0.000373947722981287
"EU" 6.4035434194914e-06 6.32399656633304e-06
"EV" 0.00791464300161992 0.00617914614264243
"EW" 0.000565204328299801 0.000535827061449754
"EX" 0.000633089293724602 0.000595595882868743
"FA" 0.00169567495739295 0.00135926218709113
"FE" 3.95702669014502e-07 3.93310807835969e-07
"FF" 1.33239433910902e-05 1.30842493715564e-05
"FI" 0.00275932528435435 0.00179297535850675
"FS" 0 0
"FU" 1.87570385215295e-06 1.84045533854084e-06
"FY" 0.000797294321944133 0.000777158299073544
"GA" 0.000172294593894917 0.000165068790736194
"GC" 0.00192060757428458 0.00178911547073487
"GM" 1.03015839811843e-05 1.00311058274995e-05
"GU" 0.000677433083688649 0.000613858595608949
"GY" 0.000415340098838751 0.000406525723344716
"HA" 6.24818739108938e-05 6.16766782245874e-05
"HB" 0.000278901067527049 0.000261000680129166
"HE" 2.87453810807214e-06 2.84626999393618e-06
"HF" 2.18610417400753e-06 2.13631898299643e-06
"HI" 6.6434442918745e-06 6.60013435087792e-06
"HL" 2.42123096081398e-05 2.35960474205009e-05
"HQ" 0.00995565881916271 0.00589387889641971
"HT" 6.21671497605429e-05 5.70825337343477e-05
"HY" 7.20595708399312e-05 6.56566118410492e-05
"IA" 0.000369444138249386 0.00033963136123549
"ID" 0.0578940477046142 0.0306196307339661
"IF" 0.00665817509253481 0.00420079699917597
"IG" 0.00228678298880693 0.00188333913300846
"IH" 0.0315807034218756 0.0191819342770661
"II" 0.217119945526885 0.0981862017069748
"IJ" 0.00125785184736232 0.00113907953479418
"IK" 0.0015277524109098 0.00121418209927721
"IL" 7.84714124974032e-06 6.70263250019741e-06
"IM" 0.00899623043889126 0.00629319650744167
"IO" 6.28264248531868e-05 5.62478447587829e-05
"IP" 0.00407667345393815 0.00272718135767952
