"Q" "C"
"AA" 0.00132832415131148 0.00112381025515091
"AC" 0.0218345060026975 0.0150931343691519
"AD" 8.22925781162978e-05 8.07744103277689e-05
"AE" 0.000547826675509829 0.00050094575329315
"AF" 0.000129181315932202 0.000118649120360593
"AH" 0.000243962667793339 0.000231174400500249
"AI" 0.00125802499141613 0.00100324150210395
"AM" 0.000100379647901662 9.7429340613679e-05
"AQ" 1.36208303311145e-05 1.33996050610179e-05
"AY" 3.76642769336503e-05 3.55673468083792e-05
"AZ" 4.34296302843193e-06 4.21108214155463e-06
"BA" 0.000417448049512282 0.000404674977825705
"BD" 4.8412154233938e-05 4.69460132383326e-05
"BF" 0.000189956648695936 0.000183512824006423
"BI" 1.49797096846473e-05 1.46440549566545e-05
"BK" 7.18306478863557e-05 6.05654433694263e-05
"BM" 4.10659536646834e-05 3.90036166744528e-05
"BP" 5.49307767356825e-05 4.78972163834685e-05
"BQ" 1.92314976494891e-05 1.72361509078749e-05
"BU" 0.000209513041080931 0.000207078064904925
"BV" 0.000228043565628691 0.000215296951570468
"CN" 0.00177533967665435 0.00168025784686608
"CO" 0.000614867126789266 0.000563758228306037
"CQ" 0.000704481586088657 0.000666890676387586
"CT" 2.54833758142831e-06 2.42334217983244e-06
"CU" 0.000739535536509002 0.000684756980929558
"DA" 0.000904540052993618 0.000839785752861975
"DB" 0.00144014008518849 0.00133316209585802
"DE" 0.000179243541879595 0.000174313634729351
"DI" 0.0268908977382146 0.021057210595197
"DK" 0.00211037828812039 0.00197335186659481
"DM" 0.000272135893806363 0.000263620089414364
"DQ" 0.000179229853400501 0.00017549365439168
"DR" 0.0002468935748181 0.000236388996165382
"DS" 0.00021615146146327 0.000208940476218977
"DT" 0.00199765473903282 0.00170933174711452
"DW" 0.000604864769205027 0.000541113721065482
"DX" 0.000125197272736451 0.000117923901943102
"DY" 0.00129212603677983 0.00110680737464451
"EA" 0.00108552748271591 0.000992848474507021
"EC" 0.000328469194493325 0.000303997610811795
"EE" 0.000322646124623387 0.000305940248654328
"EI" 0.00386309432740106 0.00322378364955097
"EN" 0 0
"EO" 0 0
"EP" 0.0215963226976302 0.0147202519771082
"EQ" 0.000335037581556256 0.000320024008097443
"ER" 0.0040459055335854 0.0026891869139456
"ES" 0.00754708073968907 0.00543334528536484
"ET" 0.0125220988869339 0.00860724054882032
"EU" 0.000534838222088153 0.000485225204150652
"EV" 0.0345781329947244 0.0214136210634641
"EW" 0.0129081479839537 0.00944094463550207
"EX" 0.0148865993234144 0.0106889772943104
"FA" 0.00797220473989291 0.00678976206884723
"FE" 6.48200428184364e-05 6.23847119128375e-05
"FF" 0.000332446147930255 0.00032272031042417
"FI" 0.00029916791084539 0.000261803569239911
"FS" 0 0
"FU" 1.78355854346152e-05 1.68745740668231e-05
"FY" 0.000186614353952727 0.000183591165848451
"GA" 7.31489658142953e-05 7.16362563055836e-05
"GC" 0.000453826856725899 0.000437695991463332
"GM" 3.24024927463975e-05 3.09703044507294e-05
"GU" 0.000614521553612041 0.000593400929957299
"GY" 0.00726782328315394 0.00662244570775277
"HA" 0.000773615569303893 0.000729805937348176
"HB" 0.000458698059594037 0.000429168894282301
"HE" 2.19419212491806e-05 2.12711817004145e-05
"HF" 0.000276859462078389 0.000236674384119401
"HI" 0.000345061228344009 0.000329742329700408
"HL" 0.00118197350928044 0.00109967168650644
"HQ" 0.00139661352444491 0.0011857709454217
"HT" 7.64954368195671e-05 7.38838474809806e-05
"HY" 2.49759287040849e-05 2.40652844726499e-05
"IA" 0.000318159227860014 0.000304943806869564
"ID" 0.00694814777914469 0.00589501688823402
"IF" 0.0219778452980158 0.0140486747587376
"IG" 0.00273719948553104 0.00237926832059253
"IH" 0.00387741099719758 0.00344358487873026
"II" 0.0105852511791973 0.00902342126039825
"IJ" 0.120282912458597 0.0643109801179206
"IK" 0.0774677996290495 0.0444060630721013
"IL" 0.000292761649142104 0.000232024463491081
"IM" 0.014403108150629 0.0119147291901427
"IO" 0.000348571474892921 0.0003099874004586
"IP" 0.000135109167247897 0.000122496289837999
"IQ" 0.0517447635901283 0.0363879616890532
"IU" 0.0187432040992717 0.0142440874079543
"IX" 0.000350884557178897 0.000328522557589424
"IY" 8.55308715436858e-05 8.31073110282731e-05
"JA" 0.00617602505710596 0.00557915459537932
"JB" 0.00221694436198242 0.00198805149098691
"JI" 0.019039840057397 0.0153087935479119
"JM" 7.61923338321391e-07 7.17847512785941e-07
"JO" 3.89781774468083e-05 3.7456743520061e-05
"JS" 3.65281129410604e-05 3.48318699549842e-05
"JU" 0.000164737091199652 0.00016135541713846
"JW" 0 0
"JY" 0.000906611821783929 0.000868256671526179
"KA" 0.000415716557702485 0.000401632061706305
"KI" 8.84415296135602e-05 8.66369930061337e-05
"KM" 0.000253738828430685 0.000242040550098072
"KU" 0.00052898549900267 0.000491274186487126
"KV" 0.000168433329691819 0.000161472124839437
"KY" 7.81849715561818e-05 7.64527574314554e-05
"LE" 0.000862547684941355 0.000823655402897588
"LI" 0.000255428770424916 0.000241077204396778
"LJ" 0.000244396414282478 0.000233265554116783
"LQ" 0.00061814523314321 0.000578157986672952
"MA" 0.000131125580692672 0.000127354052436577
"MC" 0.000381249416011816 0.000327391199972527
"ML" 0 0
"MM" 2.99215705800857e-05 2.91715803314176e-05
"MQ" 8.26325884414993e-05 7.6838059355489e-05
"MR" 2.68736602963821e-05 2.49084222701539e-05
"MU" 6.39012307946471e-05 6.24870474109327e-05
"MW" 8.83170021907356e-05 7.51872966285393e-05
"MY" 0.000204582151863413 0.000195968646415816
"NE" 0.0100326046006222 0.00925349596161312
"NI" 0.000180323956983456 0.00017554265037387
"NM" 0.00033151273726825 0.000281981354510983
"NN" 0.000177437511032479 0.000172703561888645
"NQ" 0.0109831638393932 0.0092248615217858
"NS" 0.0035826595190431 0.00285261872449939
"NU" 0.0049932455576797 0.004024373249266
"OA" 0.0090093820134588 0.00674230826677949
"OE" 0.000214243879187316 0.000205802665218965
"OI" 6.9482500269492e-05 6.60843456713882e-05
"OM" 0.000270026523982363 0.000261731646330338
"OO" 8.06103728232115e-06 7.67975248317981e-06
"OP" 7.88315549872829e-05 7.50089593477549e-05
"OR" 1.5888175501793e-05 1.55316892723766e-05
"OT" 6.26290938500234e-05 6.03932044799711e-05
"OU" 4.90636267713838e-05 4.59544190997003e-05
"OX" 0 0
"OY" 3.36543389954102e-05 3.28815201381849e-05
"OZ" 1.90105733859943e-05 1.7905610454045e-05
"PA" 3.35974486583581e-05 3.2713004852798e-05
"PC" 0.0533965165167336 0.0395785856340077
"PD" 1.15135082235232e-06 1.14169037043093e-06
"PE" 0.142125822555421 0.0778007310991802
"PF" 1.91891803725387e-06 1.91322650079828e-06
"PG" 0 0
"PH" 0 0
"PI" 0.000219734470480719 0.000212818947613332
"PJ" 0.000440511401980528 0.000403873199706665
"PK" 0.00285005415586471 0.00233256425792157
"PM" 0.0368918678841883 0.0291023849614635
"PN" 0.0125161165987765 0.0102460014399554
"PO" 0.00358989982865937 0.00264845248466387
"PQ" 0.000780292307988819 0.000723192652848902
"PS" 0.00273300786811896 0.002411961782378
"PT" 0.000864924118523204 0.000715911483565779
"PU" 0.00756898562037801 0.0060323642955298
"PW" 6.9986887615594e-05 6.63990077703846e-05
"PY" 0.00191770851170477 0.00181324488775403
"PZ" 0.00983823928157553 0.00803585904556223
"QA" 0.00031348800799528 0.000295209313991928
"QC" 0 0
"QD" 0 0
"QE" 0.000586125343715756 0.000525971044899979
"QF" 0.00128235613632142 0.000972563037841155
"QG" 0.00290009848250614 0.00234604004103538
"QH" 0.00196464444419977 0.00159955766759282
"QJ" 0.000416842589327722 0.000359302486343235
"QK" 0 0
"QQ" 0.000433780835058958 0.000416166229321011
"QU" 0.00024491067885182 0.000236768804182872
"RA" 7.12372561776307e-05 6.05374782532846e-05
"RB" 0.00530074345548546 0.00399437876849772
"RE" 0.000424229663704317 0.000399049345364767
"RO" 0.000403633023254969 0.00035685333379076
"RP" 1.67245680463706e-05 1.56659667726258e-05
"RQ" 4.98180644287064e-07 4.79751992751719e-07
"RT" 0.00133723242893283 0.00127621664252523
"RU" 0.00317535264678654 0.00300455307066215
"RX" 7.45607299513153e-05 7.0597221942392e-05
"RY" 0.00137026583059948 0.00120752161666004
"RZ" 0.000636332788179065 0.00060519650305754
"SA" 0.000226190165301198 0.000215822140378278
"SD" 0.000118841112737724 0.000116032888572444
"SI" 0.00051857214603986 0.0005007349665088
"SR" 0.000253677295803225 0.000225075562206422
"SU" 0.000472152055607334 0.000463188601150274
"SY" 0.00282104831513314 0.00238572797476683
"TA" 0 0
"TC" 0.00201856517085017 0.00196375163323279
"TD" 8.82417705963273e-05 8.59923491033457e-05
"TE" 9.44827268592877e-06 9.290630168991e-06
"TI" 5.8595532923288e-06 5.6581871509619e-06
"TM" 5.91474468306625e-05 5.67713868853327e-05
"TQ" 0.000226180808078529 0.000217508840160254
"TU" 0.000657063906854081 0.000615129905718187
"UA" 8.84076145515431e-05 8.5796116470721e-05
"UB" 0.00825927182571951 0.0064884093823818
"UE" 0.000492424938724731 0.000385954640747631
"UF" 0.00119178971275114 0.00104967306521426
"UH" 0.000473227482065192 0.000420897142628414
"UI" 0.00165258967061955 0.00146347292299219
"UK" 0.00321644643149216 0.00264976857956683
"UM" 0.00212352129459913 0.00199990230887757
"UN" 0.000343264318654315 0.000326570693925406
"UP" 9.53169009500879e-05 9.31224598396636e-05
"UQ" 0.00402517875156244 0.0034434637713189
"UR" 0.00130189211896053 0.00113395273466585
"UT" 3.45405246705697e-06 3.45064449917354e-06
"UU" 0.000306790390581959 0.000296205108338293
"UY" 0.0024312535102023 0.00215621084660582
"VE" 0.000475553285731462 0.000453754822295672
"VI" 0.00777111044964082 0.00724240912892551
"VJ" 0.0022580391917815 0.00205892195147424
"VM" 0.000344977339297473 0.000308540838505018
"VP" 7.55117434279623e-06 7.35142847267436e-06
"VS" 0.000267242119571744 0.000247035087423657
"VX" 0.00197166991799893 0.00185786305869586
"VY" 0.000656757241019251 0.000617312586014086
"WC" 0.0014952958743006 0.00141979672082457
"WE" 7.98326624506956e-05 7.75818379536538e-05
"WF" 1.37902570571405e-05 1.34994165863552e-05
"WH" 0.000222066413468355 0.000217465346300923
"WM" 0.00031918689745731 0.000293846995089893
"WQ" 0.00104046655723935 0.000976339715524449
"WU" 0.00354040196925721 0.00300988432380436
"WV" 0.000216979682852422 0.000203522223224761
"WY" 3.40904427269241e-05 3.25616889488906e-05
"XA" 0.000748965029190675 0.000701834172021626
"XE" 6.23113079601467e-05 5.9869861757548e-05
"XQ" 0.00027854421595379 0.000247998844131734
"XW" 0.00402498208355226 0.00385430263345556
"XY" 0.0180340665118615 0.0154995253794873
"YA" 0.00104699047927805 0.001018328199219
"YE" 0.0034592645906959 0.00267992174117074
"YG" 0 0
"YI" 1.50933385115095e-05 1.46271056786462e-05
"YO" 0.00060307025402923 0.00056056565503482
"YP" 2.85089443906377e-05 2.78330369104072e-05
"YQ" 0.0063198158384307 0.00512772374624838
"YR" 0.00453719107051406 0.00325486515056372
"YU" 2.5088556770853e-06 2.41039537441741e-06
"YY" 0.000364157517468628 0.000339435006088602
"ZA" 0.000139535693929673 0.000137038031538011
"ZC" 6.141369290223e-05 6.00670609321461e-05
"ZD" 0.000188244609728114 0.000182644262884486
"ZE" 1.73675473428145e-05 1.68862272638202e-05
"ZK" 5.99520912804712e-05 5.59906543200849e-05
"ZM" 0.000153496171790358 0.00014783412494939
"ZQ" 0.000764332078988162 0.00064657479474447
"ZR" 0.000992326091613366 0.000908631700196807
