"Q" "C"
"AA" 0.0143691047514933 0.0121406816379769
"AC" 0.00750952823672815 0.00636258753870884
"AD" 4.18287530848705e-06 4.08396629003011e-06
"AE" 0.00117375853675235 0.000951823648007705
"AF" 3.02096550057398e-05 2.87517529519566e-05
"AH" 4.72262773698568e-05 4.24952453358354e-05
"AI" 0.0031102537458436 0.00246618285883571
"AM" 0.000328030436700557 0.000296957005554697
"AQ" 2.71886895051659e-05 2.68629912096791e-05
"AY" 0.000165098341122787 0.000158271375887175
"AZ" 0 0
"BA" 0 0
"BD" 0.000364516850929611 0.000302563391073742
"BF" 2.74429585968125e-05 2.5143288306004e-05
"BI" 0.000180183001659702 0.000157605521278582
"BK" 0 0
"BM" 0 0
"BP" 8.23899681974723e-06 7.19009652442748e-06
"BQ" 0 0
"BU" 0.012075834431684 0.0110959605049149
"BV" 0 0
"CN" 0.000163790222925623 0.000158918975052215
"CO" 0.000362545415292132 0.000336177148431389
"CQ" 0.000586329583731882 0.000559254078962944
"CT" 0 0
"CU" 0.00209112303963166 0.00190574645613674
"DA" 0.000139347514669815 0.000131306790453705
"DB" 0.000873296786009885 0.000792152014259514
"DE" 0.000340523391873977 0.00032053703519844
"DI" 5.44936186317735e-05 5.3528590261476e-05
"DK" 5.8423257973618e-05 5.78143903511056e-05
"DM" 0.000178875209306028 0.000175491849855629
"DQ" 0.000107253527970045 0.00010617010623856
"DR" 0.000200901574204474 0.00019428930872662
"DS" 0 0
"DT" 0.00188047298271849 0.00153479596544038
"DW" 0.000320635585920547 0.000288795921453713
"DX" 1.81017360870542e-05 1.73073334199389e-05
"DY" 0.00071522238439252 0.000642154300985145
"EA" 0.000810071919656442 0.000736230403300649
"EC" 0.000125015916226018 0.000118460453893334
"EE" 1.01476447316578e-05 9.7788366093823e-06
"EI" 0.000275675840139376 0.000242360960680612
"EN" 0 0
"EO" 0 0
"EP" 0.00545118381581588 0.00470474617958833
"EQ" 0 0
"ER" 0.00068231545131361 0.000590136588139138
"ES" 0.00108720716508557 0.00093578099853963
"ET" 0.00164071448518935 0.00142699614840225
"EU" 1.18211693500721e-05 1.16320550434232e-05
"EV" 0.013708334074713 0.0104818452739237
"EW" 0.00285183467906124 0.002526304216304
"EX" 0.00206965011992319 0.00182322242849491
"FA" 0.00197965687231029 0.00152461064863611
"FE" 0 0
"FF" 0 0
