"Q" "C"
"AA" 0.00125864052924532 0.0011444586952856
"AC" 0.00317156670067205 0.00290505962822662
"AD" 0 0
"AE" 0.0016076059031008 0.0011077849290695
"AF" 0 0
"AH" 0.000224698428029462 0.000194887947152674
"AI" 0.000429206042947198 0.000362931533347935
"AM" 0.000244130420007642 0.000222202624951671
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 1.58187800556821e-05 1.56762292068986e-05
"BD" 0.000117923960072458 0.000105326991542632
"BF" 0.000352429116504543 0.000319192446926787
"BI" 0.000989342096251738 0.000834514374198406
"BK" 7.7426304745447e-05 6.2542457340555e-05
"BM" 0 0
"BP" 0.000192820697617542 0.000163141753612787
"BQ" 3.8938535521679e-06 3.71229184494589e-06
"BU" 0.00212746010680822 0.00201016303936367
"BV" 0 0
"CN" 1.58187800556821e-05 1.55100309104828e-05
"CO" 0.00149873463902752 0.00130930416863669
"CQ" 0.00179626242745901 0.001658001009816
"CT" 0 0
"CU" 0.000235165360615104 0.000213854574782908
"DA" 0.000463353144049569 0.000414157284973084
"DB" 0.00638727087776433 0.00538615143137296
"DE" 0.000733806878265126 0.000687246924586765
"DI" 0.000206545116992212 0.000204060530310958
"DK" 0.00012468920749773 0.000123623311955457
"DM" 0.000151752125935877 0.000147815898475757
"DQ" 1.99816169124406e-05 1.97664744104288e-05
"DR" 0.000102725079293621 9.75726952841084e-05
"DS" 2.8122275654546e-05 2.77153422149237e-05
"DT" 0.00977489595589399 0.0068588251177079
"DW" 0.0134088846102432 0.00960818566640645
"DX" 0.000283847195476226 0.000255810266667763
"DY" 0.0147989675119382 0.0105204994065785
"EA" 0.0060986665292128 0.00506569453224776
"EC" 0.00205611393302771 0.001696620513297
"EE" 0.00622759617656287 0.00536716389251499
"EI" 0.0656678329152297 0.0425323326614298
"EN" 0 0
"EO" 0 0
"EP" 0.00208440412821398 0.00194629828910726
"EQ" 0 0
"ER" 0.000172473443946042 0.00016197106616829
"ES" 0.000161377953392633 0.000151874109914493
"ET" 0.000448463503759294 0.000419234949089107
"EU" 1.48882635818185e-05 1.47325350682759e-05
"EV" 0.0102043527771754 0.00828071036704116
"EW" 0.000750110064549781 0.000710636116746872
"EX" 0.000852658357814587 0.000804019577897866
"FA" 0.00217746498626137 0.0017970218793481
"FE" 0 0
"FF" 0 0
"FI" 0.000490236104366956 0.000384457296784641
"FS" 0 0
"FU" 0 0
"FY" 0.000187122641503321 0.000184931311358482
"GA" 7.74964539398821e-05 7.60824640440906e-05
"GC" 0.0692496295214815 0.0478708121109787
"GM" 0 0
"GU" 0.000746114842936309 0.00066431580173611
"GY" 0.000706879875747979 0.000690191382402335
"HA" 7.22231170219021e-05 7.14450677708571e-05
"HB" 0.000205556919380202 0.000196776580460887
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 7.45476626489624e-05 7.35330128173463e-05
"HQ" 0.00327778902020501 0.00225015350862189
"HT" 9.53338296732374e-05 8.93268113428935e-05
"HY" 3.7139744478558e-05 3.57184725884666e-05
"IA" 2.94302884756876e-06 2.84127483912056e-06
"ID" 0.118488335305145 0.0657553258531313
"IF" 0.00309641896724141 0.00217924847520859
"IG" 0.000273554476464454 0.000245423771086141
"IH" 0.00753890830589407 0.0049388909816264
"II" 0.107543080342112 0.0596393455495036
"IJ" 0.000871180019515468 0.00080447117285186
"IK" 0.000503617055144508 0.000430449714722225
"IL" 0.000144525959849033 0.000117628858024675
"IM" 0.00456527187940744 0.00316437750125324
"IO" 0.00116995820736743 0.000930035623747705
"IP" 0.165405857836618 0.0808831501002685
"IQ" 0.00620917807234018 0.00553253658245294
"IU" 0.0100042901280257 0.00770047604593833
"IX" 0.00956480738176888 0.00700561285152867
"IY" 5.19759916115269e-05 4.9046381389982e-05
"JA" 0.0239716049644299 0.0165552513215808
"JB" 0.00110461265986088 0.000928066275142193
"JI" 3.57459943028317e-05 3.49904621287352e-05
"JM" 0 0
"JO" 0 0
"JS" 0 0
"JU" 5.77694424051428e-05 5.42904963624114e-05
"JW" 0 0
"JY" 0.0014315602156462 0.00127769802114838
"KA" 0.000321782384386238 0.000286929215131062
"KI" 0 0
"KM" 0.000224636649314233 0.00021137138282779
"KU" 0.000251013726416356 0.000229161769958026
"KV" 0.0019963112955855 0.00134596691166026
"KY" 0.0409744071819392 0.0269642262973804
"LE" 0.125338243532084 0.0773091852207256
"LI" 4.5196514444806e-06 4.40986548527342e-06
"LJ" 0 0
"LQ" 5.06200961781827e-05 5.00510763129754e-05
"MA" 2.78132396583422e-05 2.71515233551067e-05
"MC" 0 0
"ML" 0 0
"MM" 8.72760278934185e-06 8.6127558803982e-06
"MQ" 4.96275452727282e-06 4.69190150323872e-06
"MR" 0 0
"MU" 2.94302884756876e-06 2.7884180226759e-06
"MW" 2.8122275654546e-05 2.74763109130386e-05
"MY" 0 0
"NE" 0.000167132005859383 0.000159676348932033
"NI" 0.000173975547324176 0.000169249728938507
"NM" 0 0
"NN" 7.23144231116896e-05 7.03313546350235e-05
"NQ" 0 0
"NS" 0.00175460185295512 0.00123473794360642
"NU" 0.000127703026036559 0.000124536707466704
"OA" 0.00230895162726027 0.00184375875209671
"OE" 0.000167111214947206 0.000163834684599349
"OI" 7.23144231116896e-06 6.84802515742808e-06
"OM" 5.27292668522737e-05 5.22566774136996e-05
"OO" 0 0
"OP" 3.51528445681825e-06 3.31642741734961e-06
"OR" 0 0
"OT" 5.45139497303506e-05 5.42375834041934e-05
"OU" 0.00283072201909365 0.00206347088159866
"OX" 0 0
"OY" 1.58187800556821e-05 1.57574978902568e-05
"OZ" 0 0
"PA" 1.4061137827273e-05 1.39968585942141e-05
"PC" 0.000385136150931619 0.00037977505027168
"PD" 0 0
"PE" 0.00145534587813365 0.00137143225936534
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000709751094156444 0.000628020285505867
"PJ" 0.000157245405149249 0.000125533264410218
"PK" 0.000709405562266951 0.000538666911685912
"PM" 0.0143188706863115 0.0100972952686849
"PN" 0.00442490760779853 0.00416023800651689
"PO" 0.00363931279958592 0.00302564588988683
"PQ" 0.000155614902154448 0.000152407407588556
"PS" 0.000302494927087361 0.000294124219014475
"PT" 2.8122275654546e-05 2.68870982911371e-05
"PU" 0.0153511551073498 0.0122526486857912
"PW" 0 0
"PY" 1.48882635818185e-05 1.45533060159447e-05
"PZ" 0.00219668423435471 0.00174012698621112
"QA" 1.61201754123363e-05 1.51895257087574e-05
"QC" 0 0
"QD" 0 0
"QE" 0.000373778137990011 0.000316482377712169
"QF" 0.000871548842745601 0.000659710810000775
"QG" 0.000809841845134713 0.000604147381763938
"QH" 0.000392815984439764 0.000315921601489008
"QJ" 0.000174949304781774 0.000126204320845923
"QK" 0 0
"QQ" 0.00588833520847 0.00451201014601678
"QU" 0.00300387146908191 0.00280005912356177
"RA" 7.06388039453384e-05 5.83414894697979e-05
"RB" 0.000100473221202151 9.35814451514005e-05
"RE" 0.00322709504332891 0.00219845099966293
"RO" 0.000639204927439061 0.000535709361622205
"RP" 0 0
"RQ" 0 0
"RT" 0.000125693574485392 0.000124128252589442
"RU" 0.000117158708537772 0.000114930703191512
"RX" 1.58187800556821e-05 1.56381603993484e-05
"RY" 0.000790119440739889 0.000675182282302291
"RZ" 0 0
"SA" 0.000134588146486765 0.000127253771331982
"SD" 8.72760278934185e-06 8.61812391777209e-06
"SI" 0.00534454900117943 0.00428311027917868
"SR" 0.0015793060659448 0.00123087051768031
"SU" 3.16375601113642e-05 3.12991912630325e-05
"SY" 0.000675073213070497 0.000597498814032329
"TA" 1.48882635818185e-05 1.40099812032899e-05
"TC" 3.19034219610395e-05 3.16891971872371e-05
"TD" 0 0
"TE" 0.00519388339373391 0.00386487585622343
"TI" 8.67773077340276e-05 8.30772120994471e-05
"TM" 2.10917067409095e-05 2.04208323137599e-05
"TQ" 4.03651629007061e-05 3.97593257454074e-05
"TU" 0.000488234471421917 0.000452232834203763
"UA" 0 0
"UB" 0.00247358939679787 0.00189861865285625
"UE" 0.000438107744585287 0.000359170718788095
"UF" 0.00375227105602186 0.00322293504434238
"UH" 0.00319151847041143 0.00240945782750883
"UI" 0.00229578668606992 0.00198655526160936
"UK" 0.00180950317332188 0.00139619395578108
"UM" 6.51615834343377e-05 6.25830315312071e-05
"UN" 0.00142200496597685 0.00132308380718663
"UP" 0.000118773648865095 0.000114894928544669
"UQ" 4.67030649262995e-05 4.46769222149078e-05
"UR" 0.00306912854475807 0.00275455126423601
"UT" 0 0
"UU" 4.2183413481819e-05 4.17643523529425e-05
"UY" 0.00928806408468443 0.00719622305620315
"VE" 1.58187800556821e-05 1.56484075942557e-05
"VI" 6.48975592027984e-06 6.42646977716051e-06
"VJ" 5.74219193089832e-05 5.6756818253125e-05
"VM" 0.000107164480573297 0.00010399143803469
"VP" 0 0
"VS" 0 0
"VX" 5.71098520984626e-05 5.66830606017863e-05
"VY" 0.000587840164385003 0.000571517811383704
"WC" 1.29331564411291e-05 1.28289267830275e-05
"WE" 4.04851202117717e-05 3.97519410150171e-05
"WF" 3.16375601113642e-05 3.0937811906176e-05
"WH" 0 0
"WM" 0 0
"WQ" 0 0
"WU" 8.16453164164238e-06 7.96787370378705e-06
"WV" 0 0
"WY" 0 0
"XA" 2.8122275654546e-05 2.76425697733761e-05
"XE" 0.00145274254908356 0.00120897997035114
"XQ" 0.00261850669002072 0.00203778839710728
"XW" 1.70151583792211e-05 1.68591190537624e-05
"XY" 0.00101831489175662 0.000967056956096132
"YA" 4.61550163765302e-05 4.57110207586991e-05
"YE" 0.000567498198851034 0.000536869917117862
"YG" 0 0
"YI" 0 0
"YO" 0.000675604251979332 0.000589601119531807
"YP" 1.01240192356365e-05 9.95963679732176e-06
"YQ" 6.11951085902148e-05 5.90574375642257e-05
"YR" 0.000758876162870916 0.000692107465860092
"YU" 0 0
"YY" 5.53657301948874e-05 5.21818234660316e-05
"ZA" 6.24058862479516e-05 6.16907639363494e-05
"ZC" 7.11529428402588e-05 6.89536435743941e-05
"ZD" 2.1787037732368e-05 2.13935571032344e-05
"ZE" 4.44035931387568e-06 4.27669532759165e-06
"ZK" 0 0
"ZM" 1.01240192356365e-05 9.51519101259828e-06
"ZQ" 0.00589913942639471 0.00422216419390026
"ZR" 0.0115662057017558 0.00786364666575104
