"Q" "C"
"AA" 0.0216886396128767 0.0162040251163828
"AC" 0.0166683827180551 0.0127355837196079
"AD" 5.70486069262074e-05 5.58760533956263e-05
"AE" 0.00114652011736553 0.000960647750056762
"AF" 1.14214070169256e-05 1.1105607291123e-05
"AH" 0.000322767240287818 0.000300357139721364
"AI" 0.0107738268470122 0.00723743613265579
"AM" 0.000277643327736072 0.000266741794510178
"AQ" 1.06073048536443e-05 1.04840418532863e-05
"AY" 5.35876073191363e-05 5.09459297577028e-05
"AZ" 3.00485464316149e-06 2.92530578713466e-06
"BA" 2.8409078776959e-05 2.79632791379617e-05
"BD" 2.24085920218386e-05 2.16480533208249e-05
"BF" 4.09777885287299e-05 3.99387981013838e-05
"BI" 3.55461129495045e-05 3.43353448560885e-05
"BK" 1.23511114290862e-05 1.00274361544832e-05
"BM" 1.08435590785686e-06 1.06947165463686e-06
"BP" 2.5214086260481e-05 2.20985699409013e-05
"BQ" 7.78481924538148e-06 7.49146373982766e-06
"BU" 0.000724594325260689 0.000704829841836747
"BV" 2.2470141493812e-05 2.19854732114183e-05
"CN" 7.99533356631554e-05 7.80068863089308e-05
"CO" 0.000993130325575875 0.000885976272214548
"CQ" 0.0011368112684876 0.00106889910370182
"CT" 1.38553228105794e-05 1.30977883681856e-05
"CU" 0.00125381374482944 0.00116839812554142
"DA" 0.0020628543504714 0.00186554855928053
"DB" 0.00170293722527291 0.00153117734562486
"DE" 0.000313252263890469 0.000303063852325994
"DI" 0.000423649342832442 0.000411538979815202
"DK" 7.04882116961518e-05 6.9660002339547e-05
"DM" 0.000258304800830341 0.000251457983688673
"DQ" 0.000305294323532086 0.000300241280389398
"DR" 0.000434689847010847 0.000416016557283231
"DS" 0.000134231823306389 0.000131510264246599
"DT" 0.050166987530684 0.0287605323969921
"DW" 0.00169903444551036 0.00135387460351117
"DX" 0.000200324700756083 0.000185894075124522
"DY" 0.0039255001753641 0.00282641165520239
"EA" 0.00249521499896362 0.00213671839716295
"EC" 0.000429742349582428 0.000365942726819022
"EE" 0.000467678041775592 0.000422700976914227
"EI" 0.0109951840489102 0.00725617274151175
"EN" 0 0
"EO" 0 0
"EP" 0.00860503231155096 0.00702930462629861
"EQ" 1.09424853671196e-05 1.08251846357569e-05
"ER" 0.000781229692132109 0.000637372192432982
"ES" 0.00134023696262615 0.00109695242458003
"ET" 0.00174743527597119 0.00145557398773614
"EU" 1.81590696012774e-05 1.78206120116941e-05
"EV" 0.0134531352651048 0.00922588732798696
"EW" 0.00445393104896481 0.00377332898992325
"EX" 0.00323913557488244 0.00272364529878239
"FA" 0.00757980725630815 0.00560215322281365
"FE" 8.22805515066332e-06 8.1754227278648e-06
"FF" 5.39932896130109e-05 5.31638678632509e-05
"FI" 0.000732635949447588 0.000556741808220219
"FS" 0 0
"FU" 4.22779242587692e-06 4.1709783714349e-06
"FY" 0.000684854740253936 0.000673189636634895
"GA" 0.00014558633300458 0.00014298469306592
"GC" 0.00109690180996206 0.00103562675327183
"GM" 5.2987262536053e-06 5.22261331842041e-06
"GU" 0.000362850465566286 0.000349261240827425
"GY" 0.000380885402120747 0.000372638859782482
"HA" 0.000102948665310485 0.000101065718438493
"HB" 0.000289884144344846 0.000273494117622677
"HE" 6.93119804355917e-06 6.86625798359691e-06
"HF" 7.73479518567669e-06 7.56282048454352e-06
"HI" 2.04930984556233e-05 2.02870393544164e-05
"HL" 5.70693758987981e-05 5.57809921819899e-05
"HQ" 0.00367461027073871 0.00258271082723821
"HT" 5.04936311811729e-05 4.89028006014803e-05
"HY" 2.8574527821457e-05 2.76179486949972e-05
"IA" 0.000226158370158594 0.000218799945327143
"ID" 0.0254518223735682 0.0168871115211431
"IF" 0.0199497567716027 0.00923087416954563
"IG" 0.00521562998923349 0.00437733439672961
"IH" 0.00335651099702826 0.00271357202389881
"II" 0.0273431776043336 0.0185924467935096
"IJ" 0.0139741330142811 0.0110785598081095
"IK" 0.0324591168653399 0.0204877472581173
"IL" 0.000456487024336574 0.000321987416529514
"IM" 0.0225948815742074 0.0164607870033519
"IO" 0.00207738196683229 0.0017036939535097
"IP" 0.000562054613287207 0.000445883762139778
"IQ" 0.0335038754566141 0.0244149926223515
"IU" 0.191936050321012 0.0904812175555336
"IX" 0.0032945853495412 0.00288528497984666
"IY" 8.75188337591247e-05 8.49762552837251e-05
"JA" 0.00554220794207002 0.00474454423083906
"JB" 0.00039461167848501 0.000366153083153534
"JI" 0.000617486653994825 0.000581805602518756
"JM" 1.17906344167756e-06 1.16660388257197e-06
"JO" 5.08996528339573e-06 5.05598125446893e-06
"JS" 1.79230741656809e-06 1.7745439383293e-06
"JU" 0.000119693830493363 0.000116856566257823
"JW" 5.20841471481325e-06 5.17730964865411e-06
"JY" 0.00309116005020843 0.0028916660597862
"KA" 0.000481475045883101 0.000461808868877801
"KI" 0.000126596151649666 0.000124551534222052
"KM" 0.000172547323302346 0.000165188636283854
"KU" 5.64444395886323e-05 5.44960072271054e-05
"KV" 0.000250068984815948 0.000236156836826138
"KY" 0.000210488293842919 0.000201840183296625
"LE" 0.00363190459945277 0.00336474025205044
"LI" 3.83055140387688e-05 3.71881917863645e-05
"LJ" 1.96538933822904e-05 1.93811860548929e-05
"LQ" 1.29571435177773e-05 1.27563690378623e-05
"MA" 0.000157592288893852 0.000153719433476342
"MC" 0.000233574788588442 0.000206889075710935
"ML" 7.44059244973322e-07 7.32501688242418e-07
"MM" 1.63648298951246e-05 1.62526348097042e-05
"MQ" 6.3041948489603e-05 5.96540289776314e-05
"MR" 1.6345556817765e-06 1.61151913703067e-06
"MU" 9.80489719193014e-05 9.53530714194137e-05
"MW" 5.76517102213229e-06 5.61200678375655e-06
"MY" 1.44778109024909e-05 1.43197175738389e-05
"NE" 0.000679628791266341 0.000656958138361363
"NI" 0.000134106965928347 0.000131137815361211
"NM" 4.44247137439954e-06 4.3630984609348e-06
"NN" 9.866215202261e-05 9.68588827165073e-05
"NQ" 0.000157384479809548 0.000154132213683031
"NS" 0.00855284256571377 0.00522000615293884
"NU" 0.000139577204267262 0.00013246886632071
"OA" 0.0158707767517577 0.0102513825187222
"OE" 1.74630167376366e-05 1.7264167351723e-05
"OI" 3.68597898107469e-05 3.53419375611248e-05
"OM" 1.3858649942088e-05 1.37571704346584e-05
"OO" 2.6940076111103e-07 2.64909352860657e-07
"OP" 4.77494378709823e-05 4.56679163104549e-05
"OR" 1.51422438468363e-06 1.49873678057979e-06
"OT" 1.20056612977236e-05 1.18353863130169e-05
"OU" 0.000316074519268838 0.00028586153249673
"OX" 4.46435546983993e-07 4.43147694808694e-07
"OY" 1.26587122851331e-05 1.25311844723383e-05
"OZ" 8.36062757203285e-06 8.2063885716068e-06
"PA" 7.30547947606617e-06 7.24581395043586e-06
"PC" 0.000912066123194419 0.000877689448562293
"PD" 3.32452003073186e-07 3.30860945963069e-07
"PE" 0.00553569040957229 0.00462148163223432
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000304700684562618 0.000292299482406939
"PJ" 0.000720072414504671 0.000606769102660704
"PK" 0.00388331370985363 0.0025202075568171
"PM" 0.0836948558083605 0.0493763275266612
"PN" 0.0140992910095753 0.011693953554608
"PO" 0.00608176742995552 0.00395633687191464
"PQ" 0.00121162192765504 0.00113289734443306
"PS" 0.000117573964190223 0.000112762323176576
"PT" 0.000253375714920225 0.000230990640891788
"PU" 0.11094302792217 0.0559046562933015
"PW" 3.95440311464177e-05 3.77212248369755e-05
"PY" 0.000299340660672583 0.000290971514653491
"PZ" 0.0133320460780714 0.00865815306567554
"QA" 0.00017419230383766 0.000164934795403575
"QC" 7.30530895064716e-07 7.27722566563002e-07
"QD" 0 0
"QE" 0.00164637495830655 0.00135312761374001
"QF" 0.00674315090183534 0.00353441894943867
"QG" 0.00685423554748108 0.00432805406820434
"QH" 0.0102658847227245 0.00656509703840071
"QJ" 0.000477611466219696 0.000353707249190511
"QK" 0 0
"QQ" 0.00229572038278603 0.00213812856892917
"QU" 0.000345366068081577 0.000332487847469669
"RA" 0.000336554716089527 0.000254663495198073
"RB" 0.00645049029083841 0.00511055356223957
"RE" 0.000456196531156182 0.000403366384908472
"RO" 0.000868540748730062 0.000742089008377794
"RP" 1.88488750058727e-05 1.82803318030354e-05
"RQ" 7.01885864683077e-06 6.72939059380968e-06
"RT" 0.000468303049376484 0.000457748236533135
"RU" 0.00102236487485302 0.00099314643188453
"RX" 5.63055869304492e-05 5.46258213646796e-05
"RY" 0.00391225427710277 0.00312630400823695
"RZ" 2.03462642798095e-05 2.00460690937174e-05
"SA" 0.000228100546892744 0.00021916782091201
"SD" 4.18011069663441e-05 4.10204228866338e-05
"SI" 0.00187596541241939 0.00177286336908092
"SR" 0.000292148253992031 0.000259963327296167
"SU" 0.000131989815186227 0.000130224108835851
"SY" 0.00681084366168632 0.00527751491070691
"TA" 1.21284120688495e-05 1.1865294182723e-05
"TC" 0.00126102260940857 0.00123878834866742
"TD" 0.000127784434834955 0.000125405998719359
"TE" 1.70725685597922e-05 1.65816762845299e-05
"TI" 1.04461634157792e-05 1.01424934023417e-05
"TM" 4.8138865290579e-05 4.65749073295192e-05
"TQ" 5.78101989687603e-05 5.66185171888661e-05
"TU" 0.000781746535185423 0.000732751759618726
"UA" 8.53618053537971e-06 8.43052169917453e-06
"UB" 0.0231822044501488 0.0143280548336034
"UE" 0.000689736505247418 0.000567424728638741
"UF" 0.0149438106528979 0.0105936219310306
"UH" 0.00246478425054577 0.00189665419919891
"UI" 0.00929280171040588 0.00712707782210605
"UK" 0.0101896425344665 0.00664851731507387
"UM" 0.000518880939538849 0.0004970161461151
"UN" 0.00182568411185182 0.00161962862695787
"UP" 0.000140008995937473 0.000132589133808264
"UQ" 8.99928635533919e-05 8.6960973322646e-05
"UR" 0.00712715650128217 0.00550473058432817
"UT" 1.43350863710456e-07 1.43326320311135e-07
"UU" 1.68092154319182e-05 1.66802774645614e-05
"UY" 0.00632973115051693 0.00487485658358428
"VE" 5.75546985622546e-05 5.6592391081159e-05
"VI" 0.000204747956360568 0.000200319829413501
