"Q" "C"
"AA" 0.00392091604051121 0.00351200681726407
"AC" 0.00105869765247857 0.000974525583186143
"AD" 1.37052988311347e-05 1.34957743843726e-05
"AE" 0.000574311211456544 0.000479334463364185
"AF" 2.39320330262056e-05 2.30137984969608e-05
"AH" 0.00025392744891723 0.000232511848447489
"AI" 0.000377856083629087 0.000314883211055194
"AM" 0.000422349135690054 0.00038758584461575
"AQ" 6.00340487560782e-05 5.95683389288438e-05
"AY" 7.97734434206853e-06 7.760098615336e-06
"AZ" 0 0
"BA" 7.47876032068924e-06 7.43860016938338e-06
"BD" 4.76784460271358e-05 4.17332773666e-05
"BF" 0.000246935413432569 0.000214649496177424
"BI" 0.000784433586445013 0.000604857238014919
"BK" 0.000263667748838812 0.000195030865597125
"BM" 0 0
"BP" 0.000241857381723071 0.000198947474118054
"BQ" 2.251182399561e-05 2.13928683465749e-05
"BU" 0.00173758548047795 0.00161285784188531
"BV" 0 0
"CN" 3.77598947659974e-05 3.71913319541667e-05
"CO" 0.000204901050931026 0.000192934822702074
"CQ" 0.000192081022141605 0.000185854274091128
"CT" 0 0
"CU" 9.14780099516e-05 8.5772216397969e-05
"DA" 9.53737250179079e-05 9.09942420707232e-05
"DB" 0.000392691578102229 0.000363850401971591
"DE" 0.000213571013969641 0.000203680804610356
"DI" 1.75104513137441e-05 1.72855123741904e-05
"DK" 3.78146842188963e-05 3.75266126103115e-05
"DM" 7.86008192831081e-05 7.76750876056726e-05
"DQ" 5.66742100785418e-05 5.63327577271451e-05
"DR" 4.34992936481849e-05 4.25869316130691e-05
"DS" 1.08781968300934e-05 1.07864779478465e-05
"DT" 0.00104212692455144 0.000873660363975163
"DW" 0.000238074807439491 0.00021345032903189
"DX" 4.05762984630107e-05 3.91420969719648e-05
"DY" 0.000386648448817438 0.00033896696056186
"EA" 0.000533058165063334 0.000487062904560589
"EC" 0.000259747406785114 0.000242546183728741
"EE" 0.000124922991209316 0.000119991723451206
"EI" 0.00144327908742819 0.00122675405626454
"EN" 0 0
"EO" 1.19660165131028e-05 1.19180717582542e-05
"EP" 0.00149899064172183 0.00138925895381683
"EQ" 2.39320330262056e-05 2.38225998813136e-05
"ER" 7.64920053854437e-05 7.12523849140273e-05
"ES" 0.000131513129484186 0.00012335831579588
"ET" 0.000256222372684497 0.000239086343116617
"EU" 7.47876032068924e-06 7.39570570458138e-06
"EV" 0.0173198652520368 0.0139678734696048
"EW" 0.00117739488079953 0.00110308509722545
"EX" 0.000753013751246374 0.000705066037037067
"FA" 0.0310679105519323 0.0228473675330964
"FE" 4.43516532450825e-06 4.41659847250218e-06
"FF" 8.11719580416481e-05 8.06928531078504e-05
"FI" 0.000168777004167882 0.000151629326594536
"FS" 0 0
"FU" 3.62606561003115e-06 3.56103107045103e-06
"FY" 4.69894537915897e-05 4.66739471002139e-05
"GA" 4.60231404350107e-06 4.56376958345809e-06
"GC" 0.0542125433574881 0.0327422701329129
"GM" 7.47876032068924e-06 7.42636229862319e-06
"GU" 0.000829954340478423 0.000724852796758925
"GY" 0.000154968764484879 0.000151711168044856
"HA" 2.52915804328739e-05 2.50091529936296e-05
"HB" 4.98584021379283e-05 4.85291817448295e-05
"HE" 0 0
"HF" 7.47876032068924e-06 7.36816645778232e-06
"HI" 1.08781968300934e-05 1.08235554860657e-05
"HL" 1.12114028591233e-05 1.10718244065322e-05
"HQ" 0.000300974224430001 0.00026059667436967
"HT" 2.10380406623077e-05 1.98111274015579e-05
"HY" 0 0
"IA" 7.04414556997749e-06 6.92709190915249e-06
