"Q" "C"
"AA" 0.000612637840132864 0.000572004438038454
"AC" 0.000426290308780244 0.000405729280347961
"AD" 0.00140096735289735 0.00129086160364948
"AE" 0.00559708723526982 0.00370759539980277
"AF" 0.000613561459811041 0.000552800261766692
"AH" 0.00431030571698009 0.00329558498573146
"AI" 0.000204972622447087 0.000188461930661453
"AM" 0.00715299872763142 0.00569936212272915
"AQ" 0.000728706640004662 0.000688627859865117
"AY" 8.56818370397189e-05 7.45212079516529e-05
"AZ" 0.000125130188390003 0.000111815591477812
"BA" 4.81070106258951e-05 4.63168006609109e-05
"BD" 0.008542614800918 0.00598808265459096
"BF" 0.000444399489543617 0.000396638718069794
"BI" 0.000209214740393552 0.000188825961272515
"BK" 2.13447808217568e-05 1.69119837110815e-05
"BM" 0.000136377893582784 0.000128992714594259
"BP" 4.3486295805586e-05 3.81739918965903e-05
"BQ" 3.10729378893314e-05 2.87350300591961e-05
"BU" 0.00236013408436183 0.00228567401275477
"BV" 5.74842196057365e-05 5.43544394937309e-05
"CN" 0.000442439264429871 0.000406670128060011
"CO" 0.00467671011154052 0.00373924026691416
"CQ" 0.0114363378201948 0.0094041348284282
"CT" 4.37963500800131e-06 3.82088256922557e-06
"CU" 0.00506194760951079 0.00387138813241752
"DA" 0.00278579994976112 0.00227913718849705
"DB" 0.0212879124459534 0.0157878456751589
"DE" 0.0148668690298766 0.012239310375944
"DI" 0.00116286876112396 0.00113440962384105
"DK" 0.000351779638882799 0.000343068740842353
"DM" 0.00247526368045309 0.00225309635305866
"DQ" 0.000735157306381498 0.000703960721224055
"DR" 0.00202159858641982 0.00172837552500437
"DS" 0.000411825781222119 0.000388391826109386
"DT" 0.00211177454520461 0.00183609454631307
"DW" 0.00624030907396839 0.00476706465114774
"DX" 0.00127884113507527 0.00106615601300494
"DY" 0.0108732038630758 0.00875591434801653
"EA" 0.0143587471220875 0.0117057136210181
"EC" 0.00262783935957873 0.00233011265409037
"EE" 0.00166911784344966 0.00148910556643013
"EI" 0.0225274285277545 0.0178963215147315
"EN" 2.05036778358999e-06 1.95172765895442e-06
"EO" 1.54704640639652e-06 1.54156880084375e-06
"EP" 0.00108188661402827 0.00102718530493571
"EQ" 0.000182337491647418 0.000176387111919294
"ER" 8.26118803181168e-05 7.85730080414554e-05
"ES" 0.00012524408527649 0.000120678777137467
"ET" 0.000566729261539551 0.000535591115309308
"EU" 0.000185765763795645 0.000180431103710109
"EV" 0.00343013448165248 0.00284679503503969
"EW" 0.000623492170199564 0.000600869885810255
"EX" 0.000561444506649948 0.000538066647554333
"FA" 0.00243078981159978 0.00207519999186783
"FE" 2.13917193057249e-05 2.09524211475513e-05
"FF" 8.32537462917502e-05 8.02013756011161e-05
"FI" 0.000351359855736915 0.000302396587828125
"FS" 3.09518877739791e-06 2.9783235175083e-06
"FU" 0.000178499895447921 0.000167267441099983
"FY" 0.000329861857610035 0.000320403188522825
"GA" 0.00034806982372332 0.000327771887731381
"GC" 0.010902792812492 0.00924794824367822
"GM" 0.000237654279713384 0.000225298585033473
"GU" 0.046110335191455 0.0322510160802692
"GY" 0.00821033871940862 0.00772771804618849
"HA" 0.000170159677622224 0.000166382458786407
"HB" 0.000100507761892725 9.54025052696267e-05
"HE" 4.95816818945673e-06 4.84246454699159e-06
"HF" 0.000206313463665398 0.000195448735485761
"HI" 3.76862294992779e-05 3.70755227485106e-05
"HL" 0.000346268365635485 0.000324590873952272
"HQ" 0.00347254672638006 0.00280823635237722
"HT" 0.00245451578068235 0.00196639776956366
"HY" 0.000312626842752482 0.000274920194951978
"IA" 0.00260231012395287 0.00230613633516636
"ID" 0.0197754958629606 0.0144022566617279
"IF" 0.000912346804099044 0.00076434093660989
"IG" 0.000585020295503709 0.000518802706002127
"IH" 0.0673826251023697 0.0355807822235144
"II" 0.0227075503891108 0.0161003790298095
"IJ" 0.000720703110062485 0.000677046047810499
"IK" 0.00044800805521839 0.000410635724199578
"IL" 1.75344106993379e-05 1.46810871238757e-05
"IM" 0.0175217966436168 0.0112146657213572
"IO" 0.000851540588608654 0.00069128239466124
"IP" 0.000486592823733149 0.000377941836941501
"IQ" 0.00246348707011542 0.00231127581360566
"IU" 0.00349054397326737 0.00309764096522522
"IX" 0.00133894896392596 0.00115265068927284
"IY" 0.00205718479483919 0.00170506268299751
"JA" 0.217851686151695 0.105694525627945
"JB" 0.0115099113750088 0.00822688139547518
"JI" 0.000201566989769795 0.00019084263622028
"JM" 9.74779038726114e-06 9.30731147002422e-06
"JO" 4.33765653110146e-05 4.21667545929976e-05
"JS" 4.47531352665952e-06 4.4077867328308e-06
"JU" 0.00485133909747362 0.00399211752278278
"JW" 4.92782463017224e-07 4.80202320149329e-07
"JY" 0.00516673840635373 0.00439843535357416
"KA" 0.00673443993736033 0.00502811608223543
"KI" 0.000292596499099262 0.000277574551943779
"KM" 0.00419975747375714 0.00344552637959381
"KU" 0.00283545238442565 0.00238559090439974
