"Q" "C"
"AA" 0.000535081238144801 0.000513618450072954
"AC" 0.000228730634989313 0.000218737879759472
"AD" 0.000548675166803715 0.000527402475707192
"AE" 0.001602899236816 0.00129027077196224
"AF" 0.00597577203666056 0.00398405983970113
"AH" 0.00405134781528067 0.00348952572856515
"AI" 0.000167689309082652 0.000158650878236012
"AM" 0.00249638069589078 0.00220048753345323
"AQ" 6.70787388391327e-05 6.54402035389231e-05
"AY" 2.39117536870781e-05 2.25165465192929e-05
"AZ" 6.02019010394944e-06 5.73796138856384e-06
"BA" 1.69406022881527e-05 1.65573647943546e-05
"BD" 0.0070269297016751 0.00523463377932946
"BF" 0.00588957903009219 0.00521187956472978
"BI" 0.000659065650079196 0.000610533870345744
"BK" 0.000502588843491548 0.000370035811504879
"BM" 0.00278566996082512 0.0020608487443829
"BP" 0.00014919388409904 0.000134126202820864
"BQ" 0.00084129265033555 0.000691347593961383
"BU" 0.000508777643591803 0.000500972568601027
"BV" 0.000145058836363559 0.000137708918392613
"CN" 0.00050530643792527 0.000471808747087405
"CO" 0.000140503606087809 0.00013043603952914
"CQ" 0.000947733680859457 0.000888130562984105
"CT" 0 0
"CU" 0.00357909980080412 0.0031360951896565
"DA" 0.000180479222486151 0.000169349344493844
"DB" 0.0020824656620549 0.00185314386810521
"DE" 0.00244372885218288 0.00222325160169925
"DI" 0.0178464202991249 0.0149572751415775
"DK" 0.00637166679294157 0.00493060590698024
"DM" 0.000242802489879076 0.000234557144139582
"DQ" 0.000130690802474147 0.000128230108399931
"DR" 0.000183124845800103 0.000174303005482698
"DS" 7.26102874687657e-05 7.04419328539263e-05
"DT" 0.0032366157547591 0.00294069085569305
"DW" 0.000296036376284282 0.000267476289138685
"DX" 0.000174683261729249 0.000165043054485431
"DY" 0.000480317258014698 0.00044786768594771
"EA" 0.000358760280991628 0.000332709785188632
"EC" 7.42175500100383e-05 7.15926644648404e-05
"EE" 3.28725369539888e-05 3.18494706887111e-05
"EI" 0.000493899661360452 0.000454940236946577
"EN" 0.000133085080187271 0.000106471421181956
"EO" 1.17034623523023e-06 1.16327278846259e-06
"EP" 0.00133209984527026 0.00125867746950966
"EQ" 0.000892350493653472 0.000847003148298085
"ER" 0.000218430619458194 0.000204074235499222
"ES" 0.000268311732412309 0.000257563753085737
"ET" 0.00208373067514845 0.00193854792086377
"EU" 0.00343088120492258 0.00306298002463967
"EV" 0.00217287956271712 0.00189655863898631
"EW" 0.000944980416149151 0.000900825011862576
"EX" 0.00116234062828637 0.00110493160168523
"FA" 0.00308724287209278 0.00279900292563828
"FE" 0.000728420455175249 0.000679954123551724
"FF" 4.37908811590323e-05 4.26663755902357e-05
"FI" 1.99844495432788e-05 1.91148346463687e-05
"FS" 2.08614451062153e-05 1.97980908745472e-05
"FU" 0.00278013773339487 0.00218223337761022
"FY" 3.80904065294388e-05 3.76012492544907e-05
"GA" 2.52625266689235e-05 2.46790006535794e-05
"GC" 0.00137186736864276 0.00126046542123707
"GM" 0.000161259733347319 0.000152941783872973
"GU" 0.0477363359001547 0.0356257555841198
"GY" 0.113471028460775 0.0751410730649719
"HA" 0.00388481235020353 0.00360858821763561
"HB" 0.000195038134412349 0.00018596307059426
"HE" 3.08112178155185e-05 2.98500964425654e-05
"HF" 0.00261011686083418 0.00221961925578271
"HI" 0.000281756900804939 0.000267980926036041
"HL" 0.000813137027543226 0.00074226614423059
"HQ" 0.000628064106092505 0.000568738151922102
"HT" 0.00151959098273446 0.00130003701830552
"HY" 3.33880531374127e-05 3.18912069850614e-05
"IA" 0.000207595954479746 0.000197533751858923
"ID" 0.0418928496494987 0.0341112479528171
"IF" 0.000601092794956673 0.000537913451573206
"IG" 4.54518266695651e-05 4.33637911777245e-05
"IH" 0.0103952378586906 0.00750864415116722
"II" 0.00327072894597202 0.00278408158333795
"IJ" 0.00157499373075791 0.00140885780423175
"IK" 0.000509055847416351 0.000473569145928433
"IL" 3.91004756129226e-05 3.49511668105283e-05
"IM" 0.00724469176160638 0.00563931039940003
"IO" 0.000272299396994277 0.000241517284908141
"IP" 0.000328520905419822 0.000284115017327782
"IQ" 0.00289159861401736 0.00275893659198802
"IU" 0.00105111499500413 0.000976863181110729
"IX" 0.000367309706004948 0.000337883122338071
"IY" 0.000440480184745534 0.000389176315165249
"JA" 0.0952481019317171 0.063026468142423
"JB" 0.160712232574613 0.0820660906314391
"JI" 0.000527586527698729 0.000479525183460339
"JM" 0.000748244466995963 0.00063195055532642
"JO" 0.0003123013058685 0.000289961704158966
"JS" 0.000107715932108764 9.99740123001923e-05
"JU" 0.00562491581327714 0.00495976669803728
"JW" 7.50003519062788e-06 7.04910455616675e-06
"JY" 0.00113724639243051 0.00106441380021546
"KA" 0.00662752445247078 0.00524170482922002
"KI" 4.29141456012174e-05 4.20220899989022e-05
"KM" 0.00118583769303643 0.00108639924740581
"KU" 0.0549433599409646 0.0344479780301399
"KV" 0.00907143606168495 0.00721030284202767
"KY" 0.000547649088478011 0.000495193266858115
"LE" 0.0109584150845664 0.00908117143615193
"LI" 0.000139939541936152 0.000132033249767999
"LJ" 0.000459781193980473 0.000435207202210719
"LQ" 0.000942638563860816 0.000838508178423902
"MA" 5.55286939036251e-05 5.38246793626318e-05
"MC" 7.77782590633819e-05 7.02375831495167e-05
"ML" 0 0
"MM" 0.00193027157666182 0.00170553911958497
"MQ" 0.00202814824670692 0.00176273049173151
"MR" 0.00073510627349136 0.000538376461041687
"MU" 0.000409424152095038 0.000382059147804836
"MW" 0.00247216154499839 0.00189151990602891
"MY" 0.000475623624489817 0.000451989495154365
"NE" 0.00910209341911853 0.00791815601317666
"NI" 0.000292236406329143 0.000281798863642662
"NM" 0.00117515187897477 0.000867054311931994
"NN" 0.000318749119173655 0.000305185375571015
"NQ" 0.0014466750506712 0.001301337792288
"NS" 6.82280529938867e-05 6.41043755201637e-05
"NU" 0.00184888192881036 0.00166733696660006
"OA" 0.000133417715989847 0.000124888873821529
"OE" 0.00950421245942317 0.00755737779042025
"OI" 0.000142874775987061 0.000134358992461855
"OM" 0.00601263831362104 0.00540904207120816
"OO" 6.83202807780009e-05 6.32159928121097e-05
"OP" 0.000138291360015281 0.000128746415868081
"OR" 0.000149505818347883 0.000136922395718568
"OT" 0.000118931562796621 0.000115511202481739
"OU" 0.00107149974635128 0.000774038882657839
"OX" 6.24337649800387e-05 6.05062151317804e-05
"OY" 8.49827399609432e-05 8.31610893885429e-05
"OZ" 0.00018742520797576 0.000148970389695198
"PA" 0.000349040402529641 0.000334424006756782
"PC" 0.0182319514090954 0.0152167506454753
"PD" 1.783616062105e-05 1.74000749188323e-05
"PE" 0.00592470058779206 0.00528667394992754
"PF" 4.6556107524175e-05 4.58422843316447e-05
