"Q" "C"
"AA" 2.29885057471264e-05 2.23296455095169e-05
"AC" 0.000184590032460215 0.000182116613211275
"AD" 0 0
"AE" 0 0
"AF" 1.98176773682124e-05 1.6475236642204e-05
"AH" 0.000197607778743681 0.000188540733009941
"AI" 0 0
"AM" 0 0
"AQ" 0.000194512573932041 0.000184430492835184
"AY" 0 0
"AZ" 0 0
"BA" 0.000168930291853967 0.000155568296891021
"BD" 9.57854406130268e-05 9.1024002651598e-05
"BF" 0.0346806741848095 0.0287102414587104
"BI" 0.000575594524964654 0.000537384893026794
"BK" 0 0
"BM" 0.0169754653133975 0.0122427115972497
"BP" 0.000306513409961686 0.00028074870103247
"BQ" 0.00694071866915786 0.00478208484142606
"BU" 0.000383141762452107 0.000382089734020641
"BV" 0.000231520361339186 0.000194208455334491
"CN" 0.000674855017880352 0.000578348375614347
"CO" 0.000197401299350325 0.000188470461642972
"CQ" 0.000548195812909884 0.00051844020077573
"CT" 0 0
"CU" 0.000324204867824452 0.000288674243476639
"DA" 6.1576354679803e-05 5.85987404255679e-05
"DB" 0.000113205067265866 0.000107176685923388
"DE" 0.000136469533021257 0.000132708309485332
"DI" 0.00275385516100187 0.00241268266876922
"DK" 0.00038234120964933 0.000338659199827547
"DM" 0.00359916383351015 0.00333900125722567
"DQ" 0.000807019474404651 0.000764103361856106
"DR" 0.000165242349906597 0.000156472816894542
"DS" 0.000217278665554528 0.000198096300655727
"DT" 3.38066260987153e-05 3.34770131739511e-05
"DW" 0 0
"DX" 3.98069363586605e-05 3.76870208828441e-05
"DY" 0.00020424311653697 0.000200848152134578
"EA" 0 0
"EC" 0 0
"EE" 4.41445943694819e-05 4.3592578495255e-05
"EI" 0 0
"EN" 0.000374529121993625 0.000243981474304633
"EO" 0 0
"EP" 0.000215602764094143 0.000208709800599706
"EQ" 0.0173976942182384 0.0128850462121008
"ER" 7.07226315897721e-05 6.60239931373383e-05
"ES" 0.000129165215372112 0.000126996590668668
"ET" 0.000227429676664413 0.000217218024435045
"EU" 0.0142123047221933 0.0107916977910851
"EV" 0.000267313822080556 0.000248807747137764
"EW" 0.000147704332910117 0.000143989049245674
"EX" 0.000147704332910117 0.000143542422420683
"FA" 7.4857529218584e-05 7.33292210956899e-05
"FE" 0.00332989352714287 0.00250501581285186
"FF" 0.000158089736017707 0.000143833430638115
"FI" 5.74712643678161e-05 5.68939339972793e-05
"FS" 0 0
"FU" 0.0632249102340932 0.0389179336447663
"FY" 0.000427723811035815 0.00041505631265889
"GA" 0.000499213993581155 0.000475302203373083
"GC" 0 0
"GM" 0.00377134370985871 0.00295354249223873
"GU" 0.00070062065498171 0.000661496272106402
"GY" 0.0147001188529783 0.0119170757154509
"HA" 0.0466546662708271 0.0368853049308497
"HB" 0.000452931756399216 0.000396716701035367
"HE" 0.000607323147891099 0.000512736600972792
"HF" 0.0034449785742161 0.00273120211136974
"HI" 0.0123792080443093 0.00955686403428417
"HL" 0.0044033153910275 0.00336806449632663
"HQ" 9.57854406130268e-05 9.46471366117422e-05
"HT" 0.00020324237312758 0.000191961741469285
"HY" 0 0
"IA" 0.00230502129170893 0.00208623555769425
"ID" 0 0
"IF" 1.7415534656914e-05 1.69269477618265e-05
"IG" 1.98176773682124e-05 1.87774881022751e-05
"IH" 4.10509031198686e-05 3.91568021197739e-05
"II" 0 0
