"Q" "C"
"AA" 0.000262786360976791 0.000252954900990569
"AC" 0.000242957730616423 0.000235776162463691
"AD" 0.00189276070730247 0.00172783313557531
"AE" 0.00522841824693662 0.00394162081398932
"AF" 0.00119264403256847 0.00106878628202186
"AH" 0.00752507780011053 0.00527026442699494
"AI" 7.53645522149676e-05 7.18907923556507e-05
"AM" 0.0266912310661296 0.016540949982224
"AQ" 9.45332796980374e-05 9.11031991520779e-05
"AY" 3.9220886748839e-05 3.33920343500654e-05
"AZ" 0 0
"BA" 5.55807806790945e-06 5.43789539217001e-06
"BD" 0.0228825068491712 0.0114827946513007
"BF" 0.000772585526139803 0.000669929933360898
"BI" 0.000364501206289674 0.0003302445097514
"BK" 2.22814649062801e-05 1.91428953536055e-05
"BM" 0.0002403849928511 0.000227906598646543
"BP" 3.69749635022321e-05 3.38292886907108e-05
"BQ" 3.57297666809026e-05 3.29446055381149e-05
"BU" 0.000780475758785504 0.000765661306817416
"BV" 2.23529855240198e-05 2.12121256249877e-05
"CN" 0.000234018603479289 0.000209716512264909
"CO" 0.00133873798162059 0.00109640019984761
"CQ" 0.0143899832916367 0.0113627426515324
"CT" 0 0
"CU" 0.00707440822183512 0.00495039595403365
"DA" 0.00127409675504399 0.00103762023773107
"DB" 0.0108863489676222 0.00805501674398049
"DE" 0.0944106427199005 0.058072842298087
"DI" 0.00149327303717903 0.00145894017860575
"DK" 0.000300864159342732 0.00029326814459575
"DM" 0.000112996769241103 0.000104268437481682
"DQ" 2.71071689790605e-05 2.63272775341275e-05
"DR" 0.00246306540818976 0.00204072281533797
"DS" 1.841903695904e-05 1.77602795357011e-05
"DT" 0.000603809848183355 0.000568977572051142
"DW" 0.00274072756309259 0.00227591856434851
"DX" 0.000669295262426922 0.000559468843544483
"DY" 0.00151408958269619 0.00136088012668737
"EA" 0.00185865445180556 0.00165250896808946
"EC" 0.000183959737276929 0.000174031824304708
"EE" 0.00111251349107659 0.00102925863595963
"EI" 0.00146839736163103 0.00133904393737571
"EN" 4.47743417947884e-07 4.27983306593245e-07
"EO" 0 0
"EP" 0.000630831811095596 0.000607215097635305
"EQ" 6.25822329033266e-05 6.15716270254983e-05
"ER" 6.87887256894091e-05 6.63249576155049e-05
"ES" 5.0545519840566e-05 4.92802071663275e-05
"ET" 0.000397907875689818 0.000380416498958963
"EU" 0.000111985146149722 0.000109655285367603
"EV" 0.00218828492530326 0.00190951351136579
"EW" 0.00033470987982393 0.000325719683232472
