"Q" "C"
"AA" 0.0012495212586291 0.00114925598022672
"AC" 2.53886414022062e-05 2.51008585180905e-05
"AD" 0.000120188522044782 0.000109364434923858
"AE" 5.23768429242845e-06 4.87702017411489e-06
"AF" 0 0
"AH" 0.000133138689304508 0.000118077617935814
"AI" 3.31865996752111e-06 3.27395225538796e-06
"AM" 6.47757739059536e-06 6.05247361373342e-06
"AQ" 0.0014732190931744 0.00118535491521149
"AY" 0.000692002286952901 0.000456714155631276
"AZ" 2.32200790440195e-05 1.77059979654891e-05
"BA" 0.00225644974500378 0.00181501430439419
"BD" 5.0470815008597e-06 4.86909443700718e-06
"BF" 6.88858313280987e-05 6.32219648114398e-05
"BI" 1.31327786468345e-06 1.29461477553662e-06
"BK" 2.35695261739588e-06 2.3164619979701e-06
"BM" 0 0
"BP" 6.80897422803255e-07 6.64523336939571e-07
"BQ" 7.4832929317749e-07 6.98828480209588e-07
"BU" 2.52717981876855e-06 2.5244277903277e-06
"BV" 0.000127951020785134 0.00011055627728508
"CN" 0.000310697322233423 0.000263227762832684
"CO" 0.00218558822641394 0.00166337050155446
"CQ" 0.0311099509109369 0.0209263955340673
"CT" 0.000140850782154918 9.15840488946638e-05
"CU" 0.00236850942641813 0.00148269727330232
"DA" 0.00367006069534475 0.00254403773805639
"DB" 0.00431902278835882 0.0031262166635206
"DE" 0.0002895800869383 0.000251589085500262
"DI" 8.02019899712398e-06 7.9808785669179e-06
"DK" 1.75489026495684e-07 1.75032483598442e-07
"DM" 0.0605319074212878 0.0378195850022416
"DQ" 0.00600898912351407 0.00470625337650091
"DR" 0.0219339283112544 0.0143207647204121
"DS" 0.00292257921970789 0.00200848447189287
"DT" 8.237794934869e-06 8.17215863830377e-06
"DW" 0.000246487010469837 0.000218714953155821
"DX" 0.00100565174345396 0.000727403004411889
"DY" 0.000608846711419305 0.000560774914518354
"EA" 0.00053151974156956 0.000487863759401533
"EC" 3.34490114416431e-05 3.2210331940601e-05
"EE" 0.000166479364397683 0.00015405787594565
"EI" 6.86136104090064e-05 6.61083607290572e-05
"EN" 0 0
"EO" 1.70224355700814e-06 1.69673822176038e-06
"EP" 7.95217343589817e-05 7.73093296925066e-05
"EQ" 0.000503934894444883 0.000455078744127163
"ER" 8.31842881664547e-06 7.99104094230965e-06
"ES" 6.41968434884204e-06 6.34529473593886e-06
"ET" 7.92354747329467e-05 7.64520836398811e-05
"EU" 1.9134537339395e-05 1.84966664241941e-05
"EV" 0.000362922052108486 0.000323240605120399
"EW" 4.40785374409171e-05 4.34502661395094e-05
"EX" 5.43854067316743e-05 5.32124674712231e-05
"FA" 2.22793541763891e-06 2.20849432885077e-06
"FE" 1.68579675935588e-06 1.62676366571649e-06
"FF" 0.000722700981367998 0.000535283268579626
"FI" 1.17436202065651e-05 1.10469684278609e-05
"FS" 0 0
"FU" 8.1182725914533e-06 7.64310703696507e-06
"FY" 0.000522902035287891 0.000465642981260298
"GA" 0.00212197897477936 0.00163109248842732
