"Q" "C"
"AA" 0.00115173548814636 0.00107944568371965
"AC" 4.23979778481653e-05 4.14528376777063e-05
"AD" 0.0053452403537935 0.00439278537375141
"AE" 0.000100494494089604 8.18750075437615e-05
"AF" 9.11398090534903e-06 8.78017681398601e-06
"AH" 0.000964334302352592 0.000720264140446844
"AI" 2.12890496350036e-05 2.07506807018138e-05
"AM" 0.00930795107945738 0.0070644175460289
"AQ" 0.000681894289607285 0.00057119390795388
"AY" 0.00132288258583071 0.000662187866713331
"AZ" 0.000355295270580828 0.000233660049256809
"BA" 0.000221216990012142 0.000192398849843103
"BD" 0.00343539003738184 0.00279491208228858
"BF" 0.00111761100075529 0.000949816378244892
"BI" 0.000113154950862029 0.000107914281862682
"BK" 5.28364932769922e-07 5.08199712863479e-07
"BM" 5.97821369056297e-06 5.87311684011767e-06
"BP" 5.05407144130779e-07 4.80146837415508e-07
"BQ" 1.27897919001131e-05 1.14411893470505e-05
"BU" 9.64204615050698e-05 9.60486764097663e-05
"BV" 0.000202077086277798 0.000168372140403227
"CN" 0.00288631248293935 0.00226212039005004
"CO" 0.0159379840484489 0.00857443687222464
"CQ" 0.148324377752137 0.0554694397144297
"CT" 0.000385689953314525 0.000195214815522346
"CU" 0.0153988637058925 0.00535768820892343
"DA" 0.00838773770980336 0.00351701711615948
"DB" 0.0426478849371719 0.0197824425519028
"DE" 0.0286936549363935 0.0180986539364867
"DI" 2.87513463533363e-05 2.85305124285335e-05
"DK" 1.37436872128013e-05 1.36630330108045e-05
"DM" 0.0388892655846647 0.0243712573737329
"DQ" 0.00574936844037763 0.00483173950527347
"DR" 0.0640743740199545 0.0253214494006983
"DS" 0.000621073269036995 0.000506688843892391
"DT" 6.90674890379013e-06 6.7571682335402e-06
"DW" 0.0008053120835185 0.00063263103184512
"DX" 0.00120333515009235 0.000691134859451519
"DY" 0.00140716114262464 0.00119472643850323
"EA" 0.00125458464454942 0.00104789065856674
"EC" 0.000178808540456563 0.000165365348272121
"EE" 0.00038996377776354 0.000335552481832641
"EI" 0.000266641885566775 0.000245325588920677
"EN" 6.38105527339689e-07 6.16107847933177e-07
"EO" 1.33411302359636e-06 1.32797287693114e-06
"EP" 0.000280240373517927 0.000267287330720804
"EQ" 0.000705794718459624 0.00064473233357456
"ER" 9.76166148268839e-06 9.21178558014339e-06
"ES" 3.36109976292013e-05 3.28661214212365e-05
"ET" 0.000165474567923001 0.000155156058608292
"EU" 0.000130582811910379 0.000126853563494378
"EV" 0.00577574350616603 0.00461584780016729
"EW" 7.56927266631521e-05 7.36949734323865e-05
"EX" 0.000187394343211795 0.000180359836986479
"FA" 4.32306821735326e-06 4.24535515873661e-06
"FE" 1.41917477182858e-05 1.3749980368592e-05
"FF" 3.54307439292495e-05 3.18726047170293e-05
"FI" 0.000141735033435176 0.000123773454817965
"FS" 9.27077641611466e-07 8.16528611367103e-07
"FU" 9.65182855076114e-05 9.14940255800534e-05
"FY" 0.000959227843449593 0.000876556946757857
"GA" 0.00227689280250343 0.00179964481397303
"GC" 9.90261991477801e-05 9.72453632694276e-05
"GM" 0.000485569336765773 0.000423527696258189
"GU" 0.0272128394294716 0.0209104517624288
"GY" 0.000178488403790903 0.000175386647740988
"HA" 0.000101738250325393 9.92986419750353e-05
"HB" 0.000107006044650075 9.98328567866613e-05
"HE" 0.000205407125798478 0.000188816963433941
"HF" 0.000384952944771971 0.000356977492241888
"HI" 8.99238150457787e-05 8.66274964497643e-05
"HL" 0.00050971131731044 0.000448213013676352
"HQ" 3.6466770695285e-05 3.4019600256908e-05
"HT" 0.0335748980720136 0.0190262493868627
"HY" 0.018204238151478 0.00869171516084782
"IA" 0.0142589076135973 0.00846233398717858
"ID" 9.43267995021736e-05 8.83938371734717e-05
"IF" 2.00079921849101e-05 1.8962802272663e-05
"IG" 0.000347896707883162 0.000262983361144578
"IH" 0.000173822668432202 0.000158617505001124
"II" 7.04818389880215e-05 6.51169050190739e-05
"IJ" 5.37605153491691e-06 5.2549641930454e-06
"IK" 8.52738468832606e-06 8.34404839744751e-06
"IL" 2.75842557394703e-07 2.68448220408693e-07
"IM" 2.48597611097106e-05 2.3487635550657e-05
"IO" 1.54872236530058e-06 1.51580738806046e-06
"IP" 3.50230163693136e-06 3.39474821134739e-06
"IQ" 0.000129439979706803 0.000126599994171058
"IU" 2.09243920353235e-05 2.04554598724635e-05
"IX" 6.61889384533015e-07 6.53477259787981e-07
"IY" 0.00286725414573076 0.0020445522793673
"JA" 0.0031167612591772 0.00270338547810244
"JB" 6.49108355620737e-05 6.10347720570449e-05
"JI" 2.48895593710837e-06 2.36594119377689e-06
"JM" 9.73369239302907e-06 9.26245265540209e-06
"JO" 4.90389009446087e-05 4.69608390556115e-05
"JS" 2.48114782303597e-06 2.43793360043696e-06
"JU" 0.00193378489871759 0.00162378296420717
"JW" 0 0
"JY" 0.00245192341141742 0.00193369341430944
"KA" 0.00155889393302033 0.00131706030487052
"KI" 0.00438502019690768 0.00356342141167431
"KM" 0.207188642542392 0.0776377821071389
"KU" 4.37537350501781e-05 4.20548063404745e-05
"KV" 0.000674842210924516 0.000621266391191389
"KY" 9.94451847771225e-05 9.72230803344119e-05
"LE" 0.000693976282495903 0.000663320671500171
"LI" 0.0010594047298862 0.000716776315596888
"LJ" 0.000180101901343505 0.000158414073269891
"LQ" 0.000257701634937684 0.000232212767328881
"MA" 0.0121529068089329 0.00788603910887998
"MC" 0.00488306756063451 0.00226328705991337
"ML" 1.23837032728876e-05 1.07425473334632e-05
"MM" 1.31550468188949e-05 1.30032794644524e-05
"MQ" 0.000286018943700359 0.000243700141409941
"MR" 3.75404886652165e-06 3.68375733978093e-06
"MU" 0.0065226681743037 0.00473106739295153
"MW" 1.19495357434581e-06 1.1609288335299e-06
"MY" 0.000747169326298887 0.000683234938069225
"NE" 0.00720799200032925 0.00597862344219075
"NI" 0.0158555451249322 0.0107411268464308
"NM" 1.19201427340962e-06 1.17435885046207e-06
