"Q" "C"
"AA" 0.000309461635293706 0.00029839434637551
"AC" 0.000185897955672684 0.000177315698657925
"AD" 0.000248271638558319 0.000240957162796869
"AE" 0.000367360677888084 0.000321871782991059
"AF" 0.00172284757304159 0.00118203858606601
"AH" 0.00316735655827429 0.00282164870625068
"AI" 7.16204606291853e-05 6.83589778056217e-05
"AM" 0.00128669412162805 0.00116773947136854
"AQ" 4.26367888481958e-05 4.16434687803363e-05
"AY" 0 0
"AZ" 4.11837867668256e-06 3.95032371167476e-06
"BA" 2.80882026786299e-05 2.7425529554454e-05
"BD" 0.00458617060917051 0.00357302235265276
"BF" 0.0125356748914799 0.0107794751521369
"BI" 0.00142019763757893 0.00128883521023783
"BK" 0.0004812455859827 0.000346620908854207
"BM" 0.0101532805285592 0.00694947971153608
"BP" 0.000346972651335421 0.000310765706857268
"BQ" 0.00271269892389709 0.00210905958561577
"BU" 0.000480183103770361 0.000472648956399693
"BV" 0.000120380290701449 0.000114411130231317
"CN" 0.000363668553775669 0.000341279163177412
"CO" 0.000156057623509675 0.000148286761651059
"CQ" 0.000483746818865622 0.000461320230962468
"CT" 1.74583443902848e-06 1.68932689959675e-06
"CU" 0.00237763576797416 0.00213123513744538
"DA" 0.00022243792625697 0.000212772106909677
"DB" 0.000597378607571182 0.000553398113688447
"DE" 0.00196356083702724 0.00182573837358675
"DI" 0.00683252444427298 0.00578734954417896
"DK" 0.00297935377516887 0.00236620137108009
"DM" 0.000268904270785555 0.000260523062757592
"DQ" 0.000143750969975669 0.000140957426957161
"DR" 0.000174199412273265 0.000167840016934353
"DS" 7.6557538208619e-05 7.41684560625564e-05
"DT" 0.000227453410830468 0.000216960433728908
"DW" 9.78708321689798e-05 9.23974924866522e-05
"DX" 2.82483776197324e-05 2.71215803830078e-05
"DY" 0.000316989448892223 0.000305881912073466
"EA" 0.000270791756191594 0.000258154874233251
"EC" 5.01619821763886e-05 4.92645194396909e-05
"EE" 1.36838257691172e-05 1.34481539000689e-05
"EI" 0.000211458579188854 0.000203582832752706
"EN" 0.000330561229853042 0.000237337578268369
"EO" 1.91285423045972e-05 1.89697097397049e-05
"EP" 0.00245364454044818 0.00229039142518617
"EQ" 0.00118729416962615 0.00111569517020643
"ER" 0.000387944744584774 0.00035720686423026
"ES" 0.000723396483356815 0.000684418218739887
"ET" 0.00857005885558917 0.00782082219280268
"EU" 0.00361125741507552 0.00315484377511381
"EV" 0.00410647774519834 0.00360606907474407
"EW" 0.00336144923704505 0.00315499054308137
"EX" 0.00361090408018223 0.00337687308760874
"FA" 0.000788757376990677 0.000735935704308946
"FE" 0.00184605530125407 0.00169143198862331
"FF" 7.42124182269196e-05 7.19715041118848e-05
"FI" 7.62945990854426e-06 7.4644988931872e-06
"FS" 0 0
"FU" 0.0100528317210039 0.00741633811437209
"FY" 3.23221039085418e-05 3.19157965126448e-05
"GA" 3.78599955896877e-05 3.7056921740803e-05
"GC" 0.0021671291175544 0.00197838442688876
"GM" 0.000499965480613249 0.000470198028541215
"GU" 0.029174782681487 0.0227494630918141
"GY" 0.0671761216974219 0.0454793504425841
"HA" 0.0100027359162738 0.00908589083748237
"HB" 0.000378208090894609 0.000358210898680279
"HE" 6.06894718694095e-05 5.84180968221035e-05
"HF" 0.000991645882573157 0.000843848729596853
"HI" 0.000486974109999319 0.000457466097279645
"HL" 0.000912440439128941 0.000819876504602435
"HQ" 0.000159420854139321 0.000151868606061597
"HT" 0.00101498853137792 0.000887561757220279
"HY" 1.97414380502307e-05 1.90533238905394e-05
"IA" 0.000230454213003886 0.00022054940721605
"ID" 0.00302894032699452 0.00269659008604695
"IF" 0.000607648901558877 0.000561669022246263
"IG" 5.64933050287713e-05 5.43608732082613e-05
"IH" 0.0034754956004235 0.00279724559805179
"II" 0.000358676710670148 0.000329645898567813
"IJ" 0.0012351563141276 0.00110913895071285
"IK" 0.000196681201328701 0.000185391666029926
"IL" 7.58059008247836e-05 6.88716560471733e-05
"IM" 0.00575203751359518 0.00476715586169684
"IO" 0.000180132885449539 0.000161946180883639
"IP" 5.71474177540828e-05 5.14010227238611e-05
"IQ" 0.00192064505122829 0.00182474645435212
"IU" 0.000283150008107905 0.000271219765543793
"IX" 0.000503407500732761 0.000459521978741926
"IY" 0.00050960263652982 0.000459937590958848
"JA" 0.0348827101467137 0.0257321981582192
"JB" 0.107186986049546 0.0528841524907852
"JI" 0.000794363570968179 0.000708487409452109
"JM" 0.00490126178528512 0.00382971655230782
"JO" 0.000823233659898679 0.000745825595584654
"JS" 0.000231431702685706 0.000208802474904808
"JU" 0.000632067139586607 0.0005766429421012
"JW" 3.67579856038927e-05 3.37796551336167e-05
"JY" 0.000757932604974643 0.000724896981441217
"KA" 0.00383431981039566 0.00313476583206278
"KI" 6.73713624797619e-05 6.60292369036743e-05
