"Q" "C"
"AA" 0.000245945851062058 0.000232967647615226
"AC" 0.000267915374953353 0.000252867575793064
"AD" 0.000356759834198745 0.000341770684775273
"AE" 0.000518747040483611 0.000426121326374047
"AF" 0.000217369625356209 0.000201362663121995
"AH" 0.00166988459145283 0.00141799470261458
"AI" 0.000266784482777572 0.000241342591976444
"AM" 0.00215184026286774 0.0017951673967495
"AQ" 1.52208039143982e-05 1.49130865752491e-05
"AY" 0.000237767431983709 0.000218840816266642
"AZ" 0 0
"BA" 4.65731477859126e-06 4.5947438671626e-06
"BD" 0.0120146850751446 0.00807355286573031
"BF" 0.00962863592858326 0.00776295441384821
"BI" 0.00785616590094356 0.00586895170650797
"BK" 3.54904213496042e-05 2.91610154777538e-05
"BM" 0.000172795858346488 0.000163558480857155
"BP" 5.96959450704447e-05 5.04213877968964e-05
"BQ" 6.54982889161489e-05 6.00784901310439e-05
"BU" 0.00709487217711331 0.00652359686867131
"BV" 1.70806089901306e-05 1.64974458500206e-05
"CN" 0.000356745202898587 0.000334415815004807
"CO" 0.000639023134891232 0.000581596207329667
"CQ" 0.00516507563595212 0.00470110941568963
"CT" 0 0
"CU" 0.00596105760321328 0.00498025351066705
"DA" 0.000243395543313 0.000223026263032939
"DB" 0.00118215236633192 0.00103293984284917
"DE" 0.0135445681770661 0.0116457744252483
"DI" 0.00020023304587263 0.00019628654760358
"DK" 0.000106364337660077 0.000104392865498634
"DM" 9.08030499924854e-05 8.75544352353676e-05
"DQ" 8.8753539838177e-05 8.74241999007018e-05
"DR" 0.000151502340727493 0.000140863635604507
"DS" 1.47921286477194e-05 1.44891194108434e-05
"DT" 0.000172371349406068 0.000163004882694567
"DW" 0.000102720232643647 9.41154394793074e-05
"DX" 5.37295925025784e-05 5.01361541877485e-05
"DY" 0.000558346368704572 0.000524690170883154
"EA" 0.00119209920998873 0.00109646340641852
"EC" 0.000254149827497492 0.000245619531757635
"EE" 7.1905218832523e-05 6.9630616579404e-05
"EI" 0.000233074719241392 0.000218846287966263
"EN" 0 0
"EO" 5.68192402988133e-06 5.65200619570231e-06
"EP" 0.00393748921948382 0.00366868740153691
"EQ" 4.17802386424253e-05 4.12473757913152e-05
"ER" 0.000199862694605624 0.000186730356097563
"ES" 0.000592191032108513 0.000556566362875182
"ET" 0.00559363421996045 0.00519583510466399
"EU" 0.000105397488696931 0.000103212566388336
"EV" 0.00414393557509347 0.00355243837223611
"EW" 0.00271094054573115 0.00255777318054597
"EX" 0.0027788504252977 0.00260970762436999
"FA" 0.000384418883300336 0.000349131458517853
"FE" 6.03172931117562e-05 5.96547936249827e-05
"FF" 2.02522627493286e-05 2.00203281860417e-05
"FI" 7.39712796425422e-05 7.08412240552867e-05
"FS" 0 0
"FU" 0.000273492751466641 0.000261206611183883
"FY" 4.73899684003526e-05 4.68364303916709e-05
"GA" 5.15171070088101e-06 5.0303542627232e-06
"GC" 0.0392040668505993 0.0238071729407857
"GM" 6.52553156461978e-06 6.40175919707683e-06
"GU" 0.0700064330346653 0.0466167749397115
"GY" 0.0022879225808469 0.00218457936942294
"HA" 0.000185127470311812 0.00018230635647556
"HB" 3.04924835050408e-05 2.97687683828755e-05
"HE" 2.66132273062357e-06 2.62854644671614e-06
"HF" 2.16996832436353e-05 2.10194922803861e-05
"HI" 3.99892577316498e-05 3.96017703180599e-05
"HL" 5.89101223688893e-05 5.75738016626968e-05
"HQ" 0.000363096457616391 0.000338645649172219
"HT" 0.0136710789290366 0.0106806694576728
