"Q" "C"
"AA" 3.64061245553789e-05 3.50100239835023e-05
"AC" 6.57768174278279e-05 6.37525141315948e-05
"AD" 4.27885616824745e-05 4.18617995894144e-05
"AE" 0.000139606349947177 0.000120587966500463
"AF" 1.4624515562922e-05 1.40823706115082e-05
"AH" 0.000349684637330117 0.00031627004984056
"AI" 0.000214918717551877 0.0001935547334755
"AM" 0.000391612399424499 0.000350300189013017
"AQ" 1.36054221652184e-05 1.34646594732404e-05
"AY" 0.000457530675799338 0.00043774912454122
"AZ" 5.97579842848865e-06 5.83003584367013e-06
"BA" 1.60648087623007e-05 1.59636522873853e-05
"BD" 0.00272744175064093 0.00220017713209767
"BF" 0.0012219167833869 0.000996962556710966
"BI" 0.00120006893570637 0.000841173134951824
"BK" 0 0
"BM" 4.06830720870686e-05 3.96159023622131e-05
"BP" 2.10554063408345e-05 1.75344217321684e-05
"BQ" 2.7629283515651e-05 2.60221093719354e-05
"BU" 0.0099025796548196 0.00881135424966436
"BV" 1.49649648118564e-05 1.4736099433609e-05
"CN" 0.000104409137331552 0.000101408725590215
"CO" 0.000231578519817108 0.000218914121828234
"CQ" 0.00156126946443122 0.00148935747340743
"CT" 0 0
"CU" 0.00302125339071799 0.00273700520452952
"DA" 0.000138693083681064 0.000132169797549641
"DB" 0.000734695408918086 0.000678783789636105
"DE" 0.00424643793174806 0.0039124747625638
"DI" 3.75471067630117e-05 3.73116376881566e-05
"DK" 2.50886493163984e-05 2.49745319996993e-05
"DM" 0.000217420659626368 0.000213710331133623
"DQ" 0.000121017673223433 0.000120147354060936
"DR" 0.000188528720197398 0.000182092751315205
"DS" 4.14142120358053e-05 4.09919337629896e-05
"DT" 0.000263137245429205 0.00024781077629844
"DW" 0.000127835965276704 0.000119180187641937
"DX" 6.76930348995035e-05 6.51354933484942e-05
"DY" 0.00118086519794408 0.0011105209528322
"EA" 0.0014270528995017 0.00133392659016499
"EC" 0.000580638381340925 0.000559527074452126
"EE" 0.000133498390036127 0.000130009370002975
"EI" 0.00147153996848087 0.00137096316062757
"EN" 0 0
"EO" 3.70911626595847e-06 3.69122183810121e-06
"EP" 0.000285491268352661 0.000276024152346476
"EQ" 2.46940455154894e-05 2.457351955745e-05
"ER" 3.00233620937777e-05 2.91317748159139e-05
"ES" 3.51308745780679e-05 3.41808240323654e-05
"ET" 0.000272154357667401 0.000263148151972403
"EU" 3.02370903676349e-05 2.99996588206162e-05
"EV" 0.0019457820738622 0.00173879365138749
"EW" 0.000176955283722728 0.000172328787903416
"EX" 0.000184372168746113 0.000179251432844794
"FA" 0.000188816916409155 0.000172595390516762
"FE" 1.92251703814569e-06 1.91532723064997e-06
"FF" 0 0
"FI" 0.000614000916482381 0.000586056370630085
"FS" 0 0
"FU" 0 0
"FY" 4.10273563111046e-05 4.07720925039586e-05
"GA" 2.4313116949723e-05 2.40279579823254e-05
"GC" 0.166249213739666 0.0629906682566092
"GM" 1.49666094942184e-06 1.4847180471014e-06
"GU" 0.00836348115216902 0.00670092602198992
"GY" 0.00018296810747498 0.000179819823427936
"HA" 3.09677927234784e-05 3.0773349295142e-05
"HB" 2.04821707099347e-05 2.01633715066303e-05
"HE" 0 0
"HF" 9.15838169354147e-06 9.03543886881798e-06
"HI" 1.57039782382063e-05 1.5649605995974e-05
"HL" 2.05246504177696e-05 2.03387158452503e-05
"HQ" 5.30944604265934e-05 4.94741736294777e-05
"HT" 0.00430782574464831 0.00380588655042729
"HY" 0.000141149829785716 0.000136700104643939
"IA" 0.000112053522953932 0.000109290124862776
"ID" 0.0108760943384287 0.00954005113356484
"IF" 0.000146947606577343 0.000133964674889979
"IG" 8.88633788536852e-05 8.59796207911488e-05
"IH" 0.00219884194162296 0.0017196546532324
"II" 0.00186197489871751 0.00165962370059865
"IJ" 9.42825064229049e-05 9.1800047682155e-05
"IK" 4.55574558391025e-05 4.38564013564977e-05
"IL" 1.15777414873132e-05 9.26524887748906e-06
"IM" 0.00410237048488734 0.00305022961274753
"IO" 0.000748878060641966 0.000510109642641745
"IP" 0.0134538131365511 0.00756428466866197
"IQ" 0.000723580052047928 0.000689527979269607
"IU" 0.000869772499879852 0.00081648806393385
"IX" 0.00457782049747211 0.00251422963247621
"IY" 0.000622128031197425 0.000574146017064338
"JA" 0.0169436354011034 0.0119452910868369
"JB" 0.000373756474841286 0.000312743846699551
"JI" 5.65278290922379e-05 5.58109502415611e-05
"JM" 0 0
"JO" 1.74101375749071e-06 1.73410331449462e-06
"JS" 2.01278671132863e-05 2.0020174919908e-05
"JU" 0.000650861242952482 0.000582236079050541
"JW" 3.41238696468179e-05 3.331354125889e-05
"JY" 5.86202356751327e-05 5.6479416212376e-05
"KA" 0.000862157135807048 0.000715180190265759
"KI" 8.04418800667685e-05 7.96919966540375e-05
"KM" 0.00110505468513813 0.00104051445428382
"KU" 0.00288601984538932 0.0024922196214954
"KV" 0.0495577748973463 0.0169328439984705
"KY" 0.190685749687506 0.0551903832038199
"LE" 0.255190603958628 0.0686035126194814
"LI" 1.2187096302435e-05 1.19694807229771e-05
"LJ" 2.12457824774746e-05 2.10983042125479e-05
"LQ" 7.0220888218792e-06 6.96314841084761e-06
"MA" 4.23603489501932e-05 4.16910440936802e-05
"MC" 3.70218204209831e-05 3.48602457686599e-05
"ML" 0 0
"MM" 2.45948620025648e-05 2.41051006902749e-05
"MQ" 0.000271344273869813 0.000255291518195101
"MR" 1.31245652487761e-06 1.2939319702061e-06
"MU" 8.13160425479975e-06 7.71047335046622e-06
"MW" 0 0
"MY" 1.85268484193582e-05 1.84256361449219e-05
"NE" 0.000294381051172529 0.000283085962097343
"NI" 0.000128992321673289 0.000126457606531147
"NM" 0 0
"NN" 5.19081502394734e-05 5.08335423271008e-05
"NQ" 1.66770791507005e-05 1.66088872956998e-05
"NS" 0.000101890648674553 9.60952484427161e-05
"NU" 8.95563841325967e-05 8.78250699672921e-05
"OA" 0.000620410141340208 0.000572807015902612
"OE" 0.000113033702813209 0.000110492289987454
"OI" 1.91380815712993e-05 1.85468425393029e-05
"OM" 1.00093001553656e-05 9.92939365075068e-06
"OO" 4.58466956139221e-06 4.52821698457023e-06
"OP" 8.35809187296137e-05 8.04437501702515e-05
"OR" 4.11190647602481e-06 3.99997569152402e-06
"OT" 5.03419309287898e-06 5.01195029392007e-06
"OU" 0.00345251072711777 0.00213798435698561
"OX" 0 0
"OY" 5.39753257291493e-06 5.38163978966925e-06
"OZ" 1.05477140729565e-05 1.03023528742512e-05
"PA" 0 0
"PC" 6.48662972767895e-05 6.44000318437726e-05
"PD" 0 0
"PE" 8.83460690934462e-05 8.62191495375504e-05
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.00632933620923509 0.00511216002855411
"PJ" 3.62369687050889e-05 3.41499107553778e-05
"PK" 0.00018347501551919 0.000173871501606615
"PM" 0.00152439429475931 0.00143355345995546
"PN" 0.000452255749612403 0.000441478304972169
"PO" 0.00095382513694777 0.000888254513094016
"PQ" 0.000174979526725831 0.000173820730255917
"PS" 2.13274185292612e-06 2.09345902321218e-06
"PT" 2.85675897452396e-05 2.79105996372427e-05
"PU" 0.00116223722008564 0.00108914592162342
"PW" 4.18169604610492e-06 4.0602627470204e-06
"PY" 7.0284333565147e-05 6.91600585146244e-05
"PZ" 0.000524247361817846 0.000499643660808872
"QA" 4.92040301164397e-05 4.75210655793704e-05
"QC" 0 0
"QD" 0 0
"QE" 4.00595590229839e-05 3.8580193563879e-05
"QF" 0.000125231943532367 0.000116264287616636
"QG" 5.50337996395823e-05 5.2380532024544e-05
"QH" 3.23970241056954e-05 3.10047796848319e-05
"QJ" 6.19073741605305e-06 5.829255079952e-06
"QK" 0 0
"QQ" 0.012949512225833 0.00789278869646421
"QU" 0.00178427645640634 0.00169488788061947
"RA" 9.1641355972817e-05 8.55981442298295e-05
"RB" 2.75192497151758e-06 2.66570042880441e-06
"RE" 0.0442072036295648 0.0212511628705174
"RO" 0.0026718767970147 0.00228937340984949
"RP" 5.3318546323153e-06 5.29171743630005e-06
"RQ" 0.000133034160951865 0.000124890620904294
"RT" 7.2506484647645e-05 7.18166596082558e-05
"RU" 0.000155905665608027 0.000153635258794254
"RX" 1.59730462604897e-05 1.58321707204104e-05
"RY" 0.00142229688684226 0.00131920568782346
"RZ" 2.51209756633801e-05 2.49456117613719e-05
"SA" 2.84411284124195e-05 2.77463572365272e-05
"SD" 2.35982084008101e-05 2.33745737853182e-05
"SI" 0.0226137889750435 0.0138367466968619
"SR" 0.00331182094632703 0.00208016252415141
"SU" 5.94714124945997e-05 5.90360151730672e-05
"SY" 0.000231611893159386 0.000223018834179632
"TA" 0.000163911925297323 0.000144661439877335
"TC" 7.85021667356276e-06 7.81927151495225e-06
"TD" 1.04267379476388e-05 1.03518744434356e-05
"TE" 0.0782034624644779 0.0331793888307407
"TI" 1.85794412852719e-05 1.7901026684649e-05
"TM" 2.97149497034553e-05 2.90448913000474e-05
"TQ" 5.17231511158627e-05 5.11186424503539e-05
"TU" 0.000278204363676272 0.000268891400950331
"UA" 2.54829459843661e-05 2.53097857216875e-05
"UB" 0.000438128362858154 0.000415998279617204
"UE" 0.00170326982214223 0.00128103817432868
"UF" 0.000863791829539449 0.000812970601772504
"UH" 0.000529222155712091 0.000501278989803711
"UI" 0.000702230008253351 0.000667233824748427
"UK" 0.000526690269271145 0.000502621110018004
"UM" 0.000137495371625893 0.000133226021635447
"UN" 0.000326810908761009 0.000315437034421187
"UP" 6.06624994979015e-05 5.83436596156495e-05
"UQ" 0.000195852640911329 0.00018789207171641
"UR" 0.000474809222985384 0.000455140375026321
"UT" 7.25132229994881e-06 7.24927110098585e-06
"UU" 6.32489558614555e-05 6.26979288684737e-05
"UY" 0.000109661681083785 0.000105371089621905
"VE" 2.4401531245948e-05 2.42013994227787e-05
"VI" 8.04030072544517e-06 7.96863787963911e-06
"VJ" 3.2973341443423e-05 3.26122604429651e-05
"VM" 1.61177961375286e-05 1.57013243909545e-05
"VP" 0 0
"VS" 1.26636866606308e-05 1.25584072556824e-05
"VX" 8.68158392636723e-05 8.61742284307e-05
"VY" 0.000227011598410682 0.000223305253747199
"WC" 1.42580022799457e-05 1.41670083433491e-05
"WE" 2.63652337852738e-05 2.60287323967617e-05
"WF" 5.9608392985594e-06 5.8557890812435e-06
"WH" 2.3845238772299e-05 2.36536326420697e-05
"WM" 3.87418232947504e-05 3.81095005926471e-05
"WQ" 5.59749981852344e-06 5.57601653589087e-06
"WU" 1.85268484193582e-05 1.8123434633082e-05
"WV" 1.11469521857803e-05 1.10023069407521e-05
"WY" 0 0
"XA" 3.97891370873295e-05 3.90125783380463e-05
"XE" 0.00503203506361223 0.00385214911348575
"XQ" 0.0012468110346917 0.00113427941682513
"XW" 3.34224683567656e-05 3.3203212131555e-05
"XY" 0.000496029032055598 0.000478598214233345
"YA" 7.5557996286497e-05 7.50880445615193e-05
"YE" 0.000136279032103197 0.00013196371012613
"YG" 6.2628133776402e-06 6.23227286832623e-06
"YI" 1.90553199030465e-05 1.89120252570734e-05
"YO" 0.000203953303468739 0.000184497461394287
"YP" 2.37502345153117e-05 2.35119837251782e-05
"YQ" 1.30052048450044e-05 1.26805809474904e-05
"YR" 6.47130381904055e-05 6.18287252332435e-05
"YU" 2.73381850572269e-05 2.66511870407305e-05
"YY" 0.000159401797722349 0.00014577158245033
"ZA" 4.82213734568604e-05 4.78457152278633e-05
"ZC" 9.45210807087501e-05 9.20038311541732e-05
"ZD" 8.23227219760251e-05 8.1343031408194e-05
"ZE" 1.88902246905407e-05 1.84187410889614e-05
"ZK" 2.2749246431212e-05 2.25518871094014e-05
"ZM" 0.00362627130404423 0.00322065680761778
"ZQ" 0.00566443004867084 0.0043945050149491
"ZR" 0.0150920844908493 0.00942167604608554
