"Q" "C"
"AA" 0.000205672708748527 0.00019037527640503
"AC" 5.37787341768416e-05 5.30271666029858e-05
"AD" 0.000115042704422046 0.000104810040074902
"AE" 7.88732050391758e-07 7.40804301817465e-07
"AF" 0 0
"AH" 0.000231938875662182 0.000206696968074402
"AI" 2.89579060506544e-06 2.8474579968175e-06
"AM" 5.3759672941157e-06 5.04015246181647e-06
"AQ" 0.000371190933628573 0.000319452714765397
"AY" 0.000480006172958558 0.000298334300835727
"AZ" 0.000119417688610261 9.07794905953275e-05
"BA" 0.00221683508937529 0.00162528207349418
"BD" 3.45145709243283e-05 3.31528894424438e-05
"BF" 0.000544184366864975 0.000481626378215098
"BI" 8.74404101703404e-06 8.58876388680472e-06
"BK" 2.76376333003698e-06 2.67341951261752e-06
"BM" 2.37909185986397e-05 2.31489796997652e-05
"BP" 0 0
"BQ" 6.00611834339202e-06 5.14450849092605e-06
"BU" 1.89614585887394e-05 1.89382450913175e-05
"BV" 0.000821629907389155 0.000533354158664255
"CN" 0.00424708011113631 0.00267305886986071
"CO" 0.00174857286921493 0.00135471096427177
"CQ" 0.0337684129099327 0.023149111894976
"CT" 0.000123361496173075 8.47689271512824e-05
"CU" 0.00414881467631197 0.0025200414346164
"DA" 0.00384961137267905 0.0027196285561515
"DB" 0.00236378761440267 0.00180402062055069
"DE" 0.000360061043027038 0.000315679339356833
"DI" 0.000118923496238668 0.000116787862122816
"DK" 5.07627107320747e-05 5.0289793628358e-05
"DM" 0.0136965227254441 0.0102338134109325
"DQ" 0.0181355414991104 0.0142082209163749
"DR" 0.0252696943898435 0.0171668322595902
"DS" 0.00345461884386115 0.00247456059008788
"DT" 0 0
"DW" 0.000357063112687585 0.000318981076569755
"DX" 0.000921058928517689 0.000681811352141463
"DY" 0.000640029913248867 0.000593286973973314
"EA" 0.000434403581282737 0.000400613125650309
"EC" 5.26907343902713e-05 5.089852484779e-05
"EE" 0.000101426492118301 9.44703866601028e-05
"EI" 9.5384023318187e-05 9.21177838585843e-05
"EN" 5.41408591685414e-06 5.07642163367594e-06
"EO" 6.23472492393636e-06 6.18907964487698e-06
"EP" 0.000292233954738708 0.000278983652470781
"EQ" 0.0109827987007771 0.00744418872294194
"ER" 6.34452970376553e-05 5.78882747092669e-05
"ES" 1.78514167126673e-05 1.7547827233478e-05
