"Q" "C"
"AA" 9.64267286035213e-05 9.00882473014561e-05
"AC" 6.37822750111056e-05 6.2919351459203e-05
"AD" 4.67198438157743e-05 4.37539640222721e-05
"AE" 1.05541454044612e-06 1.01362125940769e-06
"AF" 1.12489324060088e-05 1.07926266368658e-05
"AH" 4.19990997044345e-05 3.88120080819495e-05
"AI" 6.26831957097993e-06 6.1697588622186e-06
"AM" 4.98390199655114e-06 4.79141534430853e-06
"AQ" 0.000238939856554437 0.000210859244065607
"AY" 0.000114711764689677 8.04665233712929e-05
"AZ" 4.94287068761089e-05 4.01572584083281e-05
"BA" 0.00179357430228571 0.00133722182866752
"BD" 7.42245404486366e-06 7.21989080087185e-06
"BF" 0.000672958995827709 0.000594463584266766
"BI" 6.44909197550691e-05 6.34584864621469e-05
"BK" 1.08112335617494e-05 1.03412564892888e-05
"BM" 0.00017230099781408 0.00016442744755186
"BP" 1.66443519507463e-05 1.58300539229102e-05
"BQ" 6.90134407421374e-05 5.70534465629811e-05
"BU" 5.62446620300442e-06 5.61843852246787e-06
"BV" 0.000749024468793515 0.000475649693946609
"CN" 0.00351570123041522 0.00222082730675903
"CO" 0.000401299130204742 0.000339906095571982
"CQ" 0.0063583340613395 0.0050136346932291
"CT" 1.05667264653622e-05 8.18980060078794e-06
"CU" 0.00140148916707439 0.00097953133173887
"DA" 0.000915830211099129 0.000737292144528273
"DB" 0.000439901024274822 0.000369862963347183
"DE" 8.34410983745166e-05 7.71920717212147e-05
"DI" 0.00078620477333507 0.000758532871380709
"DK" 0.000291718848711441 0.000285644106307555
"DM" 0.00673390510331508 0.0054182487225711
"DQ" 0.010430423744077 0.00850951873398432
"DR" 0.00540986283480292 0.00423347748768983
"DS" 0.00290029582106404 0.0021415159107861
"DT" 6.90078737984004e-06 6.85637483921769e-06
"DW" 9.29897925000884e-05 8.62835364817145e-05
"DX" 0.000253955782070461 0.000205868977204163
"DY" 0.000223479361100379 0.000212863117610258
"EA" 0.000147046876212202 0.000139285277631565
"EC" 7.99145328594278e-06 7.82591444873591e-06
"EE" 1.8740746218339e-05 1.79121184267887e-05
"EI" 1.48562905262843e-05 1.4546220033049e-05
"EN" 6.99663164900449e-06 6.35011724552158e-06
"EO" 1.29389763372001e-05 1.2830026128384e-05
"EP" 0.000355677703341019 0.000339888162447758
"EQ" 0.0177212246961477 0.0105730461023243
"ER" 0.000223329080904972 0.000202655981132304
"ES" 1.44697462361408e-05 1.42190421689774e-05
"ET" 0.00052476728337444 0.000502115223879778
"EU" 0.00152992684816714 0.00135243308035267
"EV" 0.000604321538883374 0.000544773647789305
"EW" 6.05081711852216e-05 5.91722317109714e-05
"EX" 0.000120850935942324 0.000117193266004322
"FA" 1.42603706663223e-05 1.40653626828971e-05
"FE" 0.000305572776279672 0.000248468251290016
"FF" 0.00260070377905786 0.00202136083173516
"FI" 0 0
"FS" 5.67363843357384e-06 3.96889800190939e-06
"FU" 0.00249881601989255 0.00209611831409285
"FY" 0.00280237702863931 0.00259250693043783
"GA" 0.00150495316204767 0.00130734421750041
"GC" 1.0039002593053e-05 9.99626630859402e-06
"GM" 0.00150947862361986 0.000969037961652634
"GU" 0.000219083213312608 0.000210204078604555
"GY" 0.00363100041570271 0.00347005224818771
"HA" 0.0058134875365799 0.00517665718794768
"HB" 0.00145507846585532 0.00123602467564412
"HE" 0.000512682178607452 0.000388470445341061
"HF" 0.000716239843084574 0.00059282667634529
"HI" 0.00104983675902948 0.000861271164366662
