"Q" "C"
"AA" 4.43046055544369e-05 4.16092112236033e-05
"AC" 3.51899545590219e-05 3.45147728011957e-05
"AD" 2.90658395728756e-05 2.74343756587812e-05
"AE" 6.46723802092728e-06 6.18155508866155e-06
"AF" 0.000298348025976535 0.000268945463726374
"AH" 2.53257288748858e-05 2.34775139003007e-05
"AI" 3.56055007882804e-06 3.49175225298079e-06
"AM" 1.45847823714159e-05 1.40723209955193e-05
"AQ" 0.00117664245870769 0.000990113485566816
"AY" 1.2120734927144e-05 9.78865502544596e-06
"AZ" 1.72524423712469e-05 1.40294344608224e-05
"BA" 0.00214536874552087 0.00171022115814017
"BD" 1.5198576849883e-05 1.47546619312082e-05
"BF" 0.00106858707023671 0.00094116555535307
"BI" 3.63563650906182e-06 3.57514200600308e-06
"BK" 0 0
"BM" 0.000392829805608901 0.000359009438944978
"BP" 3.0508837838281e-06 2.91905492106215e-06
"BQ" 0.000159013679489279 0.000134530295416845
"BU" 2.11745862615689e-05 2.11413634557741e-05
"BV" 0.000124569758355377 9.98353006680497e-05
"CN" 0.000989085178869816 0.000792899434565236
"CO" 0.000167685190257548 0.000147433123240952
"CQ" 0.000707061143472617 0.000599566055722759
"CT" 8.92678607135716e-06 7.36693208021831e-06
"CU" 0.00105622659662599 0.00080833231064356
"DA" 7.87134032696395e-05 6.77984549311232e-05
"DB" 0.000728610806034002 0.000623736171657808
"DE" 5.46659362751804e-05 5.1642211054338e-05
"DI" 0.00340577456850576 0.00319430665705781
"DK" 0.00128949009705176 0.00120465246391965
"DM" 0.0167005352454451 0.0129620947300679
"DQ" 0.0076394766430986 0.00616710953336976
"DR" 0.000418510964891683 0.000351910207534925
"DS" 0.00341213538119225 0.00251063062221253
"DT" 9.45814485767346e-06 9.36798994228787e-06
"DW" 2.12983004831615e-05 1.99061465303678e-05
"DX" 6.65696677067256e-05 5.59276059564859e-05
"DY" 0.000366695499747241 0.000351446337048046
"EA" 8.89504032096266e-05 8.46131310666735e-05
"EC" 3.81503626309211e-06 3.74598023336951e-06
"EE" 5.55444466662223e-06 5.34895962930898e-06
"EI" 9.15634195929233e-06 8.97910541447488e-06
"EN" 9.95471901290737e-06 8.81237613977816e-06
"EO" 0 0
"EP" 0.00023836480173063 0.000228138468025163
"EQ" 0.0136712370101849 0.00963237490477744
"ER" 8.52986502161072e-05 7.92244487565296e-05
"ES" 5.80740736040199e-05 5.66556934581914e-05
"ET" 0.00280361674708961 0.00263157097300054
"EU" 0.00558441763803475 0.00478378598957663
"EV" 0.00228601326349784 0.0020424984933756
"EW" 0.000156786505716071 0.000151960194205312
"EX" 0.000231177607274362 0.000222523392991394
"FA" 2.22574970783224e-05 2.17734223490425e-05
"FE" 0.00139285455618567 0.0011554369416014
"FF" 0.00337957865684078 0.00251020835189025
"FI" 0 0
"FS" 1.36336369089818e-05 1.13427004611175e-05
"FU" 0.00278216776502226 0.00212106642284532
"FY" 0.00255983419872781 0.00235483820038683
"GA" 0.00175624275229135 0.00149939529010404
"GC" 2.57627303646671e-06 2.55913638631619e-06
"GM" 0.00699176589187146 0.00485831821793862
"GU" 0.000209534871490865 0.00020126722234239
"GY" 0.0325035563332355 0.0288441327272374
"HA" 0.00457760191223788 0.00401130244536932
"HB" 0.00503388922926776 0.00381240288629506
