"Q" "C"
"AA" 0.000342424714571416 0.000316949955223137
"AC" 1.03516304386475e-05 1.02302839407785e-05
"AD" 3.85522670517578e-05 3.41773412538407e-05
"AE" 6.43337014907588e-06 5.84865609029396e-06
"AF" 7.87025413837638e-08 7.74147415318956e-08
"AH" 5.27721159569407e-05 4.5445652045452e-05
"AI" 2.88018860171283e-06 2.83703453630456e-06
"AM" 1.51115788638029e-05 1.37445734673482e-05
"AQ" 0.00110235397879917 0.000828073444544794
"AY" 0.000644690521117218 0.00037536269278706
"AZ" 5.28730377118313e-05 3.624799774796e-05
"BA" 0.00263071010959376 0.00209645126815294
"BD" 4.96052895848196e-06 4.71926740505222e-06
"BF" 7.45150924290274e-05 6.7502302365813e-05
"BI" 6.54640219021526e-06 6.43405012142537e-06
"BK" 0 0
"BM" 8.63722951926252e-07 8.52162053121201e-07
"BP" 3.81866857889735e-06 3.71581940860413e-06
"BQ" 2.24467411240287e-06 2.07694395489779e-06
"BU" 2.95083289010744e-06 2.94698487955055e-06
"BV" 3.33632039569519e-05 2.87616389132263e-05
"CN" 0.000153771688436667 0.000129349460164538
"CO" 0.00443552794907393 0.00299984430996715
"CQ" 0.0580027515732687 0.0311476677903481
"CT" 0.00135458022473016 0.000645085121318876
"CU" 0.00353419627350116 0.00176611118164248
"DA" 0.00548207286852631 0.00310878949687596
"DB" 0.00924381769694505 0.00577740280229609
"DE" 0.000161790495016882 0.000131660475116491
"DI" 2.35587922658992e-05 2.34462735761475e-05
"DK" 5.90772580259923e-06 5.89206220910833e-06
"DM" 0.109190592207434 0.0566431203635075
"DQ" 0.0390437002732163 0.0248445175940665
"DR" 0.0476099746464586 0.0236925634728323
"DS" 0.0077805715413429 0.00530729748033613
"DT" 7.70593488793684e-06 7.63267211152547e-06
"DW" 0.000167916906257852 0.000144850585785464
"DX" 0.00119914770713071 0.00078493937067882
"DY" 0.00071644726693363 0.00064342059270605
"EA" 0.000840112555441271 0.000752206837612177
"EC" 5.67474081717146e-05 5.40277442745434e-05
"EE" 0.000344504014704058 0.000311664140781256
"EI" 0.000169438300451583 0.000161306074754085
"EN" 0 0
"EO" 0 0
"EP" 5.53160718137365e-05 5.36735444948072e-05
"EQ" 0.000310008903243086 0.000281943129602727
"ER" 2.63515189788553e-06 2.52944712482051e-06
"ES" 5.87621068582953e-06 5.80588522981835e-06
"ET" 4.81949141543813e-05 4.62081959270219e-05
"EU" 2.47565818468565e-05 2.39362435941163e-05
"EV" 0.000491343581308627 0.000424578779633572
"EW" 1.02589773846054e-05 1.01058704773262e-05
"EX" 4.80186127210104e-05 4.68947486674177e-05
"FA" 2.5446016638612e-06 2.52035164957297e-06
"FE" 3.87293982073213e-06 3.74883911607548e-06
"FF" 0.000973839382197123 0.00074739880487657
"FI" 7.11772353453485e-05 6.54466156755712e-05
"FS" 0 0
"FU" 1.22067112394405e-05 1.14691614220338e-05
"FY" 0.000820465236170266 0.000734679709284063
"GA" 0.00293689450554972 0.00220322033349619
"GC" 9.35397959770111e-06 9.30372545833306e-06
"GM" 0.000126178641503252 0.000110272359412736
"GU" 4.97217982494368e-05 4.61702448806498e-05
"GY" 8.81262699626098e-05 8.71004341815617e-05
"HA" 5.20634376528256e-05 5.06893540738291e-05
"HB" 6.64421766326743e-05 6.06082611092567e-05
"HE" 7.12513310546798e-06 6.62571858956162e-06
"HF" 5.75511678337517e-05 5.26881013180039e-05
"HI" 1.02302583036134e-05 9.90883040806665e-06
"HL" 0.0016647755815674 0.00130209076983562
"HQ" 3.22068886444142e-05 3.09893884841829e-05
"HT" 0.000122190861772797 9.86245863023906e-05
"HY" 0.00611336307891509 0.00374097003644568
"IA" 0.00993370722967179 0.00604213937183717
"ID" 9.7090145896756e-06 9.44018759386918e-06
"IF" 1.52887237799195e-05 1.48428960709007e-05
"IG" 0.00199877725744818 0.00146254011986862
"IH" 2.4766494439596e-05 2.385770115666e-05
"II" 6.52277572286668e-05 6.26851578702789e-05
"IJ" 2.4790870126272e-05 2.44233468512579e-05
"IK" 1.37758631608388e-05 1.36084617193131e-05
"IL" 0 0
"IM" 5.05823165031824e-06 4.94821605949552e-06
"IO" 1.34500625210971e-06 1.33778191188603e-06
"IP" 3.70726950289321e-06 3.66593019395253e-06
"IQ" 7.68054046352353e-05 7.57361102616251e-05
"IU" 3.09708817398093e-05 3.06042761750513e-05
"IX" 1.14110975559717e-05 1.13795150793401e-05
"IY" 2.36979595141887e-05 2.02491049453743e-05
"JA" 0.000330413235331933 0.000310883972725192
"JB" 6.74496473277039e-06 6.64211941385679e-06
"JI" 5.34314365760295e-06 5.04226915399444e-06
"JM" 2.66363537758563e-06 2.49072349642764e-06
"JO" 2.25199742908279e-05 2.13464953208124e-05
"JS" 1.90599442350963e-06 1.87556118940473e-06
"JU" 1.59852762213064e-05 1.45722893141307e-05
"JW" 0 0
"JY" 0.000240699703820245 0.000207190534658801
"KA" 3.59454406184673e-06 3.44849855411525e-06
"KI" 0.00668434241372146 0.00501217878718664
"KM" 0.0211149979159615 0.0123811109921633
"KU" 6.48472311933059e-06 6.40743264861168e-06
"KV" 2.36136187392887e-06 2.31715242201992e-06
"KY" 4.21870350757573e-07 4.19718418416785e-07
"LE" 1.57590431767526e-05 1.5588460263702e-05
"LI" 0.000988906983581038 0.00065832553771875
"LJ" 0.000344535226651169 0.000291447192601512
"LQ" 0.00053508151836335 0.000443726385698981
"MA" 0.27647457155273 0.107934471558075
"MC" 0.000396732312144832 0.000255980449609473
"ML" 2.84421838364531e-05 2.11177575872437e-05
"MM" 1.08694979586071e-05 1.07905520845127e-05
"MQ" 3.85884442320346e-05 3.42061121462941e-05
"MR" 4.76498379806461e-07 4.70101955929754e-07
"MU" 2.11963498370203e-06 1.8813945843683e-06
"MW" 1.38150049771373e-06 1.34367975449651e-06
"MY" 0.000369972271576014 0.000340755600903841
"NE" 0.00509170641979807 0.00392628583810785
"NI" 0.0571582411611627 0.0337357526546942
"NM" 0 0
"NN" 0.00576080600343044 0.0042505511566792
"NQ" 2.25458889424194e-05 2.19404952545598e-05
"NS" 9.89358555237437e-05 9.41621975398536e-05
"NU" 3.53302103225253e-05 3.43889309844779e-05
"OA" 5.11672182163829e-05 4.8761177138843e-05
"OE" 2.7074137572444e-06 2.6821068027294e-06
"OI" 0.00011304591517003 7.59523386383445e-05
"OM" 1.12258696111074e-05 1.09749797269455e-05
"OO" 4.90310344533603e-05 3.96940194763263e-05
"OP" 0.00019833781316071 0.000148560828985975
"OR" 6.81208577551339e-07 6.7351401204348e-07
"OT" 9.0272432991196e-06 8.63541897960875e-06
"OU" 1.70139714280988e-06 1.64990421809889e-06
"OX" 0 0
"OY" 3.21163822123417e-06 3.16921562353643e-06
"OZ" 3.35207905046897e-06 3.01354955270972e-06
"PA" 3.0510336816634e-06 3.01618806156886e-06
"PC" 1.56677777762937e-05 1.55863290130944e-05
"PD" 4.5732557831106e-07 4.56562786453145e-07
"PE" 3.3849608465773e-05 3.3488309320496e-05
