"Q" "C"
"AA" 0 0
"AC" 8.32792018521294e-05 8.12214934899075e-05
"AD" 0.000420864599494235 0.000412566098679764
"AE" 5.24658971668416e-05 5.06318585506547e-05
"AF" 0.00171165486629655 0.00101623830557708
"AH" 0.00100355293385833 0.000955254030981699
"AI" 0 0
"AM" 0.000163162761409385 0.000158368705303918
"AQ" 0 0
"AY" 0.000104931794333683 9.89116900532485e-05
"AZ" 0 0
"BA" 5.24658971668416e-05 5.02080789456645e-05
"BD" 0.000246540969356379 0.000232898039716523
"BF" 0.00924788611874158 0.00823535197954837
"BI" 0.00155337773195701 0.00147504754145344
"BK" 0.00141417693883591 0.00122591697537839
"BM" 0.0106643004631667 0.00721851309134568
"BP" 0.000902017855060877 0.000821594652405683
"BQ" 0.0072764550624784 0.00531375443414744
"BU" 0.000118686440770021 0.000117822646201531
"BV" 0.00086467943176581 0.000785741618980992
"CN" 0.00113661761437276 0.00103728583039086
"CO" 4.0358382436032e-05 3.88524041067226e-05
"CQ" 0.000653384725421547 0.000627773225488259
"CT" 0 0
"CU" 0.00204387678220161 0.00188931763990583
"DA" 9.87994167427536e-05 9.52271895357485e-05
"DB" 0.000232756380390853 0.000222958272379174
"DE" 0.000490177474573101 0.000477291615976209
"DI" 0.0367192735712963 0.0293895682992238
"DK" 0.0164316818736423 0.0108949028950537
"DM" 0.000225643561570037 0.000217994051238412
"DQ" 0.000294969413086116 0.00028779269298028
"DR" 0.000151795272466836 0.000146374438746672
"DS" 3.22943495818627e-05 3.09024335189402e-05
"DT" 0 0
"DW" 1.69244829570457e-05 1.64928885523057e-05
"DX" 0 0
"DY" 0.000394856979327074 0.000387693982454514
"EA" 0.000109748762559919 0.000107475744226583
"EC" 0 0
"EE" 0 0
"EI" 2.91477206482453e-05 2.87062400237568e-05
"EN" 0.000110761338463332 8.136712192475e-05
"EO" 0.00067662359179452 0.000658331130574838
"EP" 0.000294853884113607 0.000281952033843838
"EQ" 0.00231730273994759 0.00206263794729632
"ER" 0 0
"ES" 0.000133182662038905 0.000129744648193971
"ET" 0.000775971284543286 0.0007310068860428
"EU" 0.00252984193449004 0.00215170038444163
"EV" 0.000863888682390961 0.000787873518633563
"EW" 0.000469322618555754 0.000451437357208016
"EX" 0.000884999488094976 0.00084876110741086
"FA" 0.000104931794333683 0.000102521916510023
"FE" 0.00154882233903289 0.00137768962918222
"FF" 4.3721580972368e-05 4.19697547098622e-05
"FI" 0.000131164742917104 0.000129527658262247
"FS" 0 0
"FU" 0.0133113211102692 0.00948794932648878
"FY" 5.13728576425324e-05 5.06722842969228e-05
"GA" 1.6395592864638e-05 1.60201796666644e-05
"GC" 0.000213994426350145 0.000210447320095778
"GM" 0.000480450630441372 0.000433917163837666
"GU" 0.001963753556513 0.00184244831750786
"GY" 0.202217043107592 0.108917535279714
"HA" 0.0329720601965853 0.0283502273738212
"HB" 0.000119505654657806 0.000110837338876249
"HE" 0.000346054420687159 0.000322234146349584
"HF" 0.00282071887898425 0.00226150627672363
"HI" 0.00107628141659046 0.000962618894303995
"HL" 0.00574810324676073 0.00496857786384953
"HQ" 0 0
"HT" 0.00050449639813536 0.000479877720518281
"HY" 0.000129915554889322 0.000125143073323258
"IA" 0.000189733352843793 0.00018032074093126
"ID" 0.000642785860519334 0.000618321429494734
"IF" 7.2680030707313e-05 6.91733849221855e-05
"IG" 6.82362788298278e-05 6.57649681920928e-05
"IH" 9.05661320141908e-05 8.60601767333067e-05
"II" 0.00011028716501738 0.000107677484566254
"IJ" 0.000313155362031487 0.000284672972434361
"IK" 6.49145593089924e-05 6.22947481519188e-05
"IL" 0 0
"IM" 4.97072736054898e-05 4.72334385588689e-05
"IO" 0 0
"IP" 0 0
"IQ" 8.17650345457271e-05 8.0054053423249e-05
"IU" 8.74431619447359e-05 8.57012122297641e-05
"IX" 0 0
"IY" 7.52199242535363e-05 7.26163017817425e-05
"JA" 0.00263272766822845 0.00243206926069152
"JB" 0.0109895123814193 0.00750916790922331
"JI" 9.67905344284836e-05 8.64444703468354e-05
"JM" 0.00166025133597406 0.00127354268778035
"JO" 0.00622473282880882 0.00541078492048197
"JS" 0.000264698715330418 0.00023475567347102
"JU" 0.000176873668479125 0.00017207132812445
"JW" 8.51719109851324e-05 7.70914925841693e-05
"JY" 0.000278044448829406 0.000270516892111415
"KA" 0.000245278069254984 0.00023297451330597
"KI" 4.3721580972368e-05 4.26839345115064e-05
"KM" 0.00144227180940012 0.00137275240413499
"KU" 0.0293134821737515 0.0219481829847462
"KV" 0.000934442533042102 0.000887973055140098
"KY" 0.000148653375306051 0.000145568158988487
"LE" 0.00110028258433211 0.00106055690583555
"LI" 0.000220662380489471 0.000200472460959901
"LJ" 0.000571229079885953 0.000515846252891332
"LQ" 0.00116447283871794 0.000968047226973368
"MA" 0.000112535547546269 0.000108960302707776
"MC" 0.000187926093653161 0.000173939774081546
"ML" 0 0
"MM" 0.119085863939517 0.079935121142657
"MQ" 0.0323656549988945 0.0264340685915901
"MR" 0.159623854645418 0.0805012694197963
"MU" 1.6395592864638e-05 1.60503377241787e-05
"MW" 0.000577710612503786 0.000450720237758734
"MY" 0.00127461790802091 0.00114145329455337
"NE" 0.00697919074846858 0.00606644978459941
"NI" 0.00025143114453611 0.000243553232132118
"NM" 0.00781524946681218 0.00488090118442432
"NN" 0.000290832411183145 0.000279633235362667
"NQ" 0.00104384168008797 0.000900820616126765
"NS" 0 0
"NU" 0.00338616544132001 0.00302087771120405
"OA" 1.6395592864638e-05 1.60437149703082e-05
"OE" 0.00553978540627992 0.00417517716679551
"OI" 7.53356472139263e-05 7.1035259648478e-05
"OM" 0.00670992486558876 0.00580323685497734
"OO" 0.000224086648392087 0.000197602178730997
"OP" 0.000137958572541883 0.000130003034853686
"OR" 0.000634946136685795 0.000544012860251822
"OT" 0.000835975433172739 0.000778512460329183
"OU" 0 0
"OX" 0.000358516963973417 0.000324536014945653
"OY" 0.000891111642681559 0.000845765053181555
"OZ" 0.000677977376905968 0.00047123528636428
"PA" 0.00282941748644808 0.00255854979387668
"PC" 0.0127739054488953 0.0102864390219506
"PD" 0 0
"PE" 0.00188208903362564 0.00169478835259452
"PF" 0.000216734122820167 0.000199761641336866
"PG" 2.0179191218016e-05 1.93631842918882e-05
"PH" 0.000334157797431669 0.00031784088610975
"PI" 0.000235926193428817 0.000227166675194121
"PJ" 0 0
"PK" 0.000104931794333683 0.000103913421687375
"PM" 0.00034144746704116 0.000336956268797037
"PN" 0.000177459954578714 0.000171345364046376
"PO" 0.0115102585215198 0.00987636492159224
"PQ" 0.000227032517796239 0.000223574066953712
"PS" 0.00790801366969011 0.00483258049553459
"PT" 0.00024349342316484 0.000217024458162754
"PU" 0.000116437473536938 0.000113721533944466
"PW" 3.74756408334582e-05 3.55201902001687e-05
"PY" 0.0043291059445611 0.0039319838702698
"PZ" 0.000221369267870621 0.000219357273153016
"QA" 0.000564489520907773 0.000531017407694221
"QC" 0.000272773102341777 0.000253625499985027
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.00066602832867261 0.000568687255451505
"QQ" 0.00136581744230666 0.00132207322498315
"QU" 0.000208273712995644 0.00020242654482345
"RA" 0 0
"RB" 0 0
"RE" 0.000158778373004915 0.000156606790213653
"RO" 0.000644203672793982 0.000590677031701509
"RP" 0.000541772046887472 0.000503996755409798
"RQ" 0 0
"RT" 0.0025029351798509 0.00232373676257216
